HCH_012_218_000167	特以阿並封指被物議。
HCH_012_218_000168	既而郎中趙南星斥，侍郎趙用賢放歸，論救者咸遭譴謫，眾指錫爵為之。
HCH_012_218_000169	雖連章自明，且申救，人卒莫能諒也。
HCH_012_218_000170	錫爵遂屢疏引疾乞休。
HCH_012_218_000171	帝不欲其去，為出內帑錢建醮祈愈。
HCH_012_218_000172	錫爵力辭，疏八上乃允。
HCH_012_218_000173	先累加太子太保，至是命改吏部尚書，進建極殿，賜道里費，乘傳，行人護歸。
HCH_012_218_000174	歸七年，東宮建，遣官賜敕存問，賚銀幣羊酒。
HCH_012_218_000175	三十五年，廷推閣臣。
HCH_012_218_000176	帝既用於慎行、葉向高、李廷機，還念錫爵，特加少保，遺官召之。
HCH_012_218_000177	三辭，不允。
HCH_012_218_000178	時言官方厲鋒氣，錫爵進密揭力詆，中有「上於章奏一概留中，特鄙夷之如禽鳥之音」等語。
HCH_012_218_000179	言官聞之大憤。
HCH_012_218_000180	給事中段然首劾之，其同官胡嘉棟等論不已。
HCH_012_218_000181	錫爵亦自闔門養重，竟辭不赴。
HCH_012_218_000182	又三年，卒於家，年七十七。
HCH_012_218_000183	贈太保，謚文肅。
HCH_012_218_000184	子衡，字辰玉，少有文名。
HCH_012_218_000185	為舉首才，自稱因被論，遂不復會試。
HCH_012_218_000186	至二十九年，錫爵罷相已久，始舉會試第二人，廷試亦第二。
HCH_012_218_000187	授編修，先父卒。
HCH_012_218_000188	錫爵弟鼎爵，進士。
HCH_012_218_000189	累官河南提學副使。
HCH_012_218_000190	沈一貫，字肩吾，鄞人。
HCH_012_218_000191	隆慶二年進士。
HCH_012_218_000192	選庶吉士，授檢討，充日講官。
HCH_012_218_000193	進講高宗諒陰，拱手曰：「托孤寄命，必忠貞不二心之臣，乃可使百官總己以聽。茍非其人，不若躬親聽覽之為孝也。」
HCH_012_218_000194	張居正以為刺己，頗憾一貫。
HCH_012_218_000195	居正卒，始遷左中允。
HCH_012_218_000196	歷官吏部左侍郎兼侍讀學士，加太子賓客。
HCH_012_218_000197	假歸。
HCH_012_218_000198	二十二年起南京禮部尚書，復召為正史副總裁，協理詹事府，未上。
HCH_012_218_000199	王錫爵、趙誌臯、張位同居內閣，復有旨推舉閣臣。
HCH_012_218_000200	吏部舉舊輔王家屏及一貫等七人名以上。
HCH_012_218_000201	而帝方怒家屏，譙責尚書陳有年。
HCH_012_218_000202	有年引疾去。
HCH_012_218_000203	一貫家居久，故有清望，閣臣又力薦之。
HCH_012_218_000204	乃詔以尚書兼東閣大學士，與陳於陛同入閣預機務，命行人即家起焉。
HCH_012_218_000205	會朝議許日本封貢。
HCH_012_218_000206	一貫慮貢道出寧波，為鄉郡患，極陳其害，貢議乃止。
HCH_012_218_000207	未幾，錫爵去，於陛位第三，每獨行己意。
HCH_012_218_000208	一貫柔而深中，事誌臯等惟謹。
HCH_012_218_000209	其後於陛卒官，誌臯病痹久在告，位以薦楊鎬及《憂危竑議》事得罪去，一貫與位嘗私致鎬書，為贊畫主事丁應泰所劾。
HCH_012_218_000210	位疏辨，激上怒罷。
HCH_012_218_000211	一貫惟引咎，帝乃慰留之。
HCH_012_218_000212	時國本未定，廷臣爭十餘年不決。
HCH_012_218_000213	皇長子年十八，諸請冊立冠婚者益迫。
HCH_012_218_000214	帝責戶部進銀二千四百萬，為冊立、分封諸典禮費以困之。
HCH_012_218_000215	一貫再疏爭，不聽。
HCH_012_218_000216	二十八年，命營慈慶宮居皇長子。
HCH_012_218_000217	工竣，諭一貫草敕傳示禮官，上冊立、冠婚及諸王分封儀。
HCH_012_218_000218	敕既上，帝復留不下。
HCH_012_218_000219	一貫疏趣，則言：「朕因小臣謝廷讃乘機邀功，故中輟。俟皇長子移居後行之。」
HCH_012_218_000220	既而不舉行。
HCH_012_218_000221	明年，貴妃弟鄭國泰迫群議，請冊立、冠婚並行。
HCH_012_218_000222	一貫因再草敕請下禮官具儀，不報。
HCH_012_218_000223	廷議有欲先冠婚後冊立者，一貫不可，曰：「不正名而茍成事，是降儲君為諸王也。」
HCH_012_218_000224	會帝意亦頗悟，命即日舉行。
HCH_012_218_000225	九月十有八日漏下二鼓，詔下。
HCH_012_218_000226	既而帝復悔，令改期。
HCH_012_218_000227	一貫封還詔書，言「萬死不敢奉詔」，帝乃止。
HCH_012_218_000228	十月望，冊立禮成，時論頗稱之。
HCH_012_218_000229	會誌臯於九月卒，一貫遂當國。
HCH_012_218_000230	初，誌臯病久，一貫屢請增閣臣。
HCH_012_218_000231	及是乃簡用沈鯉、朱賡，而事皆取決於一貫。
HCH_012_218_000232	尋進太子太保、戶部尚書、武英殿大學士。
HCH_012_218_000233	自一貫入內閣，朝政已大非。
HCH_012_218_000234	數年之間，礦稅使四出為民害。
HCH_012_218_000235	其所誣劾逮系者，悉滯獄中。
HCH_012_218_000236	吏部疏請起用建言廢黜諸臣，並考選科道官，久抑不下，中外多以望閣臣。
HCH_012_218_000237	一貫等數諫，不省。
HCH_012_218_000238	而帝久不視朝，閣臣屢請，皆不報。
HCH_012_218_000239	一貫初輔政面恩，一見帝而已。
HCH_012_218_000240	東征及楊應龍平，帝再御午門樓受俘。
HCH_012_218_000241	一貫請陪侍，賜面對，皆不許。
HCH_012_218_000242	上下否隔甚，一貫雖小有救正，大率依違其間，物望漸減。
HCH_012_218_000243	迨三十年二月，皇太子婚禮甫成，帝忽有疾。
HCH_012_218_000244	急召諸大臣至仁德門，俄獨命一貫入啟祥宮後殿暖西閣。
HCH_012_218_000245	皇后、貴妃以疾不侍側，皇太后南面立稍北，帝稍東，冠服席地坐，亦南面，太子、諸王跪於前。
HCH_012_218_000246	一貫叩頭起居訖，帝曰：「先生前。朕病日篤矣，享國已久，何憾。佳兒佳婦付與先生，惟輔之為賢君。礦稅事，朕因殿工未竣，權宜采取，今可與江南織造、江西陶器俱止勿行，所遣內監皆令還京。法司釋久系罪囚，建言得罪諸臣咸復其官，給事中、御史即如所請補用。朕見先生止此矣。」
HCH_012_218_000247	言已就臥。
HCH_012_218_000248	一貫哭，太后、太子、諸王皆哭。
HCH_012_218_000249	一貫復奏：「今尚書求去者三，請定去留。」
HCH_012_218_000250	帝留戶部陳渠、兵部田樂，而以祖陵沖決，削工部楊一魁籍。
HCH_012_218_000251	一貫復叩首，出擬旨以進。
HCH_012_218_000252	是夕，閣臣九卿俱直宿朝房。
HCH_012_218_000253	漏三鼓，中使捧諭至，具如帝語一貫者。
HCH_012_218_000254	諸大臣咸喜。
HCH_012_218_000255	翼日，帝疾，廖悔之。
HCH_012_218_000256	中使二十輩至閣中取前諭，言礦稅不可罷，釋囚、錄直臣惟卿所裁。
