HCH_012_006_000288	爪哇、榜葛剌、古里、柯枝、蘇門答剌、阿魯、彭亨、急蘭丹、南巫里、暹羅入貢。
HCH_012_006_000289	阿魯台來貢馬，別失八里獻文豹。
HCH_012_006_000290	琉球中山入貢者三。
HCH_012_006_000291	十年春正月己丑，命入覲官千五百餘人各陳民瘼，不言者罪之，言有不當勿問。
HCH_012_006_000292	丁酉，大祀天地於南郊。
HCH_012_006_000293	癸丑，振平陽饑，逮治布政使及郡縣官不奏聞者。
HCH_012_006_000294	二月辛酉，蠲山西、河南逋賦。
HCH_012_006_000295	庚辰，遼王植有罪，削其護衞。
HCH_012_006_000296	三月丁亥，豐城侯李彬討甘肅叛寇八耳思朵羅歹。
HCH_012_006_000297	戊子，賜馬鐸等進士及第、出身有差。
HCH_012_006_000298	甲辰，免北京水災租稅。
HCH_012_006_000299	夏六月甲戌，諭戶部，凡郡縣有司及朝使目擊民艱不言者，悉逮治。
HCH_012_006_000300	秋七月癸卯，禁中官干預有司政事。
HCH_012_006_000301	八月癸丑，張輔大破交阯賊於神投海。
HCH_012_006_000302	己未，敕邊將自長安嶺迤西迄洗馬林築石垣，深濠塹。
HCH_012_006_000303	冬十月戊辰，獵城南武岡。
HCH_012_006_000304	十一月壬午，侍講楊榮經略甘肅。
HCH_012_006_000305	丙申，鄭和復使西洋。
HCH_012_006_000306	是年，浡泥、占城、暹羅、滿剌加、榜葛剌、蘇門答剌、南浡利、球琉山南入貢。
HCH_012_006_000307	十一年春正月辛巳朔，日有食之，詔罷朝賀宴會。
HCH_012_006_000308	壬午，諭通政使、禮科給事中，凡朝覲官境內災傷不以聞為他人所奏者，罪之。
HCH_012_006_000309	辛卯，大祀天地於南郊。
HCH_012_006_000310	辛丑，豐城侯李彬鎮甘肅，召宋琥還。
HCH_012_006_000311	二月辛亥，始設貴州布政司。
HCH_012_006_000312	癸亥，令北京民戶分養孳生馬，著為令。
HCH_012_006_000313	甲子，幸北京，皇太孫從。
HCH_012_006_000314	尚書蹇義、學士黃淮、諭德楊士奇、洗馬楊溥輔皇太子監國。
HCH_012_006_000315	乙丑，發京師，命給事中、御史所過存問高年，賜酒肉及帛。
HCH_012_006_000316	丙寅，葬仁孝皇后於長陵。
HCH_012_006_000317	辛未，次鳳陽，謁皇陵。
HCH_012_006_000318	夏四月己酉，至北京。
HCH_012_006_000319	五月丁未，曹縣獻騶虞，禮官請賀，不許。
HCH_012_006_000320	秋七月戊寅，封阿魯台為和寧王。
HCH_012_006_000321	八月甲子，北京地震。
HCH_012_006_000322	乙丑，鎮遠侯顧成討思州、靖州叛苗。
HCH_012_006_000323	九月壬午，詔自今郡縣官每歲春行視境內，蝗蝻害稼即捕絕之，不如詔者二司并罪。
HCH_012_006_000324	冬十月丙寅，以璽書命皇太子錄囚。
HCH_012_006_000325	十一月戊寅，以野蠶繭為衾，命皇太子薦太廟。
HCH_012_006_000326	壬午，瓦剌馬哈木兵渡飲馬河，阿魯台告警，命邊將嚴守備。
HCH_012_006_000327	甲申，寧陽侯陳懋，都督譚青、馬聚、朱崇巡寧夏、大同、山西邊，簡練士馬。
HCH_012_006_000328	尋命陝西、山西及潼關等五衞兵駐宣府，中都、遼東、河南三都指揮使司及武平等四衞兵會北京。
HCH_012_006_000329	乙巳，應城伯孫巖備開平。
HCH_012_006_000330	十二月壬子，張輔、沐晟大敗交阯賊於愛子江。
HCH_012_006_000331	是年，馬哈木弒其主本雅失里，立答里巴為可汗。
HCH_012_006_000332	別失八里、滿剌加、占城、爪哇西王入貢。
HCH_012_006_000333	琉球中山入貢者四。
HCH_012_006_000334	琉球山南入貢者再。
