HCH_009_029_000216	眾官再拜，樂作，一成，止。
HCH_009_029_000217	初，送神樂止，引初獻官詣望瘞位，樂作太簇宮《肅甯之曲》，至位，南向立，樂止。
HCH_009_029_000218	初，在位官將拜，諸太祝、祝史各奉篚進詣神座前，玉幣，從祭神州地祇以下，並以俎載牲體，並取黍稷飯爵酒，各由其陛降壇，北詣瘞坎，實於坎中，又以從祭之位禮幣皆從瘞，禮直官曰：「可瘞。」
HCH_009_029_000219	東西六行，置土半坎，禮直官贊：「禮畢。」
HCH_009_029_000220	引初獻出，禮官贊者各引祭官及監祭、監禮、太祝以下，俱複壇南，北向立定，奉禮郎
HCH_009_029_000221	贊曰：「再拜。」
HCH_009_029_000222	監祭以下皆再拜，訖，奉禮以下及工人以次出。
HCH_009_029_000223	光祿卿以胙奉進，監祭、監禮展視。
HCH_009_029_000224	其祝版燔於齋坊。
HCH_009_029_000225	齋戒、陳設、省牲器、奠玉幣、進熟，其節並如大祀之儀。
HCH_009_029_000226	朝日玉用青壁，夕月用白壁，幣皆如玉之色。
HCH_009_029_000227	牲各用羊一、豕一。
HCH_009_029_000228	有司攝三獻司徒行事。
HCH_009_029_000229	其親行朝日，金初用本國禮，天會四年正月，始朝日於乾元殿，而後受賀。
HCH_009_029_000230	天眷二年，定朔望朝日儀。
HCH_009_029_000231	皇帝服靴袍，百官常服。
HCH_009_029_000232	有司設爐案、禦褥位於所禦殿前陛上，設百官褥位於殿門外，皆向日。
HCH_009_029_000233	宣徽使奏導皇帝至位，南向，再拜，上香，又再拜。
HCH_009_029_000234	閣門皆相應贊，殿門外臣僚陪拜如常儀。
HCH_009_029_000235	大定二年，以無典故罷。
HCH_009_029_000236	十五年，言事者謂今正旦並萬春節，宜令有司定拜日之禮。
HCH_009_029_000237	有司援據漢、唐春分朝日，升煙奠玉如圜丘之儀。
HCH_009_029_000238	又按唐《開元禮》，南向設大明神位，天子北向，皆無南向拜日之制。
HCH_009_029_000239	今已奉敕以月朔拜日，宜遵古制，殿前東向拜。
HCH_009_029_000240	詔姑從南向。
HCH_009_029_000241	其日，先引臣僚于殿門外立，陪位立殿前班露臺左右，皇帝于露臺香案拜如上儀。
HCH_009_029_000242	十八年，上拜日于仁政殿，始行東向之禮。
HCH_009_029_000243	皇帝出殿，東向設位，宣徽贊：「拜。」
HCH_009_029_000244	皇帝再拜，上香，訖，又再拜。
HCH_009_029_000245	臣僚並陪拜，依班次起居，如常儀。
HCH_009_029_000246	明昌六年，章宗未有子，尚書省臣奏行高禖之祀，乃築壇于景風門外東南端，當闕之卯辰地，與圜丘東西相望，壇如北郊之制。
HCH_009_029_000247	歲以春分日祀青帝、伏羲氏、女媧氏，凡三位，壇上南向，西上。
HCH_009_029_000248	姜嫄、簡狄位於壇之第二層，東向，北上。
HCH_009_029_000249	前一日未三刻，布神位，省牲器，陳禦弓矢弓䪅於上下神位之右。
HCH_009_029_000250	其齋戒、奠玉幣、進熟，皆如大祀儀。
HCH_009_029_000251	青帝幣玉皆用青，餘皆無玉。
HCH_009_029_000252	每位牲用羊一、豕一。
HCH_009_029_000253	有司攝三獻司徒行事。
HCH_009_029_000254	禮畢，進胙，倍於他祀之肉。
HCH_009_029_000255	進胙官佩弓矢䪅以進，上命後妃嬪禦皆執弓矢東向而射，乃命以次飲福享胙。
