HCH_009_040_000313	錙銖唐虞，糠骰商周。
HCH_009_040_000314	維時群臣，對揚稽首。
HCH_009_040_000315	天子明明，令聞不朽。
HCH_009_040_000316	冊寶初行，奏《和甯之曲》：四方攸同，昭哉成功。
HCH_009_040_000317	時和年豐，諸福來崇。
HCH_009_040_000318	英聲昭騰，和氣充塞。
HCH_009_040_000319	于乎皇王，維壽時億。
HCH_009_040_000320	皇太子升殿賀，奏《同心戴聖之曲》：穆清皇風，遐方來同。
HCH_009_040_000321	于昭於天，物和歲豐。
HCH_009_040_000322	丕受鴻名，對揚偉跡。
HCH_009_040_000323	純厘穰穰，敷錫罔極。
HCH_009_040_000324	上壽，皇帝將升御座，宮縣《和甯之曲》。
HCH_009_040_000325	同前。
HCH_009_040_000326	舉酒，《萬壽無疆之曲》：四海太平，吾皇之功。
HCH_009_040_000327	群臣對揚，誕受鴻名。
HCH_009_040_000328	霞觴瓊腴，君王樂豈。
HCH_009_040_000329	皇天垂休，萬壽無極。
HCH_009_040_000330	皇太子升階、降階，及與宴官升殿，並奏《和甯之曲》。
HCH_009_040_000331	同前。
HCH_009_040_000332	進第一爵，登歌奏《王道昌明之曲》：對天鴻休，於以鋪張。
HCH_009_040_000333	巍巍煌煌，超冠百王。
HCH_009_040_000334	皇圖皇綱，時維明昌。
HCH_009_040_000335	祉福無疆，於民敷揚。
HCH_009_040_000336	行群官酒，宮縣《和甯之曲》。
HCH_009_040_000337	文舞入，設群官食，奏《功成治定之舞》：聖德高明，如天強名。
HCH_009_040_000338	多方治平，功大有成。
HCH_009_040_000339	流于聲音，形於蹈舞。
HCH_009_040_000340	頒觴群臣。
HCH_009_040_000341	以昭禮遇。
HCH_009_040_000342	進第二爵，登歌奏《天子萬年之曲》：惟明後，馭寰瀛。
HCH_009_040_000343	躋升平，飛英聲。
HCH_009_040_000344	功三王，德五帝。
HCH_009_040_000345	遊岩廊，億萬歲。
HCH_009_040_000346	行群官酒，宮縣《和甯之曲》。
HCH_009_040_000347	武舞入，設群官食，奏《四海會同之舞》：地平天成，時和歲豐。
HCH_009_040_000348	迓衡弗迷，率惟敉功。
HCH_009_040_000349	受天之祜，四方來荷。
HCH_009_040_000350	于萬斯年，不遐有佐。
HCH_009_040_000351	進第三爵，登歌《嘉禾之曲》：景命赫斯歸吾皇，仁風洋洋被遠荒。
HCH_009_040_000352	琛贄旅庭趨明光，氣和薰蒸為嘉祥。
HCH_009_040_000353	殊本合穗真異常，庾如坻京歲且穰。
HCH_009_040_000354	猗歟鴻休超前王，播為聲詩傳無疆。
HCH_009_040_000355	行群官酒，設群官食。
HCH_009_040_000356	群官降階，宮縣並奏《和甯之曲》。
HCH_009_040_000357	皇帝將降御座，奏《泰甯之曲》，並用太簇宮。
HCH_009_040_000358	大定十一年十一月，行冊禮，皇帝升御座，宮縣《泰甯之曲》：皇皇穆穆，袞服玉趾，如日之升，如山仰止。
HCH_009_040_000359	九賓在列，媚茲天子。
HCH_009_040_000360	願言無疆，介以繁祉。
HCH_009_040_000361	冊寶入門，奏《天保報上之曲》：穆穆元聖，天迪子保。
HCH_009_040_000362	相維臣工，以奏丕號。
HCH_009_040_000363	揚于路朝，玉牒神寶。
HCH_009_040_000364	于萬斯年，吾君壽考。
HCH_009_040_000365	奉冊寶官將複班位，奏《歸美揚功之曲》：玉冊玉寶，尊聖天子，丕揚鴻名，昭受帝祉。
HCH_009_040_000366	閎休對天，其隆孰比。
HCH_009_040_000367	臣下同心，翼戴歸美。
HCH_009_040_000368	皇太子升殿賀，奏《同心戴聖之曲》：大矣我後，徽冊膺受。
HCH_009_040_000369	歡趨彤庭，拜手稽首。
HCH_009_040_000370	休明禦辰，無疆萬壽。
HCH_009_040_000371	靈貺遝來，天地長久。
HCH_009_040_000372	舉酒，奏《萬壽無疆之曲》：聖德懋昭，民歸天祐。
HCH_009_040_000373	煌煌金書，典冊光受。
HCH_009_040_000374	備樂在庭，八音諧奏。
HCH_009_040_000375	群公奉觴，天子萬壽。
