HCH_012_120_000227	五年二月，大兵至靈川，郝永忠潰於興安，奔還，挾由榔走柳州。
HCH_012_120_000228	大兵攻桂林，式耜、騰蛟拒戰。
HCH_012_120_000229	時南昌金聲桓等叛，降於由榔。
HCH_012_120_000230	八月，由榔至肇慶。
HCH_012_120_000231	六年春，大兵下湘潭，何騰蛟死。
HCH_012_120_000232	明年，由榔走梧州。
HCH_012_120_000233	是年十二月，大兵入桂林，瞿式耜及總督張同敞死焉。
HCH_012_120_000234	由榔聞報大懼，自梧州奔南寧。
HCH_012_120_000235	時孫可望已據滇、黔，受封為秦王。
HCH_012_120_000236	八年三月，遣兵來衛，殺嚴起恒等。
HCH_012_120_000237	九年二月，可望迎由榔入安隆所，改曰安龍府。
HCH_012_120_000238	久之，日益窮促，聞李定國與可望有隙，遣使密召定國，以兵來迎。
HCH_012_120_000239	馬吉翔黨於可望，偵知之，大學士吳貞毓以下十餘人皆被殺。
HCH_012_120_000240	事詳《貞毓傳》。
HCH_012_120_000241	後二年，李定國敗於新會，將由安隆入滇。
HCH_012_120_000242	可望患之，促由榔移貴陽就己。
HCH_012_120_000243	由榔故遲行。
HCH_012_120_000244	定國至，遂奉由榔由安南衛走雲南，居可望署中，封定國晉王。
HCH_012_120_000245	可望以妻子在滇，未敢動。
HCH_012_120_000246	明年，由榔送其妻子還黔，遂舉兵與定國戰於三岔。
HCH_012_120_000247	可望將白文選單騎奔定國軍。
HCH_012_120_000248	可望敗，挈妻子赴長沙大軍前降。
HCH_012_120_000249	十五年三月，大兵三路入雲南。
HCH_012_120_000250	定國厄雞公背，斷貴州道，別將守七星關，抵生界立營，以牽蜀師。
HCH_012_120_000251	大兵出遵義，由水西取烏撒，守將棄關走，李定國連敗於安隆，由榔走永昌。
HCH_012_120_000252	明年正月三日，大兵入雲南，由榔走騰越。
HCH_012_120_000253	定國敗於潞江，又走南甸。
HCH_012_120_000254	二十六日，抵囊木河，是為緬境。
HCH_012_120_000255	緬勒從官盡棄兵仗，始啟關，至蠻莫。
HCH_012_120_000256	二月，緬以四舟來迎，從官自覓舟，隨行者六百四十餘人，陸行者自故岷王子而下九百餘人，期會於緬甸。
HCH_012_120_000257	十八日至井亙。
HCH_012_120_000258	黔國公沐天波等謀奉由榔走戶、獵二河，不果。
HCH_012_120_000259	五月四日，緬復以舟來迎。
HCH_012_120_000260	明日，發井亙，行三日，至阿瓦。
HCH_012_120_000261	阿瓦者，緬酋所居城也。
HCH_012_120_000262	又五日至赭硁。
HCH_012_120_000263	陸行者緬人悉掠為奴，多自殺。
HCH_012_120_000264	惟岷王子八十餘人流入暹羅。
HCH_012_120_000265	緬人於赭硁置草屋居由榔，遣兵防之。
HCH_012_120_000266	十七年，定國、文選與緬戰，索其主，連敗緬兵，緬終不肯出由榔。
HCH_012_120_000267	十八年五月，緬酋弟莽猛白代立，紿從官渡河盟。
HCH_012_120_000268	既至，以兵圍之，殺沐天波、馬吉翔、王維恭、魏豹等四十有二人，詳《任國璽傳》。
HCH_012_120_000269	存者由榔與其屬二十五人。
HCH_012_120_000270	十二月，大兵臨緬，白文選自木邦降，定國走景線，緬人以由榔父子送軍前。
HCH_012_120_000271	明年四月，死於雲南。
HCH_012_120_000272	六月，李定國卒，其子嗣興等降。
HCH_012_120_000273	永思王常溥，神宗第八子。
HCH_012_120_000274	生二歲殤。
HCH_012_120_000275	光宗七子。
HCH_012_120_000276	王太后生熹宗、簡王由㰒。
HCH_012_120_000277	王選侍生齊王由楫。
HCH_012_120_000278	李選侍生懷王由模。
HCH_012_120_000279	劉太后生莊烈皇帝。
HCH_012_120_000280	定懿妃生湘王由栩。
HCH_012_120_000281	敬妃生惠王由橏。
HCH_012_120_000282	簡懷王由㰒，光宗第二子。
HCH_012_120_000283	生四歲殤。
HCH_012_120_000284	齊思王由楫，光宗第三子。
HCH_012_120_000285	生八歲殤。
HCH_012_120_000286	懷惠王由模，光宗第四子。
HCH_012_120_000287	生五歲殤。
HCH_012_120_000288	湘懷王由栩，光宗第六子。
HCH_012_120_000289	惠昭王由橏，光宗第七子。
HCH_012_120_000290	俱早殤。
HCH_012_120_000291	五王皆追加封謚。
HCH_012_120_000292	熹宗三子。
HCH_012_120_000293	懷沖太子慈然，不詳其所生母。
HCH_012_120_000294	皇貴妃範氏生悼懷太子慈焴。
HCH_012_120_000295	容妃任氏生獻懷太子慈炅。
HCH_012_120_000296	懷沖太子慈然，熹宗第一子。
HCH_012_120_000297	悼懷太子慈焴，熹宗第二子。
HCH_012_120_000298	獻懷太子慈炅，熹宗第三子。
HCH_012_120_000299	與懷沖、悼懷皆殤。
HCH_012_120_000300	莊烈帝七子。
HCH_012_120_000301	周皇后生太子慈烺、懷隱王慈烜、定王慈炯。
HCH_012_120_000302	田貴妃生永王慈炤、悼靈王慈煥、悼懷王及皇七子。
HCH_012_120_000303	太子慈烺，莊烈帝第一子。
HCH_012_120_000304	崇禎二年二月生，三年二月立為皇太子。
