HCH_012_148_000238	榮至，輒為霽顏，事亦遂決。
HCH_012_148_000239	五年，命往甘肅經畫軍務，所過覽山川形勢，察軍民，閱城堡。
HCH_012_148_000240	還奏武英殿。
HCH_012_148_000241	帝大悅，值盛暑，親剖瓜啖之。
HCH_012_148_000242	尋進右庶子，兼職如故。
HCH_012_148_000243	明年以父喪給傳歸。
HCH_012_148_000244	既葬，起復視事。
HCH_012_148_000245	又明年，母喪乞歸。
HCH_012_148_000246	帝以北行期迫不許，命同胡廣、金幼孜扈從。
HCH_012_148_000247	甘肅總兵官何福言脫脫不花等請降，需命於亦集乃。
HCH_012_148_000248	命榮往甘肅偕福受降，持節即軍中封福寧遠侯。
HCH_012_148_000249	因至寧夏，與寧陽侯陳懋規畫邊務。
HCH_012_148_000250	還陳便宜十事。
HCH_012_148_000251	帝嘉納之。
HCH_012_148_000252	八年從出塞，次臚朐河。
HCH_012_148_000253	選勇士三百人為衛，不以隸諸將，令榮領之。
HCH_012_148_000254	師旋，餉不繼。
HCH_012_148_000255	榮請盡以供御之餘給軍，而令軍中有餘者得相貸，入塞，官為倍償。
HCH_012_148_000256	軍賴以濟。
HCH_012_148_000257	明年乞奔喪，命中官護行。
HCH_012_148_000258	還詢閩中民情及歲豐歉，榮具以對。
HCH_012_148_000259	尋命侍諸皇孫讀書文華殿。
HCH_012_148_000260	十年，甘肅守臣宋琥言，叛寇老的罕逃赤斤蒙古，且為邊患。
HCH_012_148_000261	乃復遣榮至陝西，會豐城侯李彬議進兵方略。
HCH_012_148_000262	榮還奏言：「隆冬非用兵時，且有罪不過數人，兵未可出。」
HCH_012_148_000263	帝從其言，叛者亦降。
HCH_012_148_000264	明年復與廣、幼孜從北巡。
HCH_012_148_000265	又明年征瓦剌，太孫侍行。
HCH_012_148_000266	帝命榮以間陳說經史，兼領尚寶事。
HCH_012_148_000267	凡宣詔出令，及旗志符驗，必得榮奏乃發。
HCH_012_148_000268	帝嘗晚坐行幄，召榮計兵食。
HCH_012_148_000269	榮對曰：「擇將屯田，訓練有方，耕耨有時，即兵食足矣。」
HCH_012_148_000270	十四年與金幼孜俱進翰林學士，仍兼庶子，從還京師。
HCH_012_148_000271	明年復從北征。
HCH_012_148_000272	十六年，胡廣卒，命榮掌翰林院事，益見親任。
HCH_012_148_000273	諸大臣多忌榮，欲疏之，共舉為祭酒。
HCH_012_148_000274	帝曰：「吾固知其可，第求代榮者。」
HCH_012_148_000275	諸大臣乃不敢言。
HCH_012_148_000276	十八年進文淵閣大學士，兼學士如故。
HCH_012_148_000277	明年定都北京。
HCH_012_148_000278	會三殿災，榮麾衛士出圖籍制誥，舁東華門外。
HCH_012_148_000279	帝褒之。
HCH_012_148_000280	榮與幼孜陳便宜十事。
HCH_012_148_000281	報可。
HCH_012_148_000282	二十年，復從出塞，軍事悉令參決，賚予優渥。
HCH_012_148_000283	師還，勞將士，分四等賜宴，榮、幼孜皆列前席，受上賞。
HCH_012_148_000284	已，復下詔征阿魯台。
HCH_012_148_000285	或請調建文時江西所集民兵。
HCH_012_148_000286	帝問榮。
HCH_012_148_000287	榮曰：「陛下許民復業且二十年，一旦復征之，非示天下信。」
HCH_012_148_000288	從之。
HCH_012_148_000289	明年從出塞，軍務悉委榮，晝夜見無時。
HCH_012_148_000290	帝時稱「楊學士」，不名也。
HCH_012_148_000291	又明年復從北征。
HCH_012_148_000292	當是時，帝凡五齣塞，士卒飢凍，饋運不繼，死亡十二三。
HCH_012_148_000293	大軍抵答蘭納木兒河，不見敵。
HCH_012_148_000294	帝問群臣當復進否，群臣唯唯，惟榮、幼孜從容言宜班師。
HCH_012_148_000295	帝許之。
HCH_012_148_000296	還次榆木川，帝崩。
HCH_012_148_000297	中官馬雲等莫知所措，密與榮、幼孜入御幄議。
HCH_012_148_000298	二人議：六師在外，去京師尚遠，秘不發喪。
HCH_012_148_000299	以禮斂，熔錫為椑，載輿中。
HCH_012_148_000300	所至朝夕進膳如常儀，益嚴軍令，人莫測。
HCH_012_148_000301	或請因他事為敕，馳報皇太子。
HCH_012_148_000302	二人曰：「誰敢爾！先帝在則稱敕，賓天而稱敕，詐也，罪不小。」
HCH_012_148_000303	眾曰：「然。」
HCH_012_148_000304	乃具大行月日及遺命傳位意，啟太子。
HCH_012_148_000305	榮與少監海壽先馳訃。
HCH_012_148_000306	既至，太子命與蹇義、楊士奇議諸所宜行者。
HCH_012_148_000307	仁宗即位，進太常卿，餘官如故。
HCH_012_148_000308	尋進太子少傅、謹身殿大學士。
HCH_012_148_000309	既而有言榮當大行時，所行喪禮及處分軍事狀。
HCH_012_148_000310	帝賜敕褒勞，賚予甚厚。
HCH_012_148_000311	進工部尚書，食三祿。
HCH_012_148_000312	時士奇、淮皆辭尚書祿，榮、幼孜亦固辭。
HCH_012_148_000313	不允。
