HCH_013_071_000240	呈秀爲高攀龍所糾，乃微服持賂叩忠賢，願爲忠賢子，呼之以父。
HCH_013_071_000241	忠賢大悅，遂出中旨，免其勘，起用。
HCH_013_071_000242	時忠賢竊柄，動曰中旨。
HCH_013_071_000243	兵科給事中李魯生阿忠賢意，上言：「執中者帝，宅中者王，旨不自中出而誰出？」
HCH_013_071_000244	時論鄙之。
HCH_013_071_000245	罷禮部侍郎何如寵、右諭德繆昌期。
HCH_013_071_000246	削太僕寺少卿劉宗周籍。
HCH_013_071_000247	起用阮大鋮十一人。
HCH_013_071_000248	二月，大理寺丞徐大化劾楊漣、左光斗黨同伐異，招權納賄。
HCH_013_071_000249	命俟汪文言逮至鞫之。
HCH_013_071_000250	削御史周宗建、李應昇、黃尊素、張愼言籍。
HCH_013_071_000251	工部主事曹欽程復劾趙南星、周宗建、張愼言、李應昇、高攀龍、黃尊素、鄒維漣、魏大中，大約誣以受熊廷弼賂，以汪文言爲之證。
HCH_013_071_000252	三月，上視太學，魏忠賢、王體乾擅改儀注，賜坐，而大臣不得賜茶。
HCH_013_071_000253	五月，上祭方澤還宮，卽幸西苑，時日已晡，忠賢與客氏乘大舟飲酒，歡甚。
HCH_013_071_000254	上獨與宦豎二人，泛小舟蕩漾，上身自刺舟，一璫佐之，相顧笑樂。
HCH_013_071_000255	忽風起舟覆，上及二璫俱墮水中，二璫死焉，上救免。
HCH_013_071_000256	忠賢及客氏相顧錯愕而已。
HCH_013_071_000257	詔肅寧縣建坊，賜勅旌獎魏忠賢，并廕其弟姪一人都督僉事。
HCH_013_071_000258	特賜璽書褒美錦衣衞都督田爾耕，仍命所司賚之羊酒，建坊以示眷答至意。
HCH_013_071_000259	時修舉屯政以濟軍需，爾耕乃捐田土七千餘頃，以佐縣官之急，故下璽書美之。
