HCH_012_094_000166	龍江衛吏有過，罰令書寫，值母喪，乞守制，吏部尚書詹徽不聽，擊鼓訴冤。
HCH_012_094_000167	太祖切責徽，使吏終喪。
HCH_012_094_000168	永樂元年，縣令以贓戍，擊鼓陳狀。
HCH_012_094_000169	帝為下法司，其人言實受贓，年老昏眊所致，惟上哀憫。
HCH_012_094_000170	帝以其歸誠，屈法宥之。
HCH_012_094_000171	宣德時，直登聞鼓給事林富言：「重囚二十七人，以奸盜當決，擊鼓訴冤，煩瀆不可宥。」
HCH_012_094_000172	帝曰：「登聞鼓之設，正以達下情，何謂煩惱？自後凡擊鼓訴冤，阻遏者罪。」
HCH_012_094_000173	凡訐告原問官司者，成化間定議，核究得實，然後逮問。
HCH_012_094_000174	弘治時，南京御史王良臣按指揮周愷等怙勢黜貨，愷等遂訐良臣。
HCH_012_094_000175	詔下南京法司逮繫會鞫。
HCH_012_094_000176	侍郎楊守隨言：「此與舊章不合。請自今以後，官吏軍民奏訴，牽緣別事，摭拾原問官者，立案不行。所奏事仍令問結，虛詐者擬罪，原問官枉斷者亦罪。」
HCH_012_094_000177	乃下其議於三法司。
HCH_012_094_000178	法司覆奏如所請，從之。
HCH_012_094_000179	洪武二十六年以前，刑部令主事廳會御史、五軍斷事司、大理寺、五城兵馬指揮使官，打斷罪囚。
HCH_012_094_000180	二十九年，並差錦衣衛官。
HCH_012_094_000181	其後惟主事會御史，將笞杖罪於打斷廳決訖，附卷，奉旨者次日覆命。
HCH_012_094_000182	萬曆中，刑部尚書孫丕揚言：「折獄之不速，由文移牽制故耳。議斷既成，部、寺各立長單，刑部送審掛號，次日即送大理。大理審允，次日即還本部。參差者究處，庶事體可一。至於打斷相驗，令御史三、六、九日遵例會同，餘日止會寺官以速遣。徒流以上，部、寺詳鞫，笞杖小罪，聽堂部處分。」
HCH_012_094_000183	命如議行。
HCH_012_094_000184	凡獄囚已審錄，應決斷者限三日，應起發者限十日，逾銀計日以笞。
HCH_012_094_000185	囚淹滯至死者罪徒，此舊例也。
