HCH_015_017_000181	袞衣，漢世出陳留襄邑所織。
HCH_015_017_000182	宋末用繡及織成，建武中，明帝以織成重，乃采畫爲之，加飾金銀薄，世亦謂爲天衣。
HCH_015_017_000183	史臣曰：黼黻之設，經緯爲用，故五色六章十二衣還相爲質也。
HCH_015_017_000184	歷代龍袞，織以成文，今體不勝衣，變易舊法，豈致美黻冕之謂乎！
HCH_015_017_000185	通天冠，黑介幘，金博山顏，絳紗袍，皁緣中衣，乘輿常朝所服。
HCH_015_017_000186	舊用駮犀簪導，東昏改用玉。
HCH_015_017_000187	其朝服，臣下皆同。
HCH_015_017_000188	黑介幘，單衣，無定色，乘輿拜陵所服。
HCH_015_017_000189	其白帢單衣，謂之素服，以舉哀臨喪。
HCH_015_017_000190	遠游冠，太子諸王所冠。
HCH_015_017_000191	太子朱纓，翠羽緌珠節。
HCH_015_017_000192	諸王玄纓，公侯皆同。
HCH_015_017_000193	平冕，各以組爲纓，王公八旒，衣山、龍九章，卿七旒，衣華蟲七章，竝助祭所服。
HCH_015_017_000194	皆畫皂絳繒爲之。
HCH_015_017_000195	進賢冠，諸開國公、侯，鄉、亭侯，卿，大夫，尚書，關內侯，二千石，博士，中書郎，丞、郎，祕書監、丞、郎，太子中舍人、洗馬、舍人，諸府長史，卿，尹、丞，下至六百石令長小吏，以三梁、二梁、一梁爲差，事見《晉令》。
HCH_015_017_000196	武冠，侍臣加貂蟬，餘軍校武職、黃門、散騎、太子中庶子、二率、朝散、都尉，皆冠之。
HCH_015_017_000197	唯武騎虎賁服文衣，插雉尾於武冠上。
HCH_015_017_000198	史臣曰：應劭《漢官》釋附蟬，及司馬彪志竝不見侍中與常侍有異，唯言左右珥貂而已。
HCH_015_017_000199	案項氏說云「漢侍中蟬，刻爲蟬像，常侍但爲璫而不蟬」，未詳何代所改也。
HCH_015_017_000200	法冠，廷尉等諸執法者冠之。
HCH_015_017_000201	高山冠，謁者冠之。
HCH_015_017_000202	樊噲冠，殿門衞士冠之。
HCH_015_017_000203	黑介幘冠，文冠；平幘冠，武冠。
HCH_015_017_000204	尚書令、僕射、尚書納言幘，後飾爲異。
HCH_015_017_000205	童子空頂幘，施假髻，貴賤同服。
HCH_015_017_000206	救日蝕，文武官皆免冠，著赤介幘對朝服。
HCH_015_017_000207	赤幘，示威武也。
HCH_015_017_000208	袴褶，車駕親戎、中外纂嚴所服。
HCH_015_017_000209	黑冠，帽綴紫褾，以絡帶代鞶帶。
HCH_015_017_000210	中官紫褾，外官絳褾。
HCH_015_017_000211	其纂嚴戎服不綴褾，行留悉同。
HCH_015_017_000212	校獵巡幸，從官戎服革帶鞶帶，文官不纓，武官脫冠。
HCH_015_017_000213	袿大衣，謂之褘衣，皇后謁廟所服。
HCH_015_017_000214	公主會見大首髻，其燕服則施嚴雜寶爲佩瑞。
HCH_015_017_000215	袿用繡爲衣，裳加五色，鏁金銀校飾。
HCH_015_017_000216	綬，乘輿黃赤綬，黃赤縹綠紺五采。
HCH_015_017_000217	太子朱綬，諸王纁朱綬，皆赤黃縹紺四采。
HCH_015_017_000218	妃亦同。
HCH_015_017_000219	相國綠綟綬，三采，綠紫紺。
HCH_015_017_000220	郡公玄朱，侯伯青朱，子男素朱，皆三采。
HCH_015_017_000221	公世子紫，侯世子青，鄉、亭、關內侯墨綬，皆二采。
HCH_015_017_000222	郡國太守、內史青，尚書令、僕、中書監、令、祕書監皆黑，丞皆黃，諸府丞亦黃。
HCH_015_017_000223	皇后與乘輿同赤，貴嬪、夫人、貴人紫，王太妃、長公主、封君亦紫綬，六宮青綬，青白紅，郡公、侯夫人青綬。
HCH_015_017_000224	乘輿傳國璽，秦璽也。
HCH_015_017_000225	晉中原亂沒胡，江左初無之，北方人呼晉家爲「白板天子」。
HCH_015_017_000226	冉閔敗，璽還南。
HCH_015_017_000227	別有行信等六璽，皆金爲之，亦秦、漢之制也。
HCH_015_017_000228	皇后金璽，太子諸王金璽，皆龜鈕。
HCH_015_017_000229	公侯五等金章，公世子金印，侯銀印，貴嬪、夫人金章，公主、王太妃、封君金印，六宮以下公侯太夫人夫人銀印。
HCH_015_017_000230	其公、將軍金章，光祿大夫、卿、尹、太子傅、諸領護將軍、中郎將、校尉、郡國太守內史、四品五品將軍，皆銀章，尚書令、僕、中書監、令、祕書監丞、太子二率、諸府長史、卿、尹、丞、尉、中丞、都水使者、諸州刺史，皆銅印。
HCH_015_017_000231	三臺五省二品文官，皆簪白筆。
HCH_015_017_000232	王公五等及武官不簪，加內侍乃簪。
HCH_015_017_000233	百官執手板，尚書令、僕、尚書，手板頭復有白筆，以紫皮裹之，名曰「笏」。
HCH_015_017_000234	漢末仲長統謂百司皆宜執之。
HCH_015_017_000235	其肩上紫袷囊，名曰「契囊」，世呼爲「紫荷」。
HCH_015_017_000236	佩玉，自乘輿以下，與晉、宋制同。
HCH_015_017_000237	建元四年，制王公侯卿尹珠水精，其餘用牙蜯。
HCH_015_017_000238	太官宰人服離支衣，後定。
HCH_015_017_000239	贊曰：文物煌煌，儀品穆穆。
HCH_015_017_000240	分別禮數，莫過輿服。
HCH_015_017_000241	「漆畫牽車」注「戍棟樑」，一本「戍」作「戈」。
HCH_015_017_000242	「輿車」注「成校棟樑」，一本「成校」作「戈杖」。
HCH_015_017_000243	「衣書車」注「刺代棟樑」，「平乘車」注「刺代棟樑」，並疑。
HCH_015_017_000244	本南北朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
