HCH_009_114_000220	有司以敵至不出兵當斬，諸皇族百餘人上章救之，上曰：「向合周救中都，未至而軍潰，使宗廟山陵失守，罪當誅，朕特寬貸以全其命。尋復重職，今鎮陝西，所犯乃爾，國家大法，豈敢私耶！」
HCH_009_114_000221	遂再奪爵，免死除名。
HCH_009_114_000222	至是，為參知政事。
HCH_009_114_000223	性好作詩詞，語鄙俚，人采其語以為戲笑。
HCH_009_114_000224	因自草《括粟榜文》，有「雀無翅兒不飛，蛇無頭兒不行」等語，以「而」作「兒」，掾史知之，不敢易也。
HCH_009_114_000225	京城目之曰「雀兒參政」。
HCH_009_114_000226	哀宗用而不悟，竟致敗事。
HCH_009_114_000227	石抹世勣，字景略。
HCH_009_114_000228	幼勤學，為文有體裁。
HCH_009_114_000229	承安二年，以父元毅死王事，收充擎執。
HCH_009_114_000230	五年，登詞賦、經義兩科進士第。
HCH_009_114_000231	貞祐三年，累官為太常丞，預講議所事。
HCH_009_114_000232	時朝廷徙河北軍戶河南，宰職議給以田，世勣上言曰：「荒閑之田及牧馬地，其始耕墾，費力當倍，一歲斷不能熟。若奪民素蒔者與之，則民將失所，且啟不和之端。況軍戶率無耕牛，雖或有之，而廩給未敢遽減。彼既南來，所捐田宅為人所有，一旦北歸，能無爭奪？切謂宜令軍戶分人歸守本業，收其晚禾，至春復還為固守計。」
HCH_009_114_000233	會侍御史劉元規亦言給田不便，上大悟，乃罷之。
HCH_009_114_000234	未幾，遷同知金安軍節度使。
HCH_009_114_000235	興定二年，選為華州元帥府參議官。
HCH_009_114_000236	初，右都監完顏合達行帥府於楨州，嘗以前同知平涼府事卓魯回蒲乃速為參議，及移駐華州，陝西行省請復用蒲乃速，令世勣副之。
HCH_009_114_000237	上曰：「蒲乃速但能承奉人耳，余無所長，非如世勣可任以事。華為要鎮，而輕用其人，或致敗事。」
HCH_009_114_000238	遂獨用世勣焉。
HCH_009_114_000239	尋入為尚書省左司郎中。
HCH_009_114_000240	元光元年，奪一官，解職。
HCH_009_114_000241	初，世勣任華州，有薦其深通錢穀者，復察不如所舉，未籍行止中。
HCH_009_114_000242	後主者舉覺，平章英王以世勣避都司之繁，私屬治籍吏冀改他職，奏下有司，故有是責。
HCH_009_114_000243	久之，起為禮部侍郎，轉司農，改太常卿。
HCH_009_114_000244	正大中，為禮部尚書，兼翰林侍講學士。
HCH_009_114_000245	天興元年冬，哀宗將北渡，世勣率朝官劉肅、田芝等二十人求見仁安殿。
HCH_009_114_000246	上問卿等欲何言，世勣曰：「臣等聞陛下欲親出，切謂此行不便。」
HCH_009_114_000247	上曰：「我不出，軍分為二，一軍守，一軍出戰。我出則軍合為一。」
HCH_009_114_000248	世勣曰：「陛下出則軍分為三，一守、一戰、一中軍護從，不若不出為愈也。」
HCH_009_114_000249	上曰：「卿等不知，我若得完顏仲德、恆山公武仙付之兵事，何勞我出。我豈不知今日將兵者，官奴統馬兵三百止矣，劉益將步兵五千止矣，欲不自將，得乎？」
HCH_009_114_000250	上又指御榻曰：「我此行豈復有還期，但恨我無罪亡國耳。我未嘗奢侈，未嘗信任小人。」
HCH_009_114_000251	世勣應聲曰：「陛下用小人則亦有之。」
HCH_009_114_000252	上曰：「小人謂誰？」
HCH_009_114_000253	世勣歷數曰：「移剌粘古、溫敦昌孫、兀撒惹、完顏長樂皆小人也。陛下不知為小人，所以用之。」
HCH_009_114_000254	肅與世勣復多有言，良久，君臣涕泣而別。
HCH_009_114_000255	初，肅等求見，本欲數此四人。
HCH_009_114_000256	至是，世勣獨言之，於是哀宗以世勣行。
HCH_009_114_000257	自蒲城至歸德。
HCH_009_114_000258	明年六月，走蔡州，次新蔡縣之姜寨。
HCH_009_114_000259	世勣子嵩，時為縣令，拜上于馬前，兵亂後父子始相見。
HCH_009_114_000260	上嘉之，授嵩應奉翰林文字，以便養親。
HCH_009_114_000261	蔡城破，父子俱死。
HCH_009_114_000262	嵩字企隆，興定二年經義進士。
