HCH_012_124_000229	三原縣尹硃春謂其妻曰：「吾當死以報國。」
HCH_012_124_000230	妻曰：「君能盡忠，妾豈不能盡節。」
HCH_012_124_000231	亦俱投繯死。
HCH_012_124_000232	又大軍攻永州，右丞鄧祖勝固守，食盡力窮，仰藥死。
HCH_012_124_000233	克梧州，吏部尚書普顏帖木兒戰死，張翱赴水死。
HCH_012_124_000234	克靖江，都事趙元隆、陳瑜、劉永錫，廉訪使僉事帖木兒不花，元帥元禿蠻，萬戶董醜漢，府判趙世傑皆自殺。
HCH_012_124_000235	至如劉福通、徐壽輝、陳友諒等所破郡縣，守吏將帥多死節者，已見《元史》，不具載，載其見《明實錄》者。
HCH_012_124_000236	又有劉諶，江西人，為仁壽教官。
HCH_012_124_000237	明玉珍入蜀，棄官隱瀘州。
HCH_012_124_000238	玉珍欲官之，不就。
HCH_012_124_000239	鳳山趙善璞隱深山，明玉珍聘為學士，亦不就。
HCH_012_124_000240	而張士誠破平江時，參軍楊椿挺身戰，刃交於胸，嗔目怒駡死，妻亦自經。
HCH_012_124_000241	士誠又以書幣征故左司員外郎楊乘於松江，乘具酒醴告祖禰，顧西日晴明，曰：「人生晚節，如是足矣。」
HCH_012_124_000242	夜分自經死。
HCH_012_124_000243	其親籓死事最烈者，有雲南梁王。
HCH_012_124_000244	梁王把匝剌瓦爾密，元世祖第五子雲南王忽哥赤之裔也。
HCH_012_124_000245	封梁王，仍鎮雲南。
HCH_012_124_000246	順帝之世，天下多故，雲南僻遠，王撫治有威惠。
HCH_012_124_000247	至正二十三年，明玉珍僭號於蜀，遣兵三道來攻，王走營金馬山。
HCH_012_124_000248	明年以大理兵迎戰，玉珍兵敗退。
HCH_012_124_000249	久之，順帝北去，大都不守，中國無元尺寸地，而王守雲南自若；歲遣使自塞外達元帝行在，執臣節如故。
HCH_012_124_000250	未幾，明師平四川，天下大定。
HCH_012_124_000251	太祖以雲南險僻，不欲用兵。
HCH_012_124_000252	明年正月，北平守將以所得王遣往漠北使者蘇成來獻，太祖乃命待制王禕齎詔偕成往招諭。
HCH_012_124_000253	王待禕以禮。
HCH_012_124_000254	會元嗣君遣使脫脫來征餉，脫脫疑王有他意，因脅以危語。
HCH_012_124_000255	王遂殺禕而以禮斂之。
HCH_012_124_000256	逾三年，太祖復遣湖廣參政吳雲偕大軍所獲雲南使臣鐵知院等往。
HCH_012_124_000257	知院以己奉使被執，誘雲改制書紿王。
HCH_012_124_000258	雲不從，被殺。
HCH_012_124_000259	王聞雲死，收其骨，送蜀給孤寺。
HCH_012_124_000260	太祖知王終不可以諭降，乃命傅友德為征南將軍，藍玉、沐英為副，帥師征之。
HCH_012_124_000261	洪武十四年十二月下普定。
HCH_012_124_000262	王遣司徒平章達裏麻率兵駐曲靖。
HCH_012_124_000263	沐英引軍疾趨，乘霧抵白石江。
HCH_012_124_000264	霧解，達裏麻望見大驚。
HCH_012_124_000265	友德等率兵進擊，達裏麻兵潰被擒。
HCH_012_124_000266	先是，王以女妻大理酋段得功，嘗倚其兵力，後以疑殺之，遂失大理援。
HCH_012_124_000267	至是達裏麻敗，失精甲十餘萬。
HCH_012_124_000268	王知事不可為，走普寧州之忽納砦，焚其龍衣，驅妻子赴滇池死。
HCH_012_124_000269	遂與左丞達的、右丞驢兒夜入草舍，俱自經。
HCH_012_124_000270	太祖遷其家屬于耽羅。
HCH_012_124_000271	贊曰：洪武九年，方穀珍死，宋濂奉敕撰墓碑，于一時群雄，皆直書其名，獨至察罕，曰齊國李忠襄王，順逆之理昭然可見矣。
HCH_012_124_000272	擴廓百戰不屈，欲繼先志，而齎恨以死。
HCH_012_124_000273	友定不作何真之偷生，梁王恥為納哈出之背國，要皆元之忠臣也。
HCH_012_124_000274	《詩》曰「其儀一兮，心如結兮」，《易》曰「苦節悔亡」，其伯顏子中、蔡子英之謂歟。
HCH_012_124_000275	嘗謂元歸塞外，一時從臣必有賦《式微》之章於沙漠之表者，惜其姓字湮沒，不得見於人間。
HCH_012_124_000276	然則若子英者，又豈非厚幸哉！
