HCH_012_164_000141	遂逮下獄。
HCH_012_164_000142	正統六年黜為民。
HCH_012_164_000143	初，澤奏金華、臺州戶口較洪武時耗減，而歲造弓箭如舊，乞減免。
HCH_012_164_000144	下部議得允，而澤已罷官逾月矣。
HCH_012_164_000145	孔友諒，長洲人。
HCH_012_164_000146	永樂十六年進士。
HCH_012_164_000147	改庶吉士，出知雙流縣。
HCH_012_164_000148	宣宗初，上言六事：一曰，守令親民之官，古者不拘資格，必得其人；不限歲月，使盡其力。
HCH_012_164_000149	今居職者多不知撫字之方，而廉幹得民心者，又遷調不常，差遣不一。
HCH_012_164_000150	或因小事連累，朝夕營治，往來道路，日不暇給。
HCH_012_164_000151	乞敕吏部，擇才望素優及久歷京官者任之。
HCH_012_164_000152	諭戒上司，毋擅差遣，假以歲月，責成治效。
HCH_012_164_000153	至遠缺佐貳，多經裁減，獨員居職。
HCH_012_164_000154	或遇事赴京，多委雜職署事，因循茍且，政令無常，民不知畏。
HCH_012_164_000155	今後路遠之缺，常留一正員任事，不得擅離，庶法有常守。
HCH_012_164_000156	二曰，科舉所以求賢，必名實相副，非徒誇多而已。
HCH_012_164_000157	今秋闈取士動一二百人。
HCH_012_164_000158	弊既多端，僥幸過半。
HCH_012_164_000159	會試下第，十常八九，其登第者，實行或乖。
HCH_012_164_000160	請於開科之歲，詳核諸生行履。
HCH_012_164_000161	孝弟忠信、學業優贍者，乃許入試。
HCH_012_164_000162	庶浮薄不致濫收，而國家得真才之用。
HCH_012_164_000163	三曰，祿以養廉，祿入過薄，則生事不給。
HCH_012_164_000164	國朝制祿之典，視前代為薄。
HCH_012_164_000165	今京官及方面官稍增俸祿，其餘大小官自折鈔外，月不過米二石，不足食數人。
HCH_012_164_000166	仰事俯育，與道路往來，費安所取資？
HCH_012_164_000167	貪者放利行私，廉者終窶莫訴。
HCH_012_164_000168	請敕戶部勘實天下糧儲，以歲支之余，量增官俸。
HCH_012_164_000169	仍令內外風憲官，采訪廉潔之吏，重加旌賞。
HCH_012_164_000170	則廉者知勸，貪者知戒。
HCH_012_164_000171	四曰，古者賦役量土宜，驗丁口，不責所無，不盡所有。
HCH_012_164_000172	今自常賦外，復有和買、采辦諸事。
HCH_012_164_000173	自朝廷視之，不過令有司支官錢平買。
HCH_012_164_000174	而無賴之輩，關通吏胥，壟斷貨物，巧立辨驗、折耗之名，科取數倍，奸弊百端。
HCH_012_164_000175	乞盡停采買，減諸不急務，則國賦有常，民無科擾。
HCH_012_164_000176	其二事言汰冗員，任風憲，言者多及之，不具載。
