HCH_009_008_000205	五月庚寅，平章政事襄、奉禦平山等射懷孕兔。
HCH_009_008_000206	上怒杖平山三十，召襄誡飭之，遂下詔禁射兔。
HCH_009_008_000207	壬寅，次天平山好水川。
HCH_009_008_000208	癸卯，遣使臨潢、泰州勸農。
HCH_009_008_000209	丙午，命尚書省奏事衣窄紫。
HCH_009_008_000210	六月甲寅，獵近山，見田壟不治，命笞田者。
HCH_009_008_000211	庚申，皇太子允恭薨。
HCH_009_008_000212	丙寅，尚書右丞相烏古論元忠罷。
HCH_009_008_000213	庚午，遣左宣徽使唐括鼎詣京師，致祭皇太子。
HCH_009_008_000214	戊寅，命皇太子妃及諸皇孫執喪。
HCH_009_008_000215	並用漢儀。
HCH_009_008_000216	七月戊申，發好水川。
HCH_009_008_000217	九月辛巳朔，次轄沙河，賜百歲老嫗帛。
HCH_009_008_000218	甲申，次遼水，召見百二十歲女直老人，能道太祖開創事，上嘉歎，賜食，並賜帛。
HCH_009_008_000219	己酉，至自上京。
HCH_009_008_000220	是日，上臨奠宣孝皇太子于熙春園。
HCH_009_008_000221	十月丙辰，尚書省奏親軍數多，宜稍減損，詔定額為三千。
HCH_009_008_000222	宰臣退，上謂左右曰：「宰相年老艱于久立，可置小榻廊下，使少休息。」
HCH_009_008_000223	甲子，禁上京等路大雪及含胎時採捕。
HCH_009_008_000224	上謂宰臣曰：「護衛年老出職而授臨民，手字尚不能畫，何以治民？人胸中明暗外不能知，精神昏耄已見於外，是強其所不能也。天子以兆民為子，不能家家而撫，在用人而已。知其不能而強授之，百姓其謂我何？」
HCH_009_008_000225	丁丑，命學士院、講院、秘書監、司天臺、著作局、閣門、通進、拱衛、直武器署等官，凡直宮中，午前許退。
HCH_009_008_000226	十一月庚辰朔，詔曰：「豺未祭獸，不許採捕。冬月，雪尺以上，不許用網及速撒海，恐盡獸類。」
HCH_009_008_000227	歲星晝見。
HCH_009_008_000228	壬午，太白晝見。
