HCH_012_162_000001	尹昌隆耿通戴綸陳祚劉球陳鑒鐘同章綸廖莊倪敬楊瑄尹昌隆，字彥謙，泰和人。
HCH_012_162_000383	帝嘉嘆，贈南京禮部尚書，謚恭毅，官一子鴻臚典簿。
HCH_012_162_000384	玄應後舉進士，為南京給事中。
HCH_012_162_000385	偕同官論陳鉞罪，忤旨停俸。
HCH_012_162_000386	孝宗嗣位，上治本五事。
HCH_012_162_000387	仕終廣東布政使。
HCH_012_162_000388	廖莊，字安止，吉水人。
HCH_012_162_000389	宣德五年進士。
HCH_012_162_000390	八年改庶吉士，與知縣孔友諒等七人歷事六科。
HCH_012_162_000391	英宗初，授刑科給事中。
HCH_012_162_000392	正統二年，御史元亮請如詔書蠲邊軍侵沒糧餉，不允。
HCH_012_162_000393	按察使龔鐩亦請如詔書宥盜犯之未獲者，法司亦寢不行。
HCH_012_162_000394	莊以詔書當信，上章爭之。
HCH_012_162_000395	五年詔京官出修荒政，兼征民逋。
HCH_012_162_000396	莊慮使者督趣困民，請寬災傷州縣，俟秋成。
HCH_012_162_000397	從之。
HCH_012_162_000398	振荒陜西，全活甚眾。
HCH_012_162_000399	還奏寬恤九事，多議行。
HCH_012_162_000400	楊士奇家人犯法，偕同官論列。
HCH_012_162_000401	或曰：「獨不為楊公地乎？」
HCH_012_162_000402	曰：「正所以為楊公也。」
HCH_012_162_000403	八年命與御史張驥同署大理寺事。
HCH_012_162_000404	逾月，授左寺丞。
HCH_012_162_000405	十一年遷南京大理少卿。
HCH_012_162_000406	逾二年，奸人陳夫者，與所親賈福爭襲指揮職。
HCH_012_162_000407	南京刑部侍郎齊韶納夫賄，欲奪福官與之，為莊所駁。
HCH_012_162_000408	韶捶福至死，被逮。
HCH_012_162_000409	夫亦誣莊，俱征下詔獄。
HCH_012_162_000410	會韶他罪並發，棄市，莊乃得釋。
HCH_012_162_000411	景泰五年七月上疏曰：「臣曩在朝，見上皇遣使冊封陛下，每遇慶節，必令群臣朝謁東廡，恩禮隆洽，群臣皆感嘆，謂上皇兄弟友愛如此。今陛下奉天下以事上皇，願時時朝見南宮，或講明家法，或商略治道，歲時令節，俾群臣朝見，以慰上皇之心，則祖宗在天之神安，天地之心亦安矣。太子者，天下之本。上皇之子，陛下之猶子也。宜令親儒臣，習書策，以待皇嗣之生，使天下臣民曉然知陛下有公天下之心，豈不美歟？蓋天下者，太祖、太宗之天下。仁宗、宣宗繼體守成者，此天下也。上皇北征，亦為此天下也。今陛下撫而有之，宜念祖宗創業之艱難，思所以系屬天下之人心，即弭災召祥之道莫過於此。」
HCH_012_162_000412	疏入，不報。
HCH_012_162_000413	明年，莊以母喪，赴京關給勘合，詣東角門朝見。
HCH_012_162_000414	帝憶莊前疏，命廷杖八十，謫定羌驛丞。
HCH_012_162_000415	天順初，召還。
HCH_012_162_000416	時母喪未終，復遭父喪，特予祭葬，命起復，仍官南京。
HCH_012_162_000417	天順五年就擢禮部右侍郎，改刑部。
HCH_012_162_000418	成化初，召為刑部左侍郎。
HCH_012_162_000419	逾年卒。
HCH_012_162_000420	贈尚書，謚恭敏。
HCH_012_162_000421	莊性剛，喜面折人過，而實坦懷無芥蒂。
HCH_012_162_000422	不屑細謹，好存謝賓客為歡狎。
HCH_012_162_000423	既官法司，或勸稍屏謝往來，遠嫌疑。
HCH_012_162_000424	莊笑曰：「昔人有言『臣門如市，臣心如水』，吾無愧吾心而已。」
HCH_012_162_000425	卒之日，無以為斂，眾裒錢助其喪。
HCH_012_162_000426	初，景帝時，英宗在南宮，左右為離間。
HCH_012_162_000427	及懷憲太子薨，群小恐沂王復立，讒構愈甚。
HCH_012_162_000428	故鐘同、章綸與莊相繼力言，皆得罪。
HCH_012_162_000429	然帝頗感悟。
HCH_012_162_000430	六年七月辛巳，刑科給事中徐正請間言事。
HCH_012_162_000431	亟召入，乃言：「上皇臨御歲久，沂王嘗位儲副，天下臣民仰戴。宜遷置所封之地，以絕人望。別選親王子育之宮中。」
HCH_012_162_000432	帝驚愕，大怒，立叱出之。
HCH_012_162_000433	欲正其罪，慮駭眾，乃命謫遠任，而帝怒未解。
HCH_012_162_000434	己，復得其淫穢事，謫戍鐵嶺衛。
HCH_012_162_000435	蓋帝雖怒同等所言過激，而小人之言亦未遽聽也。
HCH_012_162_000436	迨英宗復辟，于謙、王文以謀立外藩，誅死，其事遂不白雲。
HCH_012_162_000437	倪敬，字汝敬，無錫人。
HCH_012_162_000438	正統十三年進士。
HCH_012_162_000439	擢御史。
HCH_012_162_000440	景泰初，畿輔饑，命出視。
HCH_012_162_000441	請蠲田租，戶部持不可。
HCH_012_162_000442	再疏爭，竟得請。
HCH_012_162_000443	巡按山西。
HCH_012_162_000444	時有入粟補官令，敬奏罷之。
HCH_012_162_000445	戍將侵餉者，悉按治，豪猾斂跡。
HCH_012_162_000446	再按福建。
HCH_012_162_000447	時議將復銀冶，敬未行，抗疏論，得寢。
HCH_012_162_000448	既至，奏罷諸司器物濫取於民者。
HCH_012_162_000449	鎮守內臣戴細保貪橫，敬列其罪以聞。
HCH_012_162_000450	帝召細保還，命敬捕治其黨，吏民相慶。
HCH_012_162_000451	代還，留家四月，逮治，尋復職。
HCH_012_162_000452	六年七月，以時多災異，偕同官吳江盛昶、江陰杜宥、蕪湖黃讓、安福羅俊、固始汪清上言：「府庫之財，不宜無故而予；遊觀之事，不宜非時而行。曩以齋僧，屢出帑金易米，不知櫛風沐雨之邊卒，趨事急公之貧民，又何以濟之？近聞造龍舟，作燕室，營繕日增，嬉遊不少，非所以養聖躬也。章綸、鐘同直言見忤，幽錮逾年，非所以昭聖德也。願罷桑門之供，輟宴佚之娛，止興作之役，寬直臣之囚。」
HCH_012_162_000453	帝得疏不懌，下之禮部。
HCH_012_162_000454	部臣稱其忠愛。
HCH_012_162_000455	帝報聞，然意終不釋。
HCH_012_162_000456	未幾，詔都御史蕭維禎考察其屬，諭令去之。
HCH_012_162_000457	御史罷黜者十六人，而敬等預焉；皆謫為典史，敬得廣西宜山。
HCH_012_162_000458	英宗復辟，詔皆授知縣，乃以敬知祥符。
HCH_012_162_000459	安遠侯柳溥器敬，西征，請以自隨，改都督府都事。
HCH_012_162_000460	逾年師還，卒。
HCH_012_162_000461	士類惜之。
HCH_012_162_000462	盛昶等五人，皆進士。
HCH_012_162_000463	昶雋爽負氣。
HCH_012_162_000464	嘗按廣東，劾巡撫侍郎揭稽不職，稽坐左遷。
HCH_012_162_000465	昶後為羅江知縣，擢敘州知府，並有禦寇功。
HCH_012_162_000466	杜宥為英德知縣。
HCH_012_162_000467	鄰境多寇，創立縣城。
HCH_012_162_000468	嘗被圍糧盡，宥死守不下。
HCH_012_162_000469	夜縋死士焚其營，賊始驚潰。
HCH_012_162_000470	移韶州通判，謝病歸。
HCH_012_162_000471	黃讓知安嶽，遷中府都事。
HCH_012_162_000472	以撻錦衣衛隸，為門達所譖，戍廣西。
HCH_012_162_000473	赦還，復冠帶。
HCH_012_162_000474	貧甚，課耕自給。
HCH_012_162_000475	羅俊嘗巡按四川，有廉聲。
HCH_012_162_000476	仕終南雄知府。
HCH_012_162_000477	楊瑄，字廷獻，豐城人。
HCH_012_162_000478	景泰五年進士。
HCH_012_162_000479	授御史。
HCH_012_162_000480	剛直尚氣節。
HCH_012_162_000481	景帝不豫，廷臣請立東宮，帝不允。
HCH_012_162_000482	瑄與同官錢琎、樊英等約疏爭，會「奪門」事起，乃已。
HCH_012_162_000483	天順初，印馬畿內。
HCH_012_162_000484	至河間，民訴曹吉祥、石亨奪其田。
HCH_012_162_000485	瑄以聞，並列二人怙寵專權狀。
HCH_012_162_000486	帝語大學士李賢、徐有貞曰：「真御史也。」
HCH_012_162_000487	遂遣官按核，而命吏部識瑄名，將擢用。
HCH_012_162_000488	吉祥聞之懼，訴於帝，請罪之。
HCH_012_162_000489	不許。
HCH_012_162_000490	未幾，亨西征還，適彗星見，十三道掌道御史張鵬、盛颙、周斌、費廣、張寬、王鑒、趙文博、彭烈、張奎、李人儀、邵銅、鄭冕、陶復及御史劉泰、魏翰、康驥將劾亨、吉祥諸違法事。
HCH_012_162_000491	先一日，給事中王鉉泄於亨。
HCH_012_162_000492	亨與吉祥泣訴帝，誣鵬等為已誅內官張永從子，結黨排陷，欲為永報仇。
HCH_012_162_000493	明日疏入，帝大怒，收鵬及瑄。
HCH_012_162_000494	禦文華殿，悉召諸御史，擲彈章，俾自讀。
HCH_012_162_000495	斌且讀且對，神色自若。
HCH_012_162_000496	至冒功濫職，帝詰之曰：「彼帥將士迎駕，朝廷論功行賞，何雲冒濫？」
HCH_012_162_000497	斌曰：「當時迎駕止數百人，光祿賜酒饌，名數具在。今超遷至數千人，非冒濫而何？」
HCH_012_162_000498	帝默然，竟下瑄、鵬及諸御史於獄。
HCH_012_162_000499	榜掠備至，詰主使者，瑄等無所引，乃坐都御史耿九疇、羅綺主謀，亦下獄。
HCH_012_162_000500	論瑄、鵬死，余遣戍。
HCH_012_162_000501	亨等復譖諸言官。
HCH_012_162_000502	帝諭吏部，給事、御史年逾三十者留之，余悉調外。
HCH_012_162_000503	尚書翺列上給事中何玘等十三人，御史吳禎等二十三人。
HCH_012_162_000504	詔以玘等為州判官，禎等為知縣。
HCH_012_162_000505	會大風震雷，拔木發屋，須臾大雨雹。
HCH_012_162_000506	亨、吉祥家大木俱折，二人亦懼。
HCH_012_162_000507	掌欽天監禮部侍郎湯序本亨黨，亦言上天示警，宜恤刑獄。
HCH_012_162_000508	於是帝感悟，戍瑄、鵬鐵嶺衛，余貶知縣，泰、翰、驥三人復職，而玘、禎等亦得無調。
HCH_012_162_000509	玘、鵬行半道，適承天門災，肆赦放還。
HCH_012_162_000510	或謂當詣亨、吉祥謝，二人卒不往，復謫戍南丹。
HCH_012_162_000511	憲宗即位，並還故官。
HCH_012_162_000512	瑄尋遷浙江副使。
HCH_012_162_000513	按行海道，禁將校私縱戍卒。
HCH_012_162_000514	修捍海塘，築海鹽堤岸二千三百丈，民得奠居。
HCH_012_162_000515	為副使十餘年，政績卓然，進按察使。
HCH_012_162_000516	西湖水舊可溉諸縣田四十六萬頃，時堙塞過半，瑄請浚之。
HCH_012_162_000517	設防置閘，以利灌溉，功未就，卒。
HCH_012_162_000518	海鹽人祠祀之。
HCH_012_162_000519	子源，字本清，幼習天文，授五官監候。
HCH_012_162_000520	正德元年，劉瑾等亂政，源上言：「自八月初，大角及心宿中星動搖不止。大角，天王之坐，心宿中星，天王正位也，俱宜安靜，今乃動搖。其占曰：「人主不安，國有憂。』意者陛下輕舉逸遊，弋獵無度，以致然也。又北斗第二第三第四星，明不如常。第二曰天璇，后妃之象。后妃不得其寵則不明，廣營宮室妄鑿山陵則不明。第三曰天機，不愛百姓，驟興征徭則不明。第四曰天權，號令不當則不明。伏願陛下祗畏天戒，安居深宮，絕嬉戲，禁遊畋，罷騎射，停工作，申嚴號令，毋輕出入，抑遠寵幸，裁節賜予，親元老大臣，日事講習，克修厥德，以弭災變。」疏下禮部，尚書張升等稱源忠愛。報聞。迨十月，霾霧時作，源言：「此眾邪之氣，陰冒於陽，臣欺其君，小人擅權，下將叛上。」引譬甚切。瑾怒，矯旨杖三十，釋之。又上言：「自正德二年來，占得火星入太微垣帝座前，或東或西，往來不一，乞收攬政柄，思患預防。」蓋專指瑾也。瑾大怒，召而叱之曰：「若何官，亦學為忠臣？」源厲聲曰：「官大小異，忠一也。」又矯旨杖六十，謫戍肅州。行至河陽驛，以創卒。其妻斬蘆荻覆之，葬驛後。楊氏父子以忠諫名天下，為士論重。而源小臣抗節，尤人所難。天啟初，賜謚忠懷。盛颙，字時望，無錫人。周斌，
HCH_012_162_000521	字國用，昌黎人。
HCH_012_162_000522	王鑒，太原人。
HCH_012_162_000523	趙文博，代州人。
HCH_012_162_000524	彭烈，峽江人。
HCH_012_162_000525	李人儀，隆昌人。
HCH_012_162_000526	邵銅，閩縣人。
HCH_012_162_000527	鄭冕，樂平人。
HCH_012_162_000528	皆進士，授御史。
HCH_012_162_000529	颙降束鹿知縣；斌，江陰；鑒，膚施；文博，淳化；烈，江浦；人儀，襄陽；銅，博羅；冕，衡山。
HCH_012_162_000530	並有善政。
HCH_012_162_000531	束鹿徭役苦不均，颙為立九則法，繼者莫能易。
HCH_012_162_000532	母憂去。
HCH_012_162_000533	服除，民相率詣闕乞還。
HCH_012_162_000534	颙再任，益不用鞭撲。
HCH_012_162_000535	訟者，諭之，輒叩頭不復辯。
HCH_012_162_000536	鄰邑訟不決，亦皆赴訴，片言折之，各心厭去。
HCH_012_162_000537	郊外有隙地，爭來築室居之，遂成市，號為「清官店」。
HCH_012_162_000538	斌在江陰，有惠政。
HCH_012_162_000539	民歌曰：「旱為災，周公禱之甘露來；水為患，周公禱之陰雨散。」
HCH_012_162_000540	天順七年，先以薦擢開封知府。
HCH_012_162_000541	而颙等至憲宗嗣位，所司以治行聞。
HCH_012_162_000542	帝曰：「諸臣直諫為權幸所排，又能稱職，其悉予郡。」
HCH_012_162_000543	於是擢颙知邵武；鑒，延安；文博，衛輝；烈，河南；人儀，荊州；銅，溫州；冕，衡州。
HCH_012_162_000544	颙復以任治劇，調延平。
HCH_012_162_000545	巡按御史上颙政績；陜西、湖廣守臣亦上鑒、人儀居縣時治行。
HCH_012_162_000546	皆特賜封誥。
HCH_012_162_000547	颙累遷陜西左布政使。
HCH_012_162_000548	時三邊多警，歲復洊饑。
HCH_012_162_000549	颙經畫饋餉無缺，軍民悉安。
HCH_012_162_000550	成化十七年召為刑部右侍郎。
HCH_012_162_000551	居二年，山東旱饑，盜起，改颙左副都御史往巡撫。
HCH_012_162_000552	颙至露禱，大雨霑溉，稿禾復蘇。
HCH_012_162_000553	舉救荒之政，既振，余粟尚百餘萬石。
HCH_012_162_000554	又推行九則法於諸府，黜暴除苛，民甚德之。
HCH_012_162_000555	居三年，以老致仕。
HCH_012_162_000556	弘治中卒。
HCH_012_162_000557	斌，歷廣東右布政使。
HCH_012_162_000558	初去江陰，民立生祠。
HCH_012_162_000559	及自開封遷去，民亦涕泣追送焉。
HCH_012_162_000560	鑒，初為御史，嘗於左順門面斥中官非禮。
HCH_012_162_000561	中官怒甚，因考察屬都御史蕭維禎去之，維禎不可而止。
HCH_012_162_000562	文博，終巡撫河南右副都御史。
HCH_012_162_000563	烈，廣東左布政使。
HCH_012_162_000564	費廣等無考。
HCH_012_162_000565	贊曰：直言敢諫之士，激於事變，奮不顧身，獲罪固其所甘心耳。
HCH_012_162_000566	然觀尹昌隆死於呂震；耿通陷於高煦；劉球之斃，陳鑒之系，由於王振；楊瑄之戍，厄於石亨、曹吉祥；乃至戴綸諫遊獵，陳祚請勤學，鐘同、章綸、廖莊倡復儲，倪敬等直言時事，皆用賈禍。
HCH_012_162_000567	忠臣之志抑而不伸，亦可悲夫。
