HCH_012_205_000262	宗憲令俞大猷雪夜焚其柵，盡死。
HCH_012_205_000263	兩浙倭漸平。
HCH_012_205_000264	三十六年正月，阮鶚改撫福建，即命宗憲兼浙江巡撫事。
HCH_012_205_000265	蔣洲在倭中，諭山口、豐後二島主源義長、源義鎮還被掠人口，具方物入貢。
HCH_012_205_000266	宗憲以聞。
HCH_012_205_000267	詔厚賚其使，遣還。
HCH_012_205_000268	至十月，復遣夷目善妙等隨汪直來市，至岑港泊焉。
HCH_012_205_000269	浙人聞直以倭船至，大驚。
HCH_012_205_000270	巡按御史王本固亦言不便，朝臣謂宗憲且釀東南大禍。
HCH_012_205_000271	直遣滶詣宗憲曰：「我等奉詔來，將息兵安境。謂宜使者遠迎，宴犒交至。今盛陳軍容，禁舟楫往來，公紿我耶？」
HCH_012_205_000272	宗憲解諭至再，直不信。
HCH_012_205_000273	乃令其子以書招之，直曰：「兒何愚也。汝父在，厚汝。父來，闔門死矣。」
HCH_012_205_000274	因要一貴官為質。
HCH_012_205_000275	宗憲立遣夏正偕滶往。
HCH_012_205_000276	宗憲嘗預為赦直疏，引滶入臥內，陰窺之。
HCH_012_205_000277	滶語直，疑稍解，乃偕碧川、清溪入謁。
HCH_012_205_000278	宗憲慰藉之甚至，令至杭見本固。
HCH_012_205_000279	本固下直等於獄。
HCH_012_205_000280	宗憲疏請曲貸直死，俾戍海上，系番夷心。
HCH_012_205_000281	本固爭之強，而外議疑宗憲納賊賂。
HCH_012_205_000282	宗憲懼，易詞以聞。
HCH_012_205_000283	直論死，碧川、清溪戍邊。
HCH_012_205_000284	滶與謝和遂支解夏正，柵舟山，阻岑港而守。
HCH_012_205_000285	官軍四面圍之，賊死鬥，多陷歿者。
HCH_012_205_000286	至明年春，新倭復大至，嚴旨責宗憲。
HCH_012_205_000287	宗憲懼得罪，上疏陳戰功，謂賊可指日滅。
HCH_012_205_000288	所司論其欺誕。
HCH_012_205_000289	帝怒，盡奪諸將大猷等職，切讓宗憲，令克期平賊。
HCH_012_205_000290	時趙文華已得罪死，宗憲失內援，見寇患未已，思自媚於上，會得白鹿於舟山，獻之。
HCH_012_205_000291	帝大悅，行告廟禮，厚賚銀幣。
HCH_012_205_000292	未幾，復以白鹿獻。
HCH_012_205_000293	帝益大喜，告謝玄極寶殿及太廟，百官稱賀，加宗憲秩。
HCH_012_205_000294	既而岑港之賊徙巢柯梅，官軍屢攻不能克。
HCH_012_205_000295	御史李瑚劾宗憲誘汪直啟釁。
HCH_012_205_000296	本固及給事中劉堯誨亦劾其老師縱寇，請追奪功賞。
HCH_012_205_000297	帝命廷議之，鹹言宗憲功多，宜勿罷。
HCH_012_205_000298	帝嘉其擒直功，令居職如故。
HCH_012_205_000299	賊之徙柯梅也，造巨艦為遁計。
HCH_012_205_000300	及艦成，宗憲利其去，不擊。
HCH_012_205_000301	賊揚帆泊浯嶼，縱掠閩海州縣。
HCH_012_205_000302	閩人大噪，謂宗憲嫁禍。
HCH_012_205_000303	御史瑚再劾宗憲三大罪。
HCH_012_205_000304	瑚與大猷皆閩人，宗憲疑大猷漏言，劾大猷不力擊，大猷遂被逮。
HCH_012_205_000305	當是時，江北、福建、廣東皆中倭。
HCH_012_205_000306	宗憲雖盡督東南數十府，道遠，但遙領而已，不能遍經畫。
HCH_012_205_000307	然小勝，輒論功受賚無虛月。
HCH_012_205_000308	即敗衄，不與其罪。
HCH_012_205_000309	三十八年，賊大掠溫、臺，別部復寇濱海諸縣。
HCH_012_205_000310	給事中羅嘉賓、御史龐尚鵬奉詔勘之。
HCH_012_205_000311	言宗憲養寇，當置重典，帝不問。
HCH_012_205_000312	明年，論平汪直功，加太子太保。
HCH_012_205_000313	宗憲多權術，喜功名，因文華結嚴嵩父子，歲遺金帛子女珍奇淫巧無數。
HCH_012_205_000314	文華死，宗憲結嵩益厚，威權震東南。
HCH_012_205_000315	性善賓客，招致東南士大夫預謀議，名用是起。
HCH_012_205_000316	至技術雜流，豢養皆有恩，能得其力。
HCH_012_205_000317	然創編提均徭之法，加賦額外，民為困敝，而所侵官帑、斂富人財物亦不貲。
HCH_012_205_000318	嘉賓、尚鵬還，上宗憲侵帑狀，計三萬三千，他冊籍沈滅。
HCH_012_205_000319	宗憲自辯，言：「臣為國除賊，用間用餌，非小惠不成大謀。」
HCH_012_205_000320	帝以為然，更慰諭之。
HCH_012_205_000321	尋上疏，請得節制巡撫及操江都御史，如三邊故事。
HCH_012_205_000322	帝即晉兵部尚書，如其請。
HCH_012_205_000323	復獻白龜二、五色芝五。
HCH_012_205_000324	帝為謝玄告廟如前，賚宗憲加等。
HCH_012_205_000325	明年，江西盜起，又兼制江西。
HCH_012_205_000326	未至，總兵官戚繼光已平賊。
HCH_012_205_000327	九月奏言：「賊屢犯寧、臺、溫，我師前後俘斬一千四百有奇，賊悉蕩平。」
HCH_012_205_000328	帝悅，加少保。
HCH_012_205_000329	兩廣平巨盜張璉，亦論宗憲功。
HCH_012_205_000330	時嵩已敗，大學士徐階曰：「兩廣平賊，浙何與焉？」
HCH_012_205_000331	僅賜銀幣。
HCH_012_205_000332	未幾，南京給事中陸鳳儀劾其黨嚴嵩及奸欺貪淫十大罪，得旨逮問。
HCH_012_205_000333	及宗憲至，帝曰：「宗憲非嵩黨。朕拔用八九年，人無言者。自累獻祥瑞，為群邪所疾。且初議獲直予五等封，今若加罪，後誰為我任事者？其釋令閑住。」
HCH_012_205_000334	久之，以萬壽節獻秘術十四。
HCH_012_205_000335	帝大悅，將復用矣。
HCH_012_205_000336	會御史汪汝正籍羅龍文家，上宗憲手書，乃被劾時自擬旨授龍文以達世蕃者，遂逮下獄。
