HCH_012_197_000139	臣以聖賢之道觀之，孟子言舜為天子，瞽瞍殺人，臯陶執之，舜則竊負而逃，是父母重而天下輕也。
HCH_012_197_000140	若宋儒之說，則天下重而父母輕矣。
HCH_012_197_000141	故曰求之聖賢之道則不通也。
HCH_012_197_000142	武宗嗣孝宗歷十有六年，考宗非無嗣也。
HCH_012_197_000143	今強欲陛下重為孝宗之嗣，何為也哉？
HCH_012_197_000144	夫陛下為孝宗子矣，誰為武宗子乎？
HCH_012_197_000145	孝宗有兩嗣子矣，武宗獨無嗣子，可乎？
HCH_012_197_000146	臣子於君父一也，既不忍孝宗之無嗣，獨忍武宗之無嗣乎？
HCH_012_197_000147	若曰武宗以兄，固得享弟之祀，則孝宗以伯，獨不得享侄之祀乎？
HCH_012_197_000148	既可越武宗直繼孝宗矣，獨不可並越孝宗直繼憲宗乎？
HCH_012_197_000149	武宗無嗣，無可如何矣。
HCH_012_197_000150	孝宗有嗣，復強繼其嗣，而絕興獻之嗣，是於孝宗無所益，而於興獻不大有損乎？
HCH_012_197_000151	故曰揆之今日之事體則不順也。
HCH_012_197_000152	然臣下之為此議也，其故有三：曰前代故事之拘也，曰不忘孝宗之德也，曰避迎合之嫌也。
HCH_012_197_000153	今陛下既考孝宗矣，尊興獻王以帝號矣，則將如斯而已乎？
HCH_012_197_000154	臣竊謂帝王之相繼也，繼其統而已矣，固不屑屑於父子之稱也。
HCH_012_197_000155	惟繼其統，則不惟孝宗之統不絕，即武宗之統亦不絕矣。
HCH_012_197_000156	然則如之何而可乎？
HCH_012_197_000157	惟陛下於興獻王得正父子之稱，以不絕天性之恩。
HCH_012_197_000158	於國母之迎，得正天子之母之禮。
HCH_012_197_000159	復於昭聖太后、武宗皇后處之有其道，事之盡其誠，則於尊尊親親兩不悖矣。
HCH_012_197_000160	帝得疏喜甚，迫群議不遽行。
HCH_012_197_000161	而朝士鹹指目韜為邪說。
HCH_012_197_000162	韜意不自得，尋謝病歸。
HCH_012_197_000163	嘉靖三年，帝議尊崇所生益急，兩詔召韜。
HCH_012_197_000164	韜辭疾不赴，馳疏言：今日大禮之議，兩端而已。
HCH_012_197_000165	曰崇正統之大義也，曰正天倫之大經也。
HCH_012_197_000166	徒尊正統，其弊至於利天下而棄父母；徒重天倫，其弊至於小加大而卑逾尊。
HCH_012_197_000167	故臣謂陛下宜稱孝宗曰皇伯考，獻帝曰皇考。
HCH_012_197_000168	此天倫之當辨者也。
HCH_012_197_000169	尊崇之議，則姑在所緩，此大統之當崇者也。
HCH_012_197_000170	乃廷議欲陛下上考孝宗，又兼考獻帝，此漢人兩統之失也。
HCH_012_197_000171	本原既差，則愈議愈失。
HCH_012_197_000172	臣之愚慮，則願陛下預防未然之失，毋重將來之悔而已。
HCH_012_197_000173	始陛下尊昭聖皇太后為母，雖於禮未合，然宮闈之內亦既相安。
HCH_012_197_000174	今一旦改稱，大非人情所堪。
HCH_012_197_000175	願陛下以臣等建議之情，上啟皇太后，必中心悅預無疑貳之隙。
HCH_012_197_000176	萬一未喻，亦得歸罪臣等，加賜誅斥，然後委曲申請，務得其歡心。
HCH_012_197_000177	陛下朝夕所以承迎其意，慰釋其憂者，亦無所不用其極，庶名分正而嫌隙消，天下萬世無所非議，此臣愚慮者一也。
HCH_012_197_000178	昭聖之嫡嗣，武宗一人而已。
HCH_012_197_000179	武宗無嗣，莊肅皇后之屬望已矣。
HCH_012_197_000180	臣謂陛下之事昭聖，禮秩雖極尊崇，然其勢日輕；陛下之事聖母，尊稱雖或未至，然其勢日重。
HCH_012_197_000181	故今日廷臣惓惓以尊大統，母昭聖為請者，蓋預防陛下將來之失，而追報孝宗之職分也。
HCH_012_197_000182	臣嘗伏讀明詔，正統大義，不敢有違。
HCH_012_197_000183	知陛下尊昭聖，敬莊肅，此心可上質天地，下信士庶矣。
HCH_012_197_000184	但恐左右之人不達聖意，妄生疑間。
HCH_012_197_000185	或以彌文小節，遂構兩宮之隙，此不可不早慮而預防之也。
HCH_012_197_000186	願陛下以臣等建議之情，上啟聖母曰，昭聖皇太后實大統嫡宗，至尊無對，伏願聖母時自謙抑，示尊敬至意。
HCH_012_197_000187	莊肅皇后母儀天下十六年，聖母接見之儀，不可輕忽，凡正旦、賀壽，聖母每致謙讓不敢受納之意。
HCH_012_197_000188	俾宮闈大權一歸昭聖，而聖母若無與焉，則天下萬世稱頌懿德與天無極。
HCH_012_197_000189	萬一聖母意猶未喻，亦得歸罪臣等，加賜誅斥，然後委曲申請，務得允從，庶宗統正而嫌隙消，天下萬世無所非議，此臣愚慮者二也。
HCH_012_197_000190	帝深嘉其忠義，趣令趨朝。
HCH_012_197_000191	明年擢少詹事兼侍講學士。
HCH_012_197_000192	韜固辭。
HCH_012_197_000193	且請令六部長貳、翰林、給事、禦中俱調外任，練政體；監司、守令政績卓異，即擢卿丞，有文學者擢翰林；舉貢入仕皆得擢翰林，升部院，不宜困資格。
HCH_012_197_000194	帝不允辭，趣令赴職。
HCH_012_197_000195	下其奏於有司，悉格不用。
HCH_012_197_000196	六年，還朝，命直經筵日講。
HCH_012_197_000197	韜自以南音力辭日講，請撰《古今政要》及《詩書直解》以進。
HCH_012_197_000198	帝褒許之。
HCH_012_197_000199	其年九月遷詹事兼翰林學士，韜復固辭，言：「自楊榮、楊士奇、楊溥以及李東陽、楊廷和顓權植黨，籠翰林為屬官，中書為門吏，故翰林遷擢不由吏部，而中書至有進秩尚書者。臣嘗建議，謂翰林去留，盡屬吏部，庶不陰倚內閣為腹心，內閣亦不陰結翰林為羽翼。且欲京官補外以均勞逸，議未即行，躬自蹈之，而又躐居學士徐縉上，何愧如之。」
HCH_012_197_000200	帝優詔不允。
HCH_012_197_000201	明年四月進禮部右侍郎。
HCH_012_197_000202	韜力辭，且舉康海、王九思、李夢陽、魏校、顏木、王廷陳、何瑭自代，帝不允。
HCH_012_197_000203	再辭，乃允之。
HCH_012_197_000204	六月，「大禮」成，超拜禮部尚書，掌詹事府事。
HCH_012_197_000205	韜因言翰林院修書遷官、日講蔭子、及巡撫子弟蔭武職之非，而以為己不能力挽，不可隨眾趨。
HCH_012_197_000206	且稱給事中陳洸冤，薦監生陳雲章才可用。
HCH_012_197_000207	帝優詔褒答，不允辭。
HCH_012_197_000208	韜復奏曰：「今異議者謂陛下特欲尊崇皇考，遂以官爵餌其臣，臣等二三臣茍圖官爵，遂阿順陛下之意。臣嘗自慨，若得禮定，決不受官，俾天下萬世知議禮者非利官也。茍疑議禮者為利官，則所議雖是，彼猶以為非，何以塞天下口？」
HCH_012_197_000209	因固辭不拜，帝猶不允。
HCH_012_197_000210	三辭，乃允之。
HCH_012_197_000211	韜先後薦王守仁、王瓊諸人，帝皆納用。
HCH_012_197_000212	嘗因災異陳時弊十餘事，多議行。
HCH_012_197_000213	張璁、桂萼之罷政也，韜謂言官陸粲等受楊一清指使，兩疏力攻一清，奪其職，而璁、萼召還。
HCH_012_197_000214	帝從夏言議，將分祀天地，建二郊，韜極言其非。
HCH_012_197_000215	帝不悅，責韜罔上自恣。
HCH_012_197_000216	言亦疏辨，力詆韜。
HCH_012_197_000217	韜素護前自遂，見帝怒，不敢辨，乃遺言書，痛詆之，復錄其書送法司。
HCH_012_197_000218	言怒，疏陳其狀，且劾韜無君七罪，並以其書進呈。
HCH_012_197_000219	帝大怒，責韜謗訕君上，醜正懷邪，遂下都察院獄。
HCH_012_197_000220	韜從獄中上書祈哀，璁亦再申救，帝皆不納。
HCH_012_197_000221	南京御史鄧文憲言，宜察韜心，容其戇，且天地分祀是置父母異處，郊外親蠶是廢內外防閑。
HCH_012_197_000222	帝怒，謫之邊方。
HCH_012_197_000223	韜繫獄逾月，帝終念其議禮功，令輸贖還職。
HCH_012_197_000224	尋以母喪歸。
HCH_012_197_000225	廣東僉事龔大稔訐韜及方獻夫居鄉不法事，大稔反被逮削籍。
HCH_012_197_000226	十二年，韜起歷吏部左、右侍郎。
HCH_012_197_000227	時部事多主於尚書，兩侍郎率不預。
HCH_012_197_000228	韜爭於尚書汪鋐，侍郎始獲參部事。
HCH_012_197_000229	韜素剛愎，屢與鋐爭，鋐等亦嚴憚之。
HCH_012_197_000230	既而鋐罷，帝久不置尚書，以韜掌部事。
HCH_012_197_000231	閣臣李時傳旨，用鴻臚卿王道中為順天府丞。
HCH_012_197_000232	韜言：「輔臣承天語無可疑，然臣等猶當奏請，用杜矯偽。」
HCH_012_197_000233	因守故事，列道中及應天府丞郭登庸二人名上。
HCH_012_197_000234	帝嘉其守法，乃用登庸，而改道中大理少卿。
HCH_012_197_000235	久之，出韜為南京禮部尚書。
HCH_012_197_000236	順天府尹劉淑相坐所親贓私被鞫，疑禮部尚書夏言姻通判費完陷之，訐言請屬事。
HCH_012_197_000237	帝怒，下淑相詔獄。
HCH_012_197_000238	淑相與韜善，言亦疑韜主之，遂訐韜扈蹕謁陵，遠遊銀山寺大不敬。
HCH_012_197_000239	韜自訴，因論言：「請謚故少師費宏為文憲，不敘宏累被劾狀，按律，增減緊關情節者斬。且『憲』乃純皇帝廟號，人臣安得用？」
HCH_012_197_000240	會南京給事中曾鈞騎馬，不避尚書劉龍、潘珍轎，龍與鈞互訐奏。
HCH_012_197_000241	韜劾鈞，且請禁小臣乘轎。
HCH_012_197_000242	給事中李充濁、曹邁等交章，言近侍之臣不當避道，雜舉公會宴次得與尚書同列以證，語頗侵韜。
HCH_012_197_000243	韜疑充濁倚言為內主，訐充濁為奸黨，復摭言他事。
HCH_012_197_000244	言益怒，奏韜大罪十餘事。
HCH_012_197_000245	且言彭時、宋濂皆於正德間謚文憲，不避廟號，韜陋不知故事。
HCH_012_197_000246	帝方不直韜，淑相復從獄中摭言他事，帝益怒，考訊之。
HCH_012_197_000247	辭服韜主使，乃斥淑相為民，降韜俸一級。
HCH_012_197_000248	當議乘轎時，言被劾不預，都御史王廷相會禮部侍郎黃宗明、張璧請禁飭小臣如韜奏，而南京諸給事、御史自如。
HCH_012_197_000249	韜以為言，帝復申飭，眾情滋不悅。
HCH_012_197_000250	曹邁及同官尹相等遂與韜忿爭。
HCH_012_197_000251	相劾韜遷南部怨望；擅取海子魚，與鄉人群飲郊壇松下；侍郎袁宗儒期喪不當進表，逼使行。
HCH_012_197_000252	韜上疏自理。
HCH_012_197_000253	下廷議。
HCH_012_197_000254	帝為停韜俸四月，相等亦停二月。
HCH_012_197_000255	韜既與言交惡，及言柄用，韜每欲因事陷之。
HCH_012_197_000256	上言：「頃吏部選劉文光等為給事中，尋忽報罷，人皆曰閣臣抑之。給事中李鶴鳴考察謫官，尋復故，人皆曰賄得。宜諭吏部毋受當事頤指，使天下知威福出朝廷，而大臣有李林甫、秦檜者，不得播弄於左右。」
HCH_012_197_000257	其意為言發也。
HCH_012_197_000258	於是鶴鳴上疏自白，並摭韜居鄉不法諸事。
HCH_012_197_000259	帝兩置之。
HCH_012_197_000260	無何，韜劾南京御史龔湜、郭本。
HCH_012_197_000261	湜等自辨，亦劾韜。
HCH_012_197_000262	帝並置不問。
HCH_012_197_000263	十八年簡補宮僚，命韜以太子少保、禮部尚書協掌詹事府事。
HCH_012_197_000264	疏辭加秩，且詆大臣受祿不讓，晉秩不辭，或有狐鼠鉆結，陰固寵權，怨氣召災。
HCH_012_197_000265	實有所自。
HCH_012_197_000266	其意亦為言發。
HCH_012_197_000267	既屢擊言不勝，最後見郭勛與言有隙，乃陰比勛，與共齮龁言。
HCH_012_197_000268	時中外訛言帝復南幸，韜因顯頌勛，言：「六飛南狩時，臣下多納賄不法。文官惟袁宗儒，武官惟郭勛不受饋。今訛言復播，宜有以禁戢之。」
HCH_012_197_000269	帝既下詔安群情，乃詰韜曰：「朕昨南巡，卿不在行，受賄事得自何人？據實以奏。」
HCH_012_197_000270	韜對，請問諸郭勛。
HCH_012_197_000271	帝責其支詞，務令指實。
HCH_012_197_000272	韜窘，乃言：「扈從諸臣無不受饋遺、折取夫隸直者，第問之夏言，令自述。至各官取賄實跡，勛具悉始末，當不欺。如必欲臣言，請假臣風憲職，循途按之，當備列以奏。」
HCH_012_197_000273	章下所司。
HCH_012_197_000274	韜懼不當帝旨，尋赴京，列所遇進鮮船內臣貪橫狀，帝亦不問。
HCH_012_197_000275	明年十月卒於官，年五十有四。
HCH_012_197_000276	贈太子太保，謚文敏。
HCH_012_197_000277	韜學博才高，量褊隘，所至與人競。
HCH_012_197_000278	帝頗心厭之，故不大用。
HCH_012_197_000279	先後多所建白，亦頗涉國家大計。
