HCH_009_009_000163	上朝于隆慶宮，是月凡四朝。
HCH_009_009_000164	丁巳，制諸王任外路者許遊獵五日，過此禁之，仍令戒約人從，毋擾民。
HCH_009_009_000165	辛酉，諭尚書省：「宰執所以總持國家，不得受人饋遺。或遇生辰，受所獻毋過萬錢。若緦大功以上親，及二品以上官，不禁。」
HCH_009_009_000166	壬戌，以知河中府事王蔚為尚書右丞，刑部尚書完顏守貞為參知政事。
HCH_009_009_000167	甲子，如大房山。
HCH_009_009_000168	乙丑，奠謁興陵、裕陵。
HCH_009_009_000169	丙寅，還都。
HCH_009_009_000170	戊辰，制禁自披剃為僧道者。
HCH_009_009_000171	敕外路求世宗禦書。
HCH_009_009_000172	辛未，如近畿春水。
HCH_009_009_000173	己卯，如春水。
HCH_009_009_000174	二月丁卯朔，太白晝見。
HCH_009_009_000175	丙申，遣諭諸王，凡出獵毋越本境。
HCH_009_009_000176	壬寅，諭有司，寒食給假五日，著於令。
HCH_009_009_000177	甲辰，至自春水。
HCH_009_009_000178	朝于隆慶宮，是月凡四朝。
HCH_009_009_000179	癸丑，地生白毛。
HCH_009_009_000180	甲寅，如大房山。
HCH_009_009_000181	三月乙卯朔，謁奠興陵。
HCH_009_009_000182	丙辰，還都。
HCH_009_009_000183	朝于隆慶宮，是月凡六朝。
HCH_009_009_000184	己未，敕點檢司，諸試護衛人須身形及格，若功臣子孫善射出眾，雖不及格，亦令入見。
HCH_009_009_000185	癸亥，禮官言：「民或一產三男，內有才行可用者可令察舉，量材敘用。其驅婢所生，舊制官給錢百貫，以資乳哺，尚書省請更給錢四十貫，贖以為良。」
HCH_009_009_000186	制可。
HCH_009_009_000187	丙寅，有司言：「舊制，朝官六品以下從人輸庸者聽，五品以上不許輸庸，恐傷官體。其有官職俱至三品、年六十以上致仕者，人力給半，乞不分內外，願令輸庸者聽。」
HCH_009_009_000188	從之。
HCH_009_009_000189	己巳，擊球於西苑，百僚會觀。
HCH_009_009_000190	癸酉，詔內外五品以上，歲舉廉能官一員，不舉者坐蔽賢罪。
HCH_009_009_000191	乙亥，初設應制及宏詞科。
HCH_009_009_000192	丁丑，制內外官並諸局承應人，遇祖父母、父母忌日並給假一日。
HCH_009_009_000193	辛巳，詔修曲阜孔子廟學。
HCH_009_009_000194	壬午，如壽安宮。
HCH_009_009_000195	夏四月甲申朔，朝于隆慶宮，是月凡四朝。
HCH_009_009_000196	戊戌，如壽安宮。
HCH_009_009_000197	五月，不雨。
