HCH_012_077_000177	後又免沿邊開田官軍子粒，減各邊屯田子粒有差。
HCH_012_077_000178	景帝時，邊方多事，令兵分為兩番，六日操守，六日耕種。
HCH_012_077_000179	成化初，宣府巡撫葉盛買官牛千八百，並置農具，遣軍屯田，收糧易銀，以補官馬耗損，邊入稱便。
HCH_012_077_000180	自正統後，屯政稍弛，而屯糧猶存三之二。
HCH_012_077_000181	其後屯田多為內監、軍官佔奪，法盡壞。
HCH_012_077_000182	憲宗之世頗議釐復，而視舊所入，不能什一矣。
HCH_012_077_000183	弘治間，屯糧愈輕，有畝止三升者。
HCH_012_077_000184	沿及正德，遼東屯田較永樂間田贏萬八千餘頃，而糧乃縮四萬六千餘石。
HCH_012_077_000185	初，永樂時，屯田米常溢三之一，常操軍十九萬，以屯軍四萬供之。
HCH_012_077_000186	而受供者又得自耕。
HCH_012_077_000187	邊外軍無月糧，以是邊餉恆足。
HCH_012_077_000188	及是，屯軍多逃死，常操軍止八萬，皆仰給於倉。
HCH_012_077_000189	而邊外數擾，棄不耕。
HCH_012_077_000190	劉瑾擅政，遣官分出丈田責逋。
HCH_012_077_000191	希瑾意者，偽增田數，蒐括慘毒，戶部侍郎韓福尤急刻。
HCH_012_077_000192	遼卒不堪，脅眾為亂，撫之乃定。
HCH_012_077_000193	明初，募鹽商於各邊開中，謂之商屯。
HCH_012_077_000194	迨弘治中，葉淇變法，而開中始壞。
HCH_012_077_000195	諸淮商悉撤業歸，西北商亦多徙家於淮，邊地為墟，米石直銀五兩，而邊儲枵然矣。
HCH_012_077_000196	世宗時，楊一清復請召商開中，又請仿古募民實塞下之意，招徠隴右、關西民以屯邊。
HCH_012_077_000197	其後周澤、王崇古、林富、陳世輔、王畿、王朝用、唐順之、吳桂芳等爭言屯政。
HCH_012_077_000198	而龐尚鵬總理江北鹽屯，尋移九邊，與總督王崇古，先後區畫屯政甚詳。
HCH_012_077_000199	然是時因循日久，卒鮮實效。
HCH_012_077_000200	給事中管懷理言：「屯田不興，其弊有四：疆埸戒嚴，一也；牛種不給，二也；丁壯亡徙，三也；田在敵外，四也。如是而管屯者猶欲按籍增賦，非扣月糧，即按丁賠補耳。」
HCH_012_077_000201	屯糧之輕，至弘、正而極，嘉靖中漸增，隆慶間復畝收一斗。
HCH_012_077_000202	然屯丁逃亡者益多。
HCH_012_077_000203	管糧郎中不問屯田有無，月糧止半給。
HCH_012_077_000204	沿邊屯地，或變為斥鹵、沙磧，糧額不得減。
HCH_012_077_000205	屯田御史又於額外增本折，屯軍益不堪命。
HCH_012_077_000206	萬歷時，計屯田之數六十四萬四千餘頃，視洪武時虧二十四萬九千餘頃，田日減而糧日增，其弊如此。
HCH_012_077_000207	時則山東巡撫鄭汝璧請開登州海北長山諸島田。
HCH_012_077_000208	福建巡撫許孚遠墾閩海壇山田成，復請開南日山、澎湖；又言浙江濱海諸山，若陳錢、金塘、補陀、玉環、南麂，皆可經理。
HCH_012_077_000209	天津巡撫汪應蛟則請於天津興屯。
HCH_012_077_000210	或留中不下，或不久輒廢。
HCH_012_077_000211	熹宗之世，巡按張慎言復議天津屯田。
HCH_012_077_000212	而御史左光鬥命管河通判盧觀象大興水田之利，太常少卿董應舉踵而行之。
HCH_012_077_000213	光鬥更於河間、天津設屯學，試騎射，為武生給田百畝。
HCH_012_077_000214	李繼貞巡撫天津，亦力於屯務，然仍歲旱蝗，弗克底成效也。
HCH_012_077_000215	明時，草場頗多，佔奪民業。
HCH_012_077_000216	而為民厲者，莫如皇莊及諸王、勳戚、中官莊田為甚。
HCH_012_077_000217	太祖賜勳臣公侯丞相以下莊田，多者百頃，親王莊田千頃。
HCH_012_077_000218	又賜公侯暨武臣公田，又賜百官公田，以其租入充祿。
HCH_012_077_000219	指揮沒於陣者皆賜公田。
HCH_012_077_000220	勳臣莊佃，多倚威捍禁，帝召諸臣戒諭之。
HCH_012_077_000221	其後公侯復歲祿，歸賜田於官。
HCH_012_077_000222	仁、宣之世，乞請漸廣，大臣亦得請沒官莊舍。
HCH_012_077_000223	然甯王權請灌城為庶子耕牧地，帝賜書，援祖制拒之。
HCH_012_077_000224	至英宗時，諸王、外戚、中官所在佔官私田，或反誣民佔，請案治。
HCH_012_077_000225	比案問得實，帝命還之民者非一。
HCH_012_077_000226	乃下詔禁奪民田及奏請畿內地。
HCH_012_077_000227	然權貴宗室莊田墳塋，或賜或請，不可勝計。
HCH_012_077_000228	御馬太監劉順家人進薊州草場，進獻由此始。
HCH_012_077_000229	宦官之田，則自尹奉、喜寧始。
HCH_012_077_000230	初，洪熙時，有仁壽宮莊，其後又有清寧、未央宮莊。
HCH_012_077_000231	天順三年，以諸王未出閣，供用浩繁，立東宮、德王、秀王莊田。
HCH_012_077_000232	二王之籓，地仍歸官。
HCH_012_077_000233	憲宗即位，以沒入曹吉祥地為宮中莊田，皇莊之名由此始。
HCH_012_077_000234	其後莊田遍郡縣。
HCH_012_077_000235	給事中齊莊言：「天子以四海為家，何必置立莊田，與貧民較利。」
HCH_012_077_000236	弗聽。
HCH_012_077_000237	弘治二年，戶部尚書李敏等以災異上言：「畿內皇莊有五，共地萬二千八百餘頃；勳戚、中官莊田三百三十有二，共地三萬三千餘頃。管莊官校招集羣小，稱莊頭、伴當，佔地土，斂財物，汙婦女。稍與分辯，輒被誣奏。官校執縛，舉家驚惶。民心傷痛入骨，災異所由生。乞革去管莊之人，付小民耕種，畝徵銀三分，充各宮用度。」
HCH_012_077_000238	帝命戒飭莊戶。
HCH_012_077_000239	又因御史言，罷仁壽宮莊，還之草場，且命凡侵牧地者，悉還其舊。
HCH_012_077_000240	又定制，獻地王府者戍邊。
HCH_012_077_000241	奉禦趙瑄獻雄縣地為皇莊，戶部尚書周經劾其違制，下瑄詔獄。
HCH_012_077_000242	敕諸王輔導官，導王奏請者罪之。
HCH_012_077_000243	然當日奏獻不絕，氣請亦愈繁。
HCH_012_077_000244	徽、興、岐、衡四王，田多至七千餘頃。
HCH_012_077_000245	會昌、建昌、慶雲三侯爭田，帝輒賜之。
HCH_012_077_000246	武宗即位，逾月即建皇莊七，其後增至三百餘處。
HCH_012_077_000247	諸王、外戚求請及奪民田者無算。
HCH_012_077_000248	世宗初，命給事中夏言等清核皇莊田。
HCH_012_077_000249	言極言皇莊為厲於民。
HCH_012_077_000250	自是正德以來投獻侵牟之地，頗有給還民者，而宦戚輩復中撓之。
HCH_012_077_000251	戶部尚書孫交造皇莊新冊，額減於舊。
HCH_012_077_000252	帝命核先年頃畝數以聞，改稱官地，不復名皇莊，詔所司徵銀解部。
HCH_012_077_000253	然多為宦寺中飽，積逋至數十萬以為常。
HCH_012_077_000254	是時，禁勳戚奏討、奸民投獻者，又革王府所請山場湖陂。
HCH_012_077_000255	德王請齊、漢二庶人所遺東昌、兗州閒田，又請白雲等湖，山東巡撫邵錫按新令卻之，語甚切。
HCH_012_077_000256	德王爭之數四，帝仍從部議，但存籓封初請莊田。
HCH_012_077_000257	其後有奏請者不聽。
HCH_012_077_000258	又定，凡公主、國公莊田，世遠者存什三。
HCH_012_077_000259	嘉靖三十九年遣御史瀋陽清奪隱冒莊田萬六千餘頃。
HCH_012_077_000260	穆宗從御史王廷瞻言，復定世次遞減之限：勳臣五世限田二百頃，戚畹七百頃至七十頃有差。
HCH_012_077_000261	初，世宗時，承天六莊二湖地八千三百餘頃，領以中官，又聽校舍兼併，增八百八十頃，分為十二莊。
HCH_012_077_000262	至是始領之有司，兼併者還民。
HCH_012_077_000263	又著令宗室買田不輸役者沒官，皇親田俱令有司徵之，如勳臣例。
HCH_012_077_000264	雖請乞不乏，而賜額有定，徵收有制，民害少衰止。
HCH_012_077_000265	神宗賚予過侈，求無不獲。
HCH_012_077_000266	潞王、壽陽公主恩最渥。
HCH_012_077_000267	而福王分封，括河南、山東、湖廣田為王莊，至四萬頃。
HCH_012_077_000268	羣臣力爭，乃減其半。
HCH_012_077_000269	王府官及諸閹丈地徵稅，旁午於道，扈養廝役廩食以萬計，漁斂慘毒不忍聞。
HCH_012_077_000270	駕帖捕民，格殺莊佃，所在騷然。
HCH_012_077_000271	給事中官應震、姚宗文等屢疏諫，皆不報。
HCH_012_077_000272	時復更定勳戚莊田世次遞減法，視舊制稍寬。
HCH_012_077_000273	其後應議減者，輒奉詔姑留，不能革也。
HCH_012_077_000274	熹宗時，桂、惠、瑞三王及遂平、甯德二公主莊田，動以萬計，而魏忠賢一門，橫賜尤甚。
HCH_012_077_000275	蓋中葉以後，莊田侵奪民業，與國相終云。
