HCH_012_179_000242	智喜，以為其誌且得行，乃復因星變上書曰：伏讀明詔雲「天下利弊所當興革，所在官員人等條具以聞」。
HCH_012_179_000243	此殆陛下知前日登極詔書為奸臣所誤，禁言官毋風聞挾私言事，物論囂然，故復下此條自解耳。
HCH_012_179_000244	夫不曰「朕躬有過，朝政有闕」，而曰「利弊當興革」；不曰「許諸人直言無隱」，而曰「官員人等條具以聞」。
HCH_012_179_000245	陛下所以求言者，已不廣矣。
HCH_012_179_000246	今欲興天下之利，革天下之弊，當求利弊之本原而興且革之，不當毛舉細故，以為利弊在是也。
HCH_012_179_000247	本原何在？
HCH_012_179_000248	閣臣是已。
HCH_012_179_000249	少師安持祿怙寵，少保吉附下罔上，太子少保直挾詐懷奸，世之小人也。
HCH_012_179_000250	陛下留之，則君德必不就，朝政必不修，此弊所當革者也。
HCH_012_179_000251	致仕尚書王恕忠亮可任大事，尚書王竑剛毅可寢大奸，都御史彭韶方正可決大疑，世之君子也。
HCH_012_179_000252	陛上用之，則君德開明，朝政清肅，此利所當興也。
HCH_012_179_000253	然君子所以不進，小人所以不退，大抵由宦官權重而已。
HCH_012_179_000254	漢元帝嘗任蕭望之、周堪矣，卒制於弘恭、石顯。
HCH_012_179_000255	宋孝宗嘗任劉俊卿、劉珙矣，卒間於陳源、甘昇。
HCH_012_179_000256	李林甫、牛仙客與高力士相附和，而唐政不綱。
HCH_012_179_000257	賈似道、丁大全與董宋臣相表裏，而宋室不振。
HCH_012_179_000258	君子小人進退之機，未嘗不系此曹之盛衰。
HCH_012_179_000259	願陛下鑒既往，謹將來，攬天綱，張英斷。
HCH_012_179_000260	凡所以待宦官者，一以高皇帝為法，則君子可進，小人可退，而天下之治出於一矣。
HCH_012_179_000261	以陛下聰明冠世，豈不知刑臣不可委信，然而不免誤用者，殆正心之學未講也。
HCH_012_179_000262	心發於天理，則耳目聰明，言動中節，何宦官之能惑。
HCH_012_179_000263	發於人欲，則一身無主，萬事失綱，投間抵隙，蒙蔽得施。
HCH_012_179_000264	雖有神武之資，亦將日改月化而浸失其初。
HCH_012_179_000265	欲進君子退小人，興天下之利，革天下之弊，豈可得哉？
HCH_012_179_000266	帝得疏，頷之。
HCH_012_179_000267	居無何，安、直相繼罷斥。
HCH_012_179_000268	而吉任寄如故，銜智刺骨。
HCH_012_179_000269	鼐常朝當侍班，智告之曰：「祖宗盛時，御史侍班，得面陳政務得失，立取進止。自後惟退而具疏，此君臣情意所由隔也。君幸值維新之日，盍仿先朝故事行之。」
HCH_012_179_000270	及恕赴召至京，智往謁曰：「後世人臣不獲時見天子，故事多茍且。願公且勿受官，先請朝見，取時政不善者歷陳之，力請除革，而後拜命，庶其有濟。若先受官，無復見天子之日矣。」
HCH_012_179_000271	鼐與恕亦未能用其言。
HCH_012_179_000272	會劉概獄起，吉使其黨魏璋入智名，遂下詔獄。
HCH_012_179_000273	智身親三木，僅屬喘息，慷慨對簿曰：「智見經筵以寒暑輟講，午朝以細事塞責，紀綱廢馳，風俗浮薄，生民憔悴，邊備空虛，私竊以為憂。與鼐等往來論議誠有之，不知其他。」
HCH_012_179_000274	讞者承吉意，竟謫廣東石城所吏目，事具《湯鼐傳》。
HCH_012_179_000275	智至廣東，總督秦纮檄召修書，乃居會城。
HCH_012_179_000276	聞陳獻章講道新會，往受業，自是學益粹。
HCH_012_179_000277	弘治四年十月得疾遽卒，年二十有六。
HCH_012_179_000278	同年生吳廷舉為順德知縣，殮而歸其喪。
