HCH_012_194_000166	又言德安、安陸建王府及增修吉府，工役浩繁，財費巨萬，民不堪命。
HCH_012_194_000167	乞循寧、襄、德府故事，一切省儉，勿用琉璃及白石雕闌，請著為例。
HCH_012_194_000168	不從。
HCH_012_194_000169	九年引疾，不待報徑歸。
HCH_012_194_000170	久之，薦起廣東右布政使，不拜。
HCH_012_194_000171	起南京右僉都御史，督操江。
HCH_012_194_000172	十四年正月朔，陜西、山西地震水湧。
HCH_012_194_000173	疏述古宮闈、外戚、內侍、柄臣之禍；乞罷齋醮，減織造，清役占，汰冗員，止工作，省供應，應賞賜，戒逸欲，遠佞幸，親賢人。
HCH_012_194_000174	又請豫教皇儲，恩薦侍郎謝鐸，少卿儲瓘、楊廉，致仕副使曹時中，處士劉閔堪輔導。
HCH_012_194_000175	報聞。
HCH_012_194_000176	已，屢疏乞休，薦時中自代。
HCH_012_194_000177	不許。
HCH_012_194_000178	江西新昌民王武為盜，巡撫韓邦問不能靖，命俊巡視。
HCH_012_194_000179	身入武巢，武請自效，悉擒賊黨。
HCH_012_194_000180	詔即以俊代邦問，俊引朱熹代唐仲友、包拯代宋祁事，力辭。
HCH_012_194_000181	不允。
HCH_012_194_000182	乃更定要約，庶務一新。
HCH_012_194_000183	王府征歲祿，率倍取於民，以俊言大減省。
HCH_012_194_000184	寧王宸濠貪暴，俊屢裁抑之。
HCH_012_194_000185	王請易琉璃瓦，費二萬。
HCH_012_194_000186	俊言宜如舊，毋涉叔段京鄙之求，吳王幾杖之賜。
HCH_012_194_000187	王怒，伺其過，無所得。
HCH_012_194_000188	會俊以聖節按部，遂劾奏之，停俸三月。
HCH_012_194_000189	尋以母憂歸。
HCH_012_194_000190	武宗即位，言官交薦，江西人在朝者合疏乞還俊。
HCH_012_194_000191	乃進右副都御史，再撫江西，遭父憂不果。
HCH_012_194_000192	正德四年起撫四川。
HCH_012_194_000193	眉州人劉烈倡亂，敗而逃，諸不逞假其名剽掠。
HCH_012_194_000194	俊繪形捕，莫能得。
HCH_012_194_000195	會保寧賊藍廷瑞、鄢本恕、廖惠等繼起，勢益張，轉寇巴州。
HCH_012_194_000196	猝遇之華壟，單輿抵其營，譬曉利害，賊羅拜約降。
HCH_012_194_000197	淫雨失期，復叛去，攻陷通江。
HCH_012_194_000198	俊擊敗之龍灘河，遣知府張敏等追敗之門鎮子，遂擒廖惠。
HCH_012_194_000199	而廷瑞奔陜西西鄉，越漢中三十六盤，至大巴山。
HCH_012_194_000200	官軍追及，復大破之。
HCH_012_194_000201	遂移師擊瀘州賊曹甫，且遣人招諭。
HCH_012_194_000202	甫佯聽令，使弟琯劫如故。
HCH_012_194_000203	指揮李蔭斬琯首，賊遂移江津。
HCH_012_194_000204	分七營，將攻重慶。
HCH_012_194_000205	俊發酉陽、播州土兵助蔭，以元日掩破其四營。
HCH_012_194_000206	賊遁入民家，焚之盡斃。
HCH_012_194_000207	乘勝搗老營，指揮汪洋等中伏死。
HCH_012_194_000208	蔭復進，去賊十五里。
HCH_012_194_000209	甫以數十騎出，遇蔭兵，敗走。
HCH_012_194_000210	官軍乘勝進圍之，俘及焚死者二千有奇。
HCH_012_194_000211	已，本恕、廷瑞為永順土舍彭世麟所擒。
HCH_012_194_000212	俊論功進右都御史。
HCH_012_194_000213	甫黨方四亡命思南，復攻南川、綦江，以窺瀘州。
HCH_012_194_000214	俊益發士兵，令副使何珊、李鉞等敗之去。
HCH_012_194_000215	捷聞，璽書獎勵。
HCH_012_194_000216	俊在軍，與總督洪鐘議多左。
HCH_012_194_000217	中貴子弟欲冒從軍功，輒禁止。
HCH_012_194_000218	御史俞緇走避賊，而僉事吳景戰歿。
HCH_012_194_000219	緇慚，欲委罪俊，遂劾俊累報首功，賊終不滅；加鑿井毀寺，逐僧徒，迫為賊。
HCH_012_194_000220	於是俊前後被切責。
HCH_012_194_000221	比方四敗，賊且盡，俊辭加秩及賞，乞以舊職歸田。
HCH_012_194_000222	詔不許辭秩，聽其致仕。
HCH_012_194_000223	言官交請留，不報。
HCH_012_194_000224	俊歸，士民號哭追送。
HCH_012_194_000225	時正德六年十一月也。
HCH_012_194_000226	世宗即位，起工部尚書，改刑部。
HCH_012_194_000227	在道數引疾，不許。
HCH_012_194_000228	因請帝親近儒臣，正其心以出號令，用渾樸為天下先。
HCH_012_194_000229	初詔所革，無遷就以廢公議。
HCH_012_194_000230	既抵京師，會暑月經筵輟講，舉祖宗勤學故事以諫。
HCH_012_194_000231	俊時年已七十，寓止朝房，示無久居意。
HCH_012_194_000232	數為帝言親大臣，勤聖學，辨異端，節財用。
HCH_012_194_000233	朝有大政，必侃侃陳論，中外想望其風采。
HCH_012_194_000234	中官葛景等奸利事覺，為言官所糾，詔下司禮監察訊。
HCH_012_194_000235	俊言內臣犯法，法司不得訊，是宮府異體也。
HCH_012_194_000236	乞下法司公訊，以詔平明之治。
HCH_012_194_000237	都督劉暉下獄，俊當以交結朋黨律，言與許泰同罪，請斬以謝天下。
HCH_012_194_000238	廖鵬、廖鎧、齊佐、王瓛論死，屢詔緩刑，俊乞亟行誅。
HCH_012_194_000239	又劾谷大用占民田萬餘頃。
HCH_012_194_000240	皆不聽。
HCH_012_194_000241	中官崔文家人李陽鳳索匠師宋鈺賄不獲，嗾文杖之幾死，下刑部治未決，而中旨移鎮撫司。
HCH_012_194_000242	俊留不遣，力爭不納。
HCH_012_194_000243	明日又奏，帝怒責陳狀。
HCH_012_194_000244	俊言：「祖宗以刑獄付法司，以緝獲奸盜付鎮撫。訊鞫既得，猶必付法司擬罪。未有奪取未定之囚，反付推問者。文先朝漏奸，罪不容誅，茲復幹內降。臣不忍朝廷百五十年紀綱，為此輩壞亂。」
HCH_012_194_000245	帝憚其言直，乃不問。
HCH_012_194_000246	俊以耆德起田間，持正不避嫌，既屢見格，遂乞致仕。
HCH_012_194_000247	詔加太子太保，給驛賜隸廩如制。
HCH_012_194_000248	俊數爭「大禮」，與楊廷和合。
HCH_012_194_000249	嘗上言推尊所生有不容已之情，有不可易之禮，因輯堯、舜至宋理宗事凡十條，以上。
HCH_012_194_000250	及「大禮」議定，得罪者或杖死。
HCH_012_194_000251	四年秋，俊從病中上書言：「古者鞭撲之刑，辱之而已，非欲糜爛其體膚而致之死也，又非所以加於士大夫也。成化時，臣及見廷杖二三臣，率容厚棉底衣，重氈疊裹，然且沈臥，久乃得痊。正德朝，逆瑾竊權，始令去衣，致末年多杖死。臣又見成化、弘治時，惟叛逆、妖言、劫盜下詔獄，始命打問。他犯但言送問而已。今一概打問，亦非故事。自去歲舊臣斥逐殆盡，朝署為空。乞聖明留念，既去者禮致，未去者慰留。碩德重望如羅欽順、王守仁、呂柟、魯鐸輩，宜列置左右。臣衰病待盡，無復他望，敢效古人遺表之意，敬布犬馬之心。」
HCH_012_194_000252	帝但下所司而已。
HCH_012_194_000253	又明年，疾革，復上書請懋學隆孝，任賢納諫，保躬導和，且預辭身後恤典，遂卒。
HCH_012_194_000254	年七十六。
HCH_012_194_000255	後一年，《明倫大典》成，追論俊附和廷和，削其官，其子達以士禮葬之。
HCH_012_194_000256	俊歷事四朝，抗辭敢諫，以禮進退，始終一節。
HCH_012_194_000257	隆慶初，復官，贈少保，謚貞肅。
HCH_012_194_000258	達，正德九年進士。
HCH_012_194_000259	官至南京吏部郎中。
HCH_012_194_000260	工篆籀，能古文。
HCH_012_194_000261	張黻，吉水人。
HCH_012_194_000262	成化八年進士。
HCH_012_194_000263	歷知涪州、宿州，介特不避權貴。
HCH_012_194_000264	弘治中，俊蒙顯擢，而黻老不用。
HCH_012_194_000265	王恕為之請，特予誥命。
HCH_012_194_000266	金獻民，字舜舉，綿州人。
HCH_012_194_000267	成化二十年進士。
HCH_012_194_000268	除行人。
HCH_012_194_000269	弘治初，選授御史，按雲南、順天，並著風裁。
HCH_012_194_000270	出為天津副使，歷湖廣按察使。
HCH_012_194_000271	正德初，劉瑾亂政，追坐獻民勘天津地不實，與巡撫柳應辰等械系詔獄，斥為民。
HCH_012_194_000272	未幾，又坐湖廣事，再下獄，罰贖歸。
HCH_012_194_000273	逾年，又以瀏陽民劉道隆獄讞不實，罰米輸塞下。
HCH_012_194_000274	瑾誅，起貴州按察使。
HCH_012_194_000275	擢僉都御史，巡撫延綏，歷南京刑部尚書。
HCH_012_194_000276	世宗即位，召為左都御史。
HCH_012_194_000277	李鳳陽下刑部，程貴下都察院，皆改詔獄，獻民力爭。
HCH_012_194_000278	已，遷刑部尚書。
HCH_012_194_000279	執奏奸黨王欽、王銓不宜貸死。
HCH_012_194_000280	皆不納。
HCH_012_194_000281	尋代彭澤為兵部尚書。
HCH_012_194_000282	五星聚營室，其占主兵。
HCH_012_194_000283	獻民因請敕天下鎮巡官預守戰之備，且請用賢納諫，罷土木，屏玩好。
HCH_012_194_000284	帝頗采納。
HCH_012_194_000285	獻民性伉直，有執持，帝或不能從，卒無所徇。
HCH_012_194_000286	帝初即位，盡斥先朝傳奉官。
HCH_012_194_000287	已，太監邱福、潘傑等死，詔官其弟侄錦衣。
HCH_012_194_000288	及司禮太監張欽死，以家人李賢承蔭，賢死復欲官其子儒。
HCH_012_194_000289	獻民先後執奏，帝皆不從。
HCH_012_194_000290	土魯番速檀滿速兒寇肅州，命獻民兼右都御史總制陜西四鎮軍務。
HCH_012_194_000291	比至蘭州，巡撫陳九疇已破敵，獻民再以捷聞。
HCH_012_194_000292	還京，仍理部事。
HCH_012_194_000293	論功，蔭錦衣世百戶。
HCH_012_194_000294	錦衣百戶俞賢，中官泰養子也，以中旨管事，諫官爭之。
