HCH_010_027_000170	夏五月，清暑散水原。
HCH_010_027_000171	秋七月，獵。
HCH_010_027_000172	冬十月，駐蹕藕絲澱。
HCH_010_027_000173	二年春正月己未朔，如鴨子河。
HCH_010_027_000174	丁丑，五國部長來貢。
HCH_010_027_000175	二月丁酉，如春州，幸混同江鉤魚，界外生女直酋長在千里內者，以故事皆來朝。
HCH_010_027_000176	適遇「頭魚宴」，酒半酣，上臨軒，命諸酋次第起舞；獨阿骨打辭以不能。
HCH_010_027_000177	諭之再三，終不從。
HCH_010_027_000178	他日，上密謂樞密使蕭奉先曰：「前日之燕，阿骨打意氣雄豪，顧視不常，可托以邊事誅之。否則，必貽後患。」
HCH_010_027_000179	奉先曰：「寏人不知禮義，無大過而殺之，恐傷向化之心。假有異志，又何能為？」
HCH_010_027_000180	其弟吳乞買、粘罕、胡舍等嘗從獵，能呼鹿，刺虎，搏熊。
HCH_010_027_000181	上喜，輒加官爵。
HCH_010_027_000182	夏六月庚寅，清暑南崖。
HCH_010_027_000183	甲午，和州回鶻來貢。
HCH_010_027_000184	戊戌，成安公主來朝。
HCH_010_027_000185	甲辰，阻卜來貢。
HCH_010_027_000186	秋七月乙丑，獵南山。
HCH_010_027_000187	九月己未，射獲熊，燕群臣，上親禦琵琶。
HCH_010_027_000188	初，阿骨打混同江宴歸，疑上知其異志，遂稱兵，先並旁近部族。
HCH_010_027_000189	女直趙三、阿鶻產拒之，阿骨打虜其家屬。
HCH_010_027_000190	二人走訴咸州，詳穩司送北樞密院。
HCH_010_027_000191	樞密使蕭奉先作常事以聞上，仍送咸州詰責，欲使自新。
HCH_010_027_000192	後數召，阿骨打竟稱疾不至。
HCH_010_027_000193	冬十月辛亥，高麗三韓國公王之母死，來告，即遣使致祭，起復。
HCH_010_027_000194	是月，駐蹕奉聖州。
HCH_010_027_000195	十一月乙卯，幸南京。
HCH_010_027_000196	丁卯，謁太祖廟。
HCH_010_027_000197	是年，放進士韓等七十七人。
HCH_010_027_000198	三年春正月丙寅，賜南京貧民錢。
HCH_010_027_000199	丁卯，如大魚濼。
HCH_010_027_000200	甲戌，禁僧尼破戒。
HCH_010_027_000201	丙子，獵狗牙山，大寒，獵人多死。
HCH_010_027_000202	三月，籍諸道戶，徙大牢古山圍場地居民于別土。
HCH_010_027_000203	阿骨打一日率五百騎突至咸州，吏民大驚。
HCH_010_027_000204	翌日，赴詳穩司，與趙三等面折庭下。
HCH_010_027_000205	阿骨打不屈，送所司問狀。
HCH_010_027_000206	一夕遁去。
HCH_010_027_000207	遣人訴於上，謂詳穩司欲見殺，故不敢留。
HCH_010_027_000208	自是召不復至。
HCH_010_027_000209	夏閏四月，李弘以左道聚眾為亂，支解，分示五京。
HCH_010_027_000210	六月乙卯，斡朗改國遣使來貢良犬。
HCH_010_027_000211	丙辰，夏國遣使來貢。
HCH_010_027_000212	秋七月，幸秋山。
HCH_010_027_000213	九月，駐蹕藕絲澱。
HCH_010_027_000214	十一月甲午，以三司使虞融知南院樞密使事，西南面招討使蕭樂古為南府宰相。
HCH_010_027_000215	十二月庚戌，高麗遣使來謝致祭。
HCH_010_027_000216	癸丑，回鶻遣使來貢。
HCH_010_027_000217	甲寅，以樞密直學士馬人望三知政事。
HCH_010_027_000218	丙辰，知樞密院事耶律儼薨。
HCH_010_027_000219	癸亥，高麗遣使來謝起復。
HCH_010_027_000220	四年春正月，如春州。
HCH_010_027_000221	初，女直起兵，以紇石烈部人阿疏不從，遣其部撒改討之。
HCH_010_027_000222	阿疏弟狄故保來告，詔諭使勿討，不聽，阿疏來奔。
HCH_010_027_000223	至是女直遣使來索，不發。
HCH_010_027_000224	夏五月，清暑散水原。
HCH_010_027_000225	秋七月，女直復遣使取阿疏，不發，乃遣侍御阿息保問境上多建城堡之故。
HCH_010_027_000226	女直以慢語答曰：「若還阿疏，朝貢如故；不然，城未能已。」
HCH_010_027_000227	遂發渾河北諸軍，益東北路統軍司。
HCH_010_027_000228	阿骨打乃與弟粘罕、胡舍等謀，以銀術割、移烈、婁室、母等為帥，集女直諸部兵，擒遼障鷹官。
HCH_010_027_000229	及攻甯江州，東北路統軍司以聞。
HCH_010_027_000230	時上在慶州射鹿，聞之略不介意，遣海州刺史高仙壽統渤海軍應援。
HCH_010_027_000231	蕭撻不也遇女直，戰于甯江東，敗績。
HCH_010_027_000232	冬十月壬寅朔，以守司空蕭嗣先為東北路都統，靜江軍節度使蕭撻不也為副，發契丹奚軍三千人，中京禁兵及土豪二千人，別選諸路武勇二千餘人，以虞候崔公義為都押官，控鶴指揮邢穎為副，引軍屯出河店。
HCH_010_027_000233	兩軍對壘，女直軍潛渡混同江，掩擊遼眾。
HCH_010_027_000234	蕭嗣先軍潰，崔公義、邢穎、耶律佛留、蕭葛十等死之，其獲免者十有七人。
HCH_010_027_000235	蕭奉先懼其弟嗣先獲罪，輒奏東征潰軍所至劫掠，若不肆赦，恐聚為患。
HCH_010_027_000236	上從之，嗣先但免官而已。
HCH_010_027_000237	諸軍相謂曰：「戰則有死而無功，退則有生而無罪。」
HCH_010_027_000238	故士無鬥志，望風奔潰。
HCH_010_027_000239	十一月壬辰，都統蕭敵里等營於斡鄰濼東，又為女直所襲，士卒死者甚眾。
HCH_010_027_000240	甲午，蕭敵里亦坐免官。
HCH_010_027_000241	辛丑，以西北路招討使耶律斡里朵為行軍都統，副點檢蕭乙薛、同知南院樞密使事耶律章奴副之。
HCH_010_027_000242	十二月，咸、賓、祥三州及鐵驪、兀惹皆叛入女直。
HCH_010_027_000243	乙薛往援賓州，南軍諸將實婁、特烈等往援咸州，並為女直所敗。
HCH_010_027_000244	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
