HCH_012_041_000001	山東《禹貢》青、兗二州地。
HCH_012_041_000277	又西北有金線閘巡檢司。
HCH_012_041_000278	東南距府百五十里。
HCH_012_041_000279	領縣五：汶上州東南。
HCH_012_041_000280	西南有蜀山，其下爲蜀山湖。
HCH_012_041_000281	又西爲南旺湖，其西北則馬踏河，運道經其中而北出，即會通河也。
HCH_012_041_000282	又汶水在東北，舊時西流入大清河。
HCH_012_041_000283	永樂中，開會通河，堰汶水西南流，悉入南旺湖。
HCH_012_041_000284	東阿州西北。
HCH_012_041_000285	故城在縣西南。
HCH_012_041_000286	今治本故谷城縣也，洪武八年徙於此。
HCH_012_041_000287	南有碻磝山。
HCH_012_041_000288	西有魚山。
HCH_012_041_000289	會通河自西南而北經此，始與大清河分流。
HCH_012_041_000290	又西有馬頰河，俗名小鹽河，東流入大清河。
HCH_012_041_000291	又張秋鎮在西南，弘治二年，河決於此。
HCH_012_041_000292	七年十二月塞，賜名安平鎮。
HCH_012_041_000293	平陰州東北。
HCH_012_041_000294	南有汶河。
HCH_012_041_000295	西南有大清河，又有滑口鎮巡檢司，後廢。
HCH_012_041_000296	陽谷州西北。
HCH_012_041_000297	東有會通河。
HCH_012_041_000298	又東有阿膠井。
HCH_012_041_000299	壽張州西。
HCH_012_041_000300	洪武三年省入須城、陽谷二縣。
HCH_012_041_000301	十三年十一月復置，屬濟寧府，後來屬。
HCH_012_041_000302	東南有故城，元時縣治在焉。
HCH_012_041_000303	今治本王陵店，洪武十三年徙置。
HCH_012_041_000304	南有梁山濼，即故大野澤下流。
HCH_012_041_000305	東北有會通河，又有沙灣，弘治前黃河經此，後堙。
HCH_012_041_000306	西南有梁山集巡檢司。
HCH_012_041_000307	曹州正統十年十二月以曹縣之黃河北舊土城置。
HCH_012_041_000308	東有舊黃河，洪武初，引河入泗以通運處也。
HCH_012_041_000309	永樂中，亦嘗條浚。
HCH_012_041_000310	南有灉河。
HCH_012_041_000311	東南有菏澤，流爲菏水。
HCH_012_041_000312	東北距府三百里。
HCH_012_041_000313	領縣二：曹州東南。
HCH_012_041_000314	元曹州，治濟陰縣，直隸中書省。
HCH_012_041_000315	洪武元年省濟陰縣入州。
HCH_012_041_000316	二年，州治自北徙於盤石鎮。
HCH_012_041_000317	四年降爲縣，屬濟寧府。
HCH_012_041_000318	正統十年十二月置州，以縣屬焉。
HCH_012_041_000319	西南有黃陵岡，與河南儀封縣界。
HCH_012_041_000320	弘治五年，黃河決於此，河遂在縣南，東入單縣界，至南直徐州，合泗入淮。
HCH_012_041_000321	又西有賈魯河，嘉靖前猶爲運道，後廢。
HCH_012_041_000322	東南有楚丘縣，元屬曹州，洪武初省。
HCH_012_041_000323	又西北有安陵鎮巡檢司。
HCH_012_041_000324	定陶州東南。
HCH_012_041_000325	元屬曹州。
HCH_012_041_000326	洪武元年屬濟寧府。
HCH_012_041_000327	十年五月省入城武縣。
HCH_012_041_000328	十三年十一月復置，仍屬濟寧府。
HCH_012_041_000329	正統十年十二月來屬。
HCH_012_041_000330	西有黃河故道。
HCH_012_041_000331	弘治前，河經此，至張秋之沙灣入會通河。
HCH_012_041_000332	沂州元屬益都路，後省州治臨沂縣入州。
HCH_012_041_000333	洪武元年屬濟寧府。
HCH_012_041_000334	五年屬濟南府。
HCH_012_041_000335	七年十二月屬青州府。
HCH_012_041_000336	十八年來屬。
HCH_012_041_000337	弘治四年八月建涇王府，嘉靖十六年除。
HCH_012_041_000338	西有艾山。
HCH_012_041_000339	東有沂水，源自青州沂水縣，南流至州境，與枋水合，下流入泗。
HCH_012_041_000340	又有沭水，流經南直安東縣爲漣水，入淮。
HCH_012_041_000341	又西南有泇水，亦曰東泇水，下流合嶧縣之西泇水入運。
HCH_012_041_000342	西南有羅藤鎮巡檢司。
HCH_012_041_000343	西距府五百六十里。
HCH_012_041_000344	領縣二：郯城州東南。
HCH_012_041_000345	洪武初置。
HCH_012_041_000346	東有馬陵山，又有羽山，與南直贛榆縣界。
HCH_012_041_000347	又沭水在東。
HCH_012_041_000348	沂水在西。
HCH_012_041_000349	西有磨山鎮巡檢司，後廢。
HCH_012_041_000350	費州西北。
HCH_012_041_000351	西北有蒙山。
HCH_012_041_000352	西南有大沫涸，又有祊水，東北有蒙陽水，下流俱入於沂河。
HCH_012_041_000353	西南有關陽鎮、西北有毛陽鎮二巡檢司。
HCH_012_041_000354	東昌府元東昌路，直隸中書省。
HCH_012_041_000355	洪武初爲府。
HCH_012_041_000356	領州三，縣十五。
HCH_012_041_000357	東距布政司二百九十里。
HCH_012_041_000358	聊城倚。
HCH_012_041_000359	城東有會通河。
HCH_012_041_000360	西南有武水枯河，即漯河也，爲會通河所截，中堙。
HCH_012_041_000361	堂邑府西。
HCH_012_041_000362	東北有會通河。
HCH_012_041_000363	西有舊黃河。
HCH_012_041_000364	博平府東北。
HCH_012_041_000365	洪武三年三月省，尋復置。
HCH_012_041_000366	西南有會通河。
HCH_012_041_000367	東北有故黃河。
HCH_012_041_000368	茌平府東北。
HCH_012_041_000369	西有故黃河。
HCH_012_041_000370	又西北有故馬頰河。
HCH_012_041_000371	莘府西南。
HCH_012_041_000372	北有弇山，舊有泉涌出，曰弇山泉。
HCH_012_041_000373	清平府北。
HCH_012_041_000374	元屬德州。
HCH_012_041_000375	洪武元年屬恩州。
HCH_012_041_000376	二年七月屬高唐州。
HCH_012_041_000377	三年三月省，尋復置，改屬。
HCH_012_041_000378	西有會通河。
HCH_012_041_000379	西南有魏家灣巡檢司。
HCH_012_041_000380	冠府西南。
HCH_012_041_000381	元冠州，直隸中書省。
HCH_012_041_000382	洪武三年降爲縣，來屬。
HCH_012_041_000383	西北有衛河。
HCH_012_041_000384	又東有賈鎮堡，東北有清水鎮堡，俱嘉靖二十二年築。
HCH_012_041_000385	臨清州元臨清縣，屬濮州。
HCH_012_041_000386	洪武二年七月改屬。
HCH_012_041_000387	弘治二年升爲州。
HCH_012_041_000388	舊治在南，洪武二年徙治臨清閘。
HCH_012_041_000389	景泰元年又於閘東北三里築城，徙治焉。
