HCH_010_004_000252	晉遣其子延煦來朝。
HCH_010_004_000253	冬十一月辛卯，上京留守耶律迪輦得晉諜，知有二心。
HCH_010_004_000254	甲辰，鐵驪來貢。
HCH_010_004_000255	十二月丁未，如南京，議伐晉。
HCH_010_004_000256	命趙延壽、趙延昭、安端、解里等由滄、恆、易、定分道而進，大軍繼之。
HCH_010_004_000257	是歲，楊彥昭請移鎮奈濼及新鎮，從之。
HCH_010_004_000258	七年春正月甲戌朔，趙延壽、延昭率前鋒五萬騎次任丘。
HCH_010_004_000259	丙子，安端入雁門，圍忻、代。
HCH_010_004_000260	己卯，趙延壽圍貝州，其軍校邵珂開南門納遼兵，太守吳巒投井死。
HCH_010_004_000261	己丑，次元城，授延壽魏、博等州節度使，封魏王，率所部屯南樂。
HCH_010_004_000262	丙申，遣兵攻黎陽，晉張彥澤來拒。
HCH_010_004_000263	辛丑，晉遣使來修舊好，詔割河北諸州，及遣桑維翰、景延廣來議。
HCH_010_004_000264	二月甲辰朔，攻博州，剌史周儒以城降。
HCH_010_004_000265	晉平盧軍節度使楊光遠密道遼師自馬家口濟河。
HCH_010_004_000266	晉將景延廣命石斌守麻家口，白再榮守馬家口。
HCH_010_004_000267	未幾，周儒引遼軍麻答營于河東，攻鄆州北津，以應光遠。
HCH_010_004_000268	晉遣李守貞、皇甫遇、梁漢璋、薛懷讓將兵萬人，緣河水陸俱進。
HCH_010_004_000269	遼軍圍晉別將於戚城，晉主自將救之，遼師解去。
HCH_010_004_000270	守貞等至馬家口，麻答遣步卒萬人築營壘，騎兵萬人守于外，餘兵屯河西。
HCH_010_004_000271	渡未已，晉兵薄之，遼軍不利。
HCH_010_004_000272	三月癸酉朔，趙延壽言：「晉諸軍沿河置柵，皆畏怯不敢戰。若率大兵直抵澶淵，據其橋梁，晉必可取。」
HCH_010_004_000273	是日，晉兵駐澶淵，其前軍高行周在戚城。
HCH_010_004_000274	乃命延壽、延昭以數萬騎出行周右，上以精兵出其左。
HCH_010_004_000275	戰至暮，上復以勁騎突其中軍，晉軍不能戰。
HCH_010_004_000276	會有諜者言晉軍東面數少，沿河城柵不固，乃急擊其東偏，眾皆奔潰。
HCH_010_004_000277	縱兵追及，遂大敗之。
HCH_010_004_000278	壬午，留趙延昭守貝州，徙所俘戶于內地。
HCH_010_004_000279	夏四月癸丑，還次南京。
HCH_010_004_000280	辛未，如涼陘。
HCH_010_004_000281	五月癸酉，耶律拔里得奏破德州，擒刺史尹居璠及將吏二十七人。
HCH_010_004_000282	六月甲辰，黑車子室來貢。
HCH_010_004_000283	乙巳，紝沒里、要里等國來貢。
HCH_010_004_000284	秋七月己卯，晉楊光遠遣人奉蠟丸書。
HCH_010_004_000285	辛卯，晉遣張暉奉表乞和，留暉不遣。
HCH_010_004_000286	八月辛酉，回鶻遣使請婚，不許。
HCH_010_004_000287	是月，晉鎮州兵來襲飛狐，大同軍節度使耶律孔阿戰敗之。
HCH_010_004_000288	九月庚午朔，北幸。
HCH_010_004_000289	冬十月丁未，鼻骨德來貢。
HCH_010_004_000290	壬戌，天授節，諸國進賀，惟晉不至。
HCH_010_004_000291	十一月壬申，詔征諸道兵，以閏月朔會溫榆河北。
HCH_010_004_000292	十二月癸卯，南伐。
HCH_010_004_000293	甲子，次古北口。
HCH_010_004_000294	閏月己巳朔，閱諸道兵于溫榆河。
HCH_010_004_000295	己卯，圍恆州，下其九縣。
HCH_010_004_000296	八年春正月庚子，分兵攻邢、洺、磁三州，殺掠殆盡。
HCH_010_004_000297	入鄴都境。
HCH_010_004_000298	張從恩、馬全節、安審琦兵悉陳于相州安陽水之南。
HCH_010_004_000299	皇甫遇與濮州刺史慕容彥超將兵千騎來覘遼軍。
HCH_010_004_000300	至鄴都，遇遼軍數萬，且戰且卻，至榆林店。
HCH_010_004_000301	遼軍繼至，遇與彥超力戰百餘合，遇馬斃，步戰，審琦引騎兵逾水以救，遼軍乃還。
HCH_010_004_000302	二月，圍魏，晉將杜重威率兵來救。
HCH_010_004_000303	戊子，晉將折從阮陷勝州。
HCH_010_004_000304	三月戊戌，師拔祁州，殺其刺史沈斌。
HCH_010_004_000305	庚子，杜重威、李守貞攻泰州。
HCH_010_004_000306	戊子，趙延壽率前鋒薄泰城。
