HCH_015_018_000124	史臣曰：記云，升中于天，麟鳳至而龜龍格。
HCH_015_018_000125	則鳳皇巢乎阿閣，麒麟在乎郊藪，豈非馴之在庭，擾以成畜，其為瑞也如此。
HCH_015_018_000126	今觀魏、晉已來，世稱靈物不少，而亂多治少，史不絕書。
HCH_015_018_000127	故知來儀在沼，遠非前事，見而不至，未辨其為祥也。
HCH_015_018_000128	昇明三年三月，白虎見歷陽龍亢縣新昌村。
HCH_015_018_000129	新昌村，嘉名也。
HCH_015_018_000130	瑞應圖云：「王者不暴白虎仁。」
HCH_015_018_000131	建元四年三月，白虎見安蠻虔化縣。
HCH_015_018_000132	中興二年二月，白虎見東平壽張安樂村。
HCH_015_018_000133	昇明二年，騶虞見安東縣五界山，師子頭，虎身，龍腳。
HCH_015_018_000134	詩傳云：「騶虞，義獸，白虎黑文，不食生物，至德則出。」
HCH_015_018_000135	昇明三年，太祖為齊王，白毛龜見東府城池中。
HCH_015_018_000136	建元二年，休安陵獲玄龜一頭。
HCH_015_018_000137	永明五年，武騎常侍唐潛上青毛神龜一頭。
HCH_015_018_000138	七年六月，彭城郡田中獲青毛龜一頭八月，延陵縣前澤畔獲毫龜一枚。
HCH_015_018_000139	八年四月，長山縣王惠獲六目龜一頭，腹下有「萬歡」字，并有卦兆。
HCH_015_018_000140	六月，建城縣昌城田獲四目龜一頭，下有「萬齊」字。
HCH_015_018_000141	九年五月，長山縣獲神龜一頭，腹下有巽兌卦。
HCH_015_018_000142	中興二年正月，邏將潘道蓋於山石穴中獲毛龜一頭。
HCH_015_018_000143	昇明三年，世祖遣人詣宮亭湖廟還福，船泊渚，有白魚雙躍入船。
HCH_015_018_000144	永明五年，南豫州刺史建安王子真表獻金色魚一頭。
HCH_015_018_000145	建元元年八月，男子王約獲白雀一頭。
HCH_015_018_000146	九月，秣陵縣獲白雀一頭。
HCH_015_018_000147	二年四月，白雀集郢州府館。
HCH_015_018_000148	五月，白雀見會稽永興縣。
HCH_015_018_000149	永明元年五月，郢州丁坡屯獲白雀一頭。
HCH_015_018_000150	三年七月，安城王暠第獲白雀一頭。
HCH_015_018_000151	四年七月，白雀見臨汝縣。
HCH_015_018_000152	七年六月，鹽官縣獲白雀一頭。
HCH_015_018_000153	八年，天門臨澧縣獲白雀一頭。
HCH_015_018_000154	九年七月，吳郡錢塘縣獲白雀一頭。
HCH_015_018_000155	十年五月，齊郡獲白雀一頭。
HCH_015_018_000156	建元元年五月，白烏見巴郡。
HCH_015_018_000157	永明四年三月，三足烏巢南安中陶縣庭。
HCH_015_018_000158	八年四月，陽羨縣獲白烏一頭。
HCH_015_018_000159	隆昌元年四月，陽羨縣獲白烏一頭。
HCH_015_018_000160	建元二年，江陵縣獲白鼠一頭。
HCH_015_018_000161	永明六年，白鼠見芳林園。
HCH_015_018_000162	十年九月，義陽郡獲白鼠一頭。
HCH_015_018_000163	永明四年，丹楊縣獲白兔一頭。
HCH_015_018_000164	昇明元年六月，慶雲見益都。
HCH_015_018_000165	建元元年，世祖拜皇太子日，有慶雲在日邊。
HCH_015_018_000166	三年，華林園醴泉堂東忽有瑞雲，周圓十許丈，高下與景雲樓平，五色藻密，光彩映山，徘徊良久，行轉南行，過長船入華池。
HCH_015_018_000167	昇明二年，宣城臨成縣於藉山獲紫芝一枝。
HCH_015_018_000168	永明八年五月，陽城縣獲紫芝一株。
HCH_015_018_000169	隆昌元年正月，襄陽縣獲紫芝一莖。
HCH_015_018_000170	昇明二年四月，昌國縣徐萬年門下棠樹連理。
HCH_015_018_000171	九月，豫州萬歲澗廣數丈，有樹連理，隔澗騰枝相通，越壑跨水為一榦。
HCH_015_018_000172	建元二年九月，有司奏上虞縣楓樹連理，兩根相去九尺，雙株均聳，去地九尺，合成一榦。
HCH_015_018_000173	故鄣縣楓樹連理，兩株相去七尺，大八圍，去地一丈，仍相合為樹，泯如一木。
HCH_015_018_000174	山陽縣界若邪村有一槻木，合為連理。
HCH_015_018_000175	淮陰縣建業寺梨樹連理。
HCH_015_018_000176	建康縣梨樹耀欀五圍，連理六枝。
HCH_015_018_000177	永明元年五月，木連理生安成新喻縣。
HCH_015_018_000178	又生南梁陳縣。
HCH_015_018_000179	閏月，璿明殿外閣南槐樹連理。
HCH_015_018_000180	八月，鹽官縣內樂村木連理。
HCH_015_018_000181	二年七月，烏程縣陳文則家槿樹連理。
HCH_015_018_000182	七月，新冶縣槐栗二木合生異根連理，去地數尺，中央小開，上復為一。
HCH_015_018_000183	三年正月，安城縣榆樹二株連理。
HCH_015_018_000184	二月，安陽縣梓樹連理。
HCH_015_018_000185	九月，句陽縣之糓山槿樹連理，異根雙挺，共杪為一。
HCH_015_018_000186	十二月，永寧左郡樠木連理。
HCH_015_018_000187	四年二月，秣陵縣喬天明園中李樹連理生，高三尺五寸，兩枝別生，復高三尺，合為一榦。
HCH_015_018_000188	五年正月，秣陵縣華僧秀園中四樹連理。
HCH_015_018_000189	六年四月，江寧縣北界賴鄉齊平里三成邏門外路東太常蕭惠基園楥樹二株連理，其高相去二尺，南大北小，小者傾柯南附，合為一樹，枝葉繁茂，圓密如蓋。
HCH_015_018_000190	七年，江寧縣李樹二株連理，兩根相去一丈五尺。
HCH_015_018_000191	八年，巴陵郡樹連理四株。
HCH_015_018_000192	三月，武陵白沙戍槻木連理，相去五尺，俱高三尺，東西二枝，合而通柯。
HCH_015_018_000193	十二月，柴桑縣陶委天家樹連理。
HCH_015_018_000194	永明五年，山陰縣孔廣家園檉樹十二層。
HCH_015_018_000195	會稽太守隨王子隆獻之，種芳林園鳳光殿西。
HCH_015_018_000196	九年，秣陵縣鬬場里安明寺有古樹，眾僧改架屋宇，伐以為薪，剖樹木裏，自然有「法大德」三字。
HCH_015_018_000197	始興郡本無欓樹，調味有闕。
HCH_015_018_000198	世祖在郡，堂屋後忽生一株。
HCH_015_018_000199	昇明二年十月，甘露降建康縣。
HCH_015_018_000200	十一月，甘露降長山縣。
HCH_015_018_000201	十二月，甘露降彭山松樹，至九日止。
HCH_015_018_000202	建元元年九月，甘露降淮南郡桃石榴二樹。
HCH_015_018_000203	有司奏甘露降新汲縣王安世園樹。
HCH_015_018_000204	永明二年四月，甘露降南郡桐樹。
HCH_015_018_000205	四年二月，甘露降臨湘縣李樹。
HCH_015_018_000206	三月，甘露降南郡桐樹。
HCH_015_018_000207	四月，甘露降睢陽縣桃樹。
HCH_015_018_000208	五年四月，甘露降荊州府中閤外桐樹。
HCH_015_018_000209	六年，甘露降芳林園故山堂桐樹。
HCH_015_018_000210	九年八月，甘露降上定林寺佛堂庭，中天如雨，遍地如雪，其氣芳，其味甘，耀日舞風，至晡乃止。
HCH_015_018_000211	爾後頻降鍾山松樹，四十餘日乃止。
HCH_015_018_000212	十月，甘露降〔泰〕安陵樹。
HCH_015_018_000213	中興二年三月，甘露降茅山，彌漫數里。
HCH_015_018_000214	元徽四年三月，醴泉出昌國白鹿山，其味甚甘。
HCH_015_018_000215	永明元年正月，新蔡郡固始縣獲嘉禾，一莖五穗。
HCH_015_018_000216	八月，新蔡縣獲嘉禾，二莖九穗，一莖七穗。
HCH_015_018_000217	十一月，固始縣獲嘉禾，一莖九穗。
HCH_015_018_000218	二年八月，梁郡睢陽縣界野田中獲嘉禾，一莖二十三穗。
HCH_015_018_000219	五年九月，莒縣獲嘉禾一株。
HCH_015_018_000220	十年六月，海陵齊昌縣獲嘉禾，一莖六穗。
HCH_015_018_000221	十一年九月，睢陽縣田中獲嘉禾一株。
HCH_015_018_000222	昇明二年九月，建寧縣建昌村民採藥於萬歲山，忽聞澗中有異響，得銅鍾一枚，長二尺一寸，邊有古字。
HCH_015_018_000223	建元元年十月，〔涪〕陵郡蜑民田健所住巖閒，常留雲氣，有聲響澈若龍吟，求之積歲，莫有見者。
HCH_015_018_000224	去四月二十七日，巖數里夜忽有雙光，至明往，獲古鐘一枚，又有一器名淳于，蜑人以為神物奉祠之。
HCH_015_018_000225	永明四年四月，東昌縣山自比歲以來，恒發異響，去二月十五日，有一巖褫落，縣民方元泰往視，於巖下得古鐘一枚。
HCH_015_018_000226	五年三月，豫寧縣長崗山獲神鍾一枚。
HCH_015_018_000227	九年十一月，寧蜀廣漢縣田所墾地入尺四寸，獲古鐘一枚，形高三尺八寸，圍四尺七寸，縣柄長一尺二寸，合高五尺，四面各九孔。
HCH_015_018_000228	更於陶所瓦閒見有白光，窺尋無物，自後夜夜輒復有光，既經旬日，村民張慶宣瓦作屋，又於屋閒見光照內外，慶宣疑之，以告孔休先，乃共發視，獲玉璽一鈕，璧方八分，上有鼻，文曰「帝真」。
HCH_015_018_000229	曲阿縣民黃慶宅左有園，園東南廣袤四丈，每種菜，輒鮮異，雖加採拔，隨復更生。
HCH_015_018_000230	夜中恒有白光，皎質屬天，狀似縣絹，私疑非常，請師卜候，道士傅德占使掘之，深三尺，獲玉印一鈕，文曰「長承萬福」。
HCH_015_018_000231	永明二年正月，冠軍將軍周普孫於石頭北廂將堂見地有異光照城堞，往獲玉璽一鈕，方七分，文曰「明玄君」。
HCH_015_018_000232	十一月，虜國民齊祥歸入靈丘關，聞殷然有聲，仰視之，見山側有紫氣如雲，眾鳥回翔其閒。
HCH_015_018_000233	祥往氣所，獲璽方寸四分，獸鈕，文曰「坤維聖帝永昌」。
HCH_015_018_000234	送與虜太后師道人惠度，欲獻虜主。
HCH_015_018_000235	惠度覩其文，竊謂「當今衣冠正朔，在於齊國」。
HCH_015_018_000236	遂附道人惠藏送京師，因羽林監崔士亮獻之。
HCH_015_018_000237	三年七月，始興郡民龔玄宣云，去年二月，忽有一道人乞食，因探懷中出篆書真經一卷，六紙，又表北極一紙，又移付羅漢居士一紙，云從兜率天宮下，使送上天子，因失道人所在。
HCH_015_018_000238	今年正月，玄宣又稱神人授皇帝璽，龜形，長五寸，廣二寸，厚二寸五分，上有「天地」字，中央「蕭」字，下「萬世」字。
HCH_015_018_000239	十年，蘭陵民齊伯生於六合山獲金璽一鈕，文曰「年予主」。
HCH_015_018_000240	世祖治盆城，得五尺刀一十口，永明年曆之數。
HCH_015_018_000241	昇明三年，左里村人於宮亭湖得靫戟二枚，傍有古字，文遠不可識。
HCH_015_018_000242	泰始中，世祖於青溪宅得錢一枚，文有北斗七星雙節，又有人形帶劍。
HCH_015_018_000243	及治盆城，又得一大錢，文曰「太平百歲」。
HCH_015_018_000244	永明七年，齊興太守劉元寶治郡城，於塹中獲錢百萬，形極大，以獻臺為瑞，世祖班賜朝臣以下各有差。
HCH_015_018_000245	十年，齊安郡民王攝掘地得四文大錢一萬二千七百十枚，品製如一。
HCH_015_018_000246	建元元年，郢州監利縣天井湖水色忽澄清，出綿，百姓採以為纊。
HCH_015_018_000247	永明二年，護軍府門外桑樹一株，竝有蠶絲綿被枝莖。
HCH_015_018_000248	史臣案：漢光武時有野蠶成蠒，百姓得以成衣服。
HCH_015_018_000249	今則浮波幕樹，其亦此之類乎？
HCH_015_018_000250	永明八年，始興郡昌樂村獲白鳩一頭。
HCH_015_018_000251	二年，彭澤縣獲白雉一頭。
HCH_015_018_000252	七年，𣡡林獲白雉一頭。
HCH_015_018_000253	十年，青州洍液戍獲白雉一頭。
HCH_015_018_000254	五年，望蔡縣獲白鹿一頭。
HCH_015_018_000255	九年，臨湘獲白鹿一頭。
HCH_015_018_000256	六年，蒲濤縣亮野村獲白麞一頭。
HCH_015_018_000257	七年，荊州獲白麞一頭。
HCH_015_018_000258	八年，餘干縣獲白麞一頭。
HCH_015_018_000259	九年，義陽安昌縣獲白麞一頭。
HCH_015_018_000260	十年，司州清激戍獲白麞一頭。
HCH_015_018_000261	十一年，廣陵海陵縣獲白麞一頭。
HCH_015_018_000262	七年，越州獻白珠，自然作思惟佛像，長三寸。
HCH_015_018_000263	上起禪靈寺，置剎下。
HCH_015_018_000264	七年，吳郡太守江斅於錢塘縣獲蒼玉璧一枚以獻。
HCH_015_018_000265	七年，主書朱靈讓於浙江得靈石，十人舉乃起，在水深三尺而浮，世祖親投于天淵池試之，刻為佛像。
HCH_015_018_000266	二年，從陽丹水縣山下得古鼎一枚。
HCH_015_018_000267	三年，越州南高凉俚人海中網魚，獲銅獸一頭，銘曰「作寶鼎，齊臣萬年子孫承寶」。
HCH_015_018_000268	贊曰：天降地出，星見先吉。
HCH_015_018_000269	造物百品，詳之載述。
HCH_015_018_000270	本南北朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
