HCH_012_020_000361	乙卯，彗星見，敕修省。
HCH_012_020_000362	八月丙戌，以災異敕戒內外諸臣修舉實政。
HCH_012_020_000363	冬十月丙申，停刑。
HCH_012_020_000364	十二月丙辰，薊遼總督顧養謙兼理朝鮮事，召宋應昌、李如松還。
HCH_012_020_000365	是年，振江北、湖廣、河南、浙江、山東饑。
HCH_012_020_000366	河南礦賊大起。
HCH_012_020_000367	烏斯藏入貢。
HCH_012_020_000368	二十二年春正月己亥，詔以各省災傷，山東、河南、徐、淮尤甚，盜賊四起，有司玩愒，朝廷詔令不行。
HCH_012_020_000369	自今以安民弭盜為撫按有司黜陟。
HCH_012_020_000370	二月癸丑，皇長子常洛出閤講學。
HCH_012_020_000371	甲子，遣使振河南，免田租。
HCH_012_020_000372	三月癸卯，詔修國史。
HCH_012_020_000373	夏四月己酉朔，日有食之。
HCH_012_020_000374	五月辛卯，禮部尚書陳于陛、南京禮部尚書沈一貫並兼東閣大學士，預機務。
HCH_012_020_000375	庚子，王錫爵致仕。
HCH_012_020_000376	六月己酉，雷雨，西華門災，敕修省。
HCH_012_020_000377	秋七月丙申，河套部長卜失兔犯延綏。
HCH_012_020_000378	是月，延綏總兵官麻貴敗河套部敵於下馬關。
HCH_012_020_000379	冬十月己未，南京兵部右侍郎邢玠總督川、貴軍務，討播州宣慰使楊應龍。
HCH_012_020_000380	丁卯，詔倭使入朝。
HCH_012_020_000381	是月，炒花犯遼東，總兵官董一元敗之。
HCH_012_020_000382	是年，琉球、烏斯藏入貢。
HCH_012_020_000383	二十三年春正月癸卯，遣都督僉事李宗城、指揮楊方亨封平秀吉為日本國王。
HCH_012_020_000384	三月乙未，賜朱之蕃等進士及第、出身有差。
HCH_012_020_000385	夏五月丁酉，京師地震，敕修省。
HCH_012_020_000386	秋九月戊寅，青海部長永邵卜犯甘肅，參將達雲敗之。
HCH_012_020_000387	乙酉，詔復建文年號。
HCH_012_020_000388	冬十一月辛未，湖廣災，蠲振有差。
HCH_012_020_000389	十二月辛丑，大學士趙志皐等請發留中章奏，不報。
HCH_012_020_000390	是年，江北大水，淮溢，浸泗州祖陵。
HCH_012_020_000391	二十四年春二月戊申，麻貴襲河套部，敗之。
HCH_012_020_000392	三月乙亥，乾清、坤寧兩宮災，敕修省。
HCH_012_020_000393	壬辰，下詔自責。
HCH_012_020_000394	是月，火落赤犯洮河，總兵官劉綎破走之。
HCH_012_020_000395	夏四月己亥，李宗城自倭營奔還王京。
HCH_012_020_000396	五月戊辰，河套部敵犯甘肅，總兵官楊濬擊破之。
HCH_012_020_000397	庚午，復議封倭，命都督僉事楊方亨、遊擊沈惟敬往。
HCH_012_020_000398	六月，振福建饑。
HCH_012_020_000399	秋七月丁卯，吏部尚書孫丕揚請發推補官員章疏，不報。
HCH_012_020_000400	戊寅，仁聖皇太后崩。
HCH_012_020_000401	乙酉，始遣中官開礦於畿內。
HCH_012_020_000402	未幾，河南、山東、山西、浙江、陝西悉令開採，以中官領之。
HCH_012_020_000403	羣臣屢諫不聽。
HCH_012_020_000404	閏八月乙丑朔，日有食之。
HCH_012_020_000405	丁卯，大學士趙志皐請視朝，發章奏，罷採礦，不報。
HCH_012_020_000406	九月乙未，楊方亨至日本，平秀吉不受封，復侵朝鮮。
HCH_012_020_000407	乙卯，葬孝安莊皇后。
HCH_012_020_000408	是月，河套部犯寧夏。
HCH_012_020_000409	總兵官李如柏擊敗之。
HCH_012_020_000410	是秋，河決黃堌口。
HCH_012_020_000411	冬十月丙子，停刑。
HCH_012_020_000412	乙酉，始命中官榷稅通州。
HCH_012_020_000413	是後，各省皆設稅使。
HCH_012_020_000414	羣臣屢諫不聽。
HCH_012_020_000415	十二月乙亥，陳于陛卒。
