HCH_009_025_000334	邊戍，皇統元年十月，都元帥宗弼與宋約，以淮水中流為界，西自鄧州南四十裏、西南四十裏為界。
HCH_009_025_000335	泰和八年設沿淮巡檢使，及朐山縣完瀆村創立巡路，置巡檢。
HCH_009_025_000336	河北東路。
HCH_009_025_000337	天會七年析河北為東、西路，名置本路兵馬都總管。
HCH_009_025_000338	府一，領節鎮二，防禦一，刺郡五，縣三十，鎮三十五。
HCH_009_025_000339	河間府，中，總管府，瀛海軍。
HCH_009_025_000340	宋河間郡瀛海軍。
HCH_009_025_000341	天會七年置總管府，正隆間升為次府，置瀛州瀛海軍節度使兼總管，置轉運司。
HCH_009_025_000342	後複置總管府，河北東西大名等路提刑司產無縫綿、滄鹽、藺席、馬藺花、香附子、錢蝦蟹、乾魚。
HCH_009_025_000343	戶三萬一千六百九十一。
HCH_009_025_000344	縣二、鎮三：河間倚。
HCH_009_025_000345	有滹沱河、君子館。
HCH_009_025_000346	鎮三束城、永甯、北林。
HCH_009_025_000347	蠡州，下，刺史。
HCH_009_025_000348	宋永甯軍，國初因之，天會七年升為寧州博野郡軍，天德三年更為蠡州。
HCH_009_025_000349	戶二萬九千七百九十七。
HCH_009_025_000350	縣一、鎮一：博野倚。
HCH_009_025_000351	有沙河、唐河。
HCH_009_025_000352	鎮一新橋。
HCH_009_025_000353	莫州，下，刺史。
HCH_009_025_000354	宋文安郡軍防禦，治任丘。
HCH_009_025_000355	貞祐二年五月降為鄚亭縣。
HCH_009_025_000356	戶二萬二千九百三十三。
HCH_009_025_000357	縣一、鎮一：任丘鎮一長豐。
HCH_009_025_000358	獻州，下，刺史。
HCH_009_025_000359	本樂壽縣，天會七年升為壽州，天德三年更今名。
HCH_009_025_000360	戶五萬六百三十二。
HCH_009_025_000361	縣二、鎮十：樂壽倚。
HCH_009_025_000362	有徒駭河、房淵、漢獻王陵。
HCH_009_025_000363	交河大定七年以石家圈置。
HCH_009_025_000364	鎮十景城、南大樹、劉解、槐家、參軍、貫河、北望、夾灘、策河、沙渦。
HCH_009_025_000365	冀州，上。
HCH_009_025_000366	宋信都郡，天會七年仍舊置安武軍節度。
HCH_009_025_000367	戶三千六百七十。
HCH_009_025_000368	縣五、鎮三：信都倚。
HCH_009_025_000369	有胡盧河、降水。
HCH_009_025_000370	鎮一來遠，後廢。
HCH_009_025_000371	南宮有降枯瀆。
HCH_009_025_000372	鎮三唐陽、後增寧化、七公二鎮。
HCH_009_025_000373	衡水有長蘆河、降水。
HCH_009_025_000374	武邑有漳河、長蘆河。
HCH_009_025_000375	鎮一觀津，後廢。
HCH_009_025_000376	棗強鎮一廣川，後廢。
HCH_009_025_000377	深州，上刺史。
HCH_009_025_000378	宋饒陽郡防禦，因初為刺郡。
HCH_009_025_000379	戶五萬六千三百四十。
HCH_009_025_000380	縣五、鎮一：靜安倚。
HCH_009_025_000381	有衡漳水、大陸澤。
HCH_009_025_000382	鎮一下博。
HCH_009_025_000383	束鹿有衡漳水、滹沱河。
HCH_009_025_000384	武強置河倉。
HCH_009_025_000385	有衡漳水、武強泉。
HCH_009_025_000386	饒陽有滹沱河。
HCH_009_025_000387	安平有沙水、滹沱河。
HCH_009_025_000388	清州，中。
HCH_009_025_000389	宋乾甯郡軍，國初因置軍，天會七年以守邊置防禦。
HCH_009_025_000390	戶四萬七千八百七十五。
HCH_009_025_000391	縣三、鎮一：會川本名乾寧，貞元元年更名。
HCH_009_025_000392	置河倉。
HCH_009_025_000393	鎮一範橋。
HCH_009_025_000394	興濟本隸滄州，大定六年來屬。
HCH_009_025_000395	靖海明昌四年以清州窩子口置。
HCH_009_025_000396	滄州，上，橫海軍節度。
HCH_009_025_000397	宋景城郡。
HCH_009_025_000398	貞元二年來屬。
HCH_009_025_000399	戶一十萬四千七百七十四。
HCH_009_025_000400	縣五、鎮十一：清池置河倉。
HCH_009_025_000401	有浮陽水、徒駭河鎮五長蘆、舊饒安、乾符、郭疃。
HCH_009_025_000402	舊有郭僑，後廢。
HCH_009_025_000403	無棣有老烏山、鬲津河。
HCH_009_025_000404	鎮一分水。
HCH_009_025_000405	鹽山有鹽山、浮水。
HCH_009_025_000406	鎮四海豐、海潤，後增利豐、撲頭二鎮。
HCH_009_025_000407	南皮置河倉。
HCH_009_025_000408	有大、小臺山、永濟渠、潔河。
HCH_009_025_000409	鎮一馬明。
HCH_009_025_000410	樂陵有鬲津河、篤馬河、鉤盤河、舊有會寧河、永利、東中三鎮、後廢。
HCH_009_025_000411	景州，上，刺史。
HCH_009_025_000412	宋永靜軍同下州，治東光。
HCH_009_025_000413	國初升為景州，貞元二年來屬。
HCH_009_025_000414	大安間更為觀州，避章廟諱也。
HCH_009_025_000415	戶六萬五千八百二十八。
HCH_009_025_000416	縣六、鎮四：東光倚。
HCH_009_025_000417	置河倉。
HCH_009_025_000418	有永濟渠、漳河。
HCH_009_025_000419	鎮一建橋。
HCH_009_025_000420	阜城有衡水、漳水河。
HCH_009_025_000421	劉豫祖塋在縣南十二裏。
HCH_009_025_000422	將陵置河倉。
HCH_009_025_000423	有永濟渠、鉤盤河。
HCH_009_025_000424	吳橋有永濟渠。
HCH_009_025_000425	蓚宋隸冀州。
HCH_009_025_000426	有漳河、蓚市。
HCH_009_025_000427	寧津鎮三西保安、廣平、會津。
HCH_009_025_000428	河北西路。
HCH_009_025_000429	天會七年析為西路。
HCH_009_025_000430	府三，領節鎮二，防禦二，刺郡五，縣六十一。
HCH_009_025_000431	真定府，上，總管府，成德軍。
HCH_009_025_000432	宋常山郡鎮州成德軍節度，正隆間依舊次府，置本路兵馬都總管府、轉運司。
HCH_009_025_000433	產瓷器、銅、鐵。
HCH_009_025_000434	有丹粉場、烏梨。
HCH_009_025_000435	藥則有茴香、零陵香、禦米殼、天南星、皁角、木瓜、芎、井泉石。
HCH_009_025_000436	戶一十三萬七千一百三十七。
HCH_009_025_000437	縣九、鎮三：真定倚。
HCH_009_025_000438	有大茂山、滋水、滹沱水。
HCH_009_025_000439	槁城有滋水、滹沱水。
HCH_009_025_000440	欒城有泜水、洨水。
HCH_009_025_000441	獲鹿興定三年三月升為鎮甯州，權河北西路，以經略使武仙駐焉。
HCH_009_025_000442	有萆山、滹沱水。
HCH_009_025_000443	行唐有玉女山、常山。
HCH_009_025_000444	鎮二嘉祐、北鎮。
HCH_009_025_000445	舊有行台、新年二鎮，後廢。
HCH_009_025_000446	阜平明昌四年以北鎮置。
HCH_009_025_000447	靈壽鎮一慈穀。
HCH_009_025_000448	元氏有封龍山、槐河。
HCH_009_025_000449	威州，下，刺史。
HCH_009_025_000450	天會七年以井陘縣升，置陘山郡軍，後為刺郡。
HCH_009_025_000451	戶八千三百一十。
HCH_009_025_000452	縣一：沃州，上，刺史。
HCH_009_025_000453	宋徽宗升為慶源府趙郡慶源軍，治平棘。
HCH_009_025_000454	天會七年改為趙州，天德三年更為沃州，蓋取水沃火之義，軍曰趙郡軍。
HCH_009_025_000455	後廢軍。
HCH_009_025_000456	戶三萬八千一百八十五。
HCH_009_025_000457	縣七、鎮一：平棘倚。
HCH_009_025_000458	有洨水、槐水。
HCH_009_025_000459	臨城有敦輿山、彭山、泜水。
HCH_009_025_000460	高邑有贊皇山、濟水。
HCH_009_025_000461	甯晉有洨水、寢水。
HCH_009_025_000462	鎮一奉城。
HCH_009_025_000463	邢州，上，安國軍節度。
HCH_009_025_000464	宋信德府钜鹿郡安國軍節度，天會七年降為邢州，仍置安國軍節度。
HCH_009_025_000465	產玄精石。
