HCH_012_016_000306	戊寅，陷南康。
HCH_012_016_000307	己卯，陷九江。
HCH_012_016_000308	秋七月甲辰，帝自將討宸濠，安邊伯朱泰為威武副將軍，帥師為先鋒。
HCH_012_016_000309	丙午，宸濠犯安慶，都指揮楊銳、知府張文錦禦卻之。
HCH_012_016_000310	辛亥，提督南贛汀漳軍務副都御史王守仁帥兵復南昌。
HCH_012_016_000311	丁巳，守仁敗宸濠於樵舍，擒之。
HCH_012_016_000312	八月癸未，車駕發京師。
HCH_012_016_000313	丁亥，次涿州，王守仁捷奏至，秘不發。
HCH_012_016_000314	冬十一月乙巳，漁於清江浦。
HCH_012_016_000315	壬子，冬至，受賀於太監張陽第。
HCH_012_016_000316	十二月辛酉，次揚州。
HCH_012_016_000317	乙酉，渡江。
HCH_012_016_000318	丙戌，至南京。
HCH_012_016_000319	是歲，淮、揚饑，人相食。
HCH_012_016_000320	撒馬兒罕入貢。
HCH_012_016_000321	十五年春正月庚寅朔，帝在南京。
HCH_012_016_000322	癸巳，改卜郊。
HCH_012_016_000323	夏四月己未，振淮、揚諸府饑。
HCH_012_016_000324	六月丁巳，次牛首山，諸軍夜驚。
HCH_012_016_000325	秋七月，小王子犯大同、宣府。
HCH_012_016_000326	八月癸未，免江西稅糧。
HCH_012_016_000327	閏月癸巳，受江西俘。
HCH_012_016_000328	丁酉，發南京。
HCH_012_016_000329	癸卯，次鎮江，幸大學士楊一清第，臨故大學士靳貴喪。
HCH_012_016_000330	九月己巳，漁於積水池，舟覆，救免，遂不豫。
HCH_012_016_000331	冬十月庚戌，次通州。
HCH_012_016_000332	十一月庚申，治交通宸濠者罪，執吏部尚書陸完赴行在。
HCH_012_016_000333	十二月己丑，宸濠伏誅。
HCH_012_016_000334	甲午，還京師，告捷於郊廟社稷。
HCH_012_016_000335	丁酉，大祀天地於南郊，初獻疾作，不克成禮。
HCH_012_016_000336	是年，琉球、占城、佛郎機、土魯番入貢。
HCH_012_016_000337	十六年春正月癸亥，改卜郊。
HCH_012_016_000338	二月己亥，巡撫雲南副都御史何孟春討平彌勒州苗。
HCH_012_016_000339	三月癸丑朔，日有食之。
HCH_012_016_000340	庚申，改西官廳為威武團營。
HCH_012_016_000341	乙丑，大漸，諭司禮監曰：「朕疾不可為矣。其以朕意達皇太后，天下事重，與閣臣審處之。前事皆由朕誤，非汝曹所能預也。」
