HCH_009_068_000113	賊犯莘縣，聞阿魯補至，即潰去，追襲一晝夜，至館陶及之，皆俘以歸。
HCH_009_068_000114	從宗弼襲康王，即渡淮，阿魯補以兵四千留和州，總督江、淮間戍將，以討未附郡縣。
HCH_009_068_000115	遂攻下太平州，隳其城。
HCH_009_068_000116	廬州叛，以偏師討之，敗其騎六千，擒三校。
HCH_009_068_000117	明日複破敵二萬於慎縣，斬首五百。
HCH_009_068_000118	張永合步騎數萬來戰，阿魯補兵止二千，敵圍之，阿魯補潰圍力戰，竟敗之，追殺四十裏，獲馬三百而還。
HCH_009_068_000119	再攻廬州，與迪古不敗敵萬眾於拓皋，至廬州，騎兵五百出戰，敗之，斬其二校。
HCH_009_068_000120	師還。
HCH_009_068_000121	宗弼趨陝西，道聞大名複叛，遣阿魯補經略之，獨與譯者至城下，招之，大名果降。
HCH_009_068_000122	翌日，下令民間兵器，悉上送官，於是吏民按堵如故。
HCH_009_068_000123	為大名開德路都統。
HCH_009_068_000124	齊國建，阿魯補屯兵於汴城外。
HCH_009_068_000125	天會十五年，詔廢齊國，已執劉麟，阿魯補先入汴京備變。
HCH_009_068_000126	明年，除歸德尹。
HCH_009_068_000127	割河南地與宋，入為燕京內省使。
HCH_009_068_000128	宗弼複河南，阿魯補先濟河，撫定諸郡，再為歸德尹、河南路都統。
HCH_009_068_000129	宋兵來取河南地，宗弼召阿魯補，與許州韓常、潁州大臭、陳州赤盞暉、皆會于汴，阿魯補以敵在近，獨不赴。
HCH_009_068_000130	而宋將岳飛、劉光世等，果乘間襲取許潁三州，旁郡皆回應。
HCH_009_068_000131	其兵犯歸德者，阿魯補連擊敗之，複取亳、宿等州，河南平，阿魯補功最。
HCH_009_068_000132	皇統五年，為行台參知政事，授世襲猛安，兼合紮謀克。
HCH_009_068_000133	改元帥右監軍，婆速路統軍，歸德軍節度使，累階儀同三司。
HCH_009_068_000134	其在汴時，嘗取官舍材木，構私第於恩州，至是事覺，法當「議勳」「議親」。
HCH_009_068_000135	海陵嘗在軍中，惡阿魯補，詔曰：「若論勳勞，更有過於此者。況官至一品，足以酬之。國家立法，貴賤一也，豈以親貴而有異也。」
HCH_009_068_000136	遂論死。
HCH_009_068_000137	年五十五。
HCH_009_068_000138	阿魯補以將家子從征伐，屢立功，曆官有惠愛，得民心。
HCH_009_068_000139	及死，人皆惜之。
HCH_009_068_000140	大定三年，贈儀同三司，詔以其子為右衛將軍，襲猛安及親管謀克，賜銀五百兩、重彩二十端、絹三百匹。
HCH_009_068_000141	骨赧，冶訶子，善騎射，有材幹。
HCH_009_068_000142	從討桓赧散達、烏春、窩謀罕、留可之叛，皆有功。
HCH_009_068_000143	從太祖伐遼，骨赧從軍戰甯江州出河店，破遼主親軍，皆以力戰受賞，襲其父謀克。
HCH_009_068_000144	領秦王宗翰千戶，攻下中、西兩京。
HCH_009_068_000145	宗翰伐宋，圍太原未下，宗翰還西京，骨赧以右翼軍佐銀術可守太原。
HCH_009_068_000146	是時汾州、團柏、榆次、嵐、憲、潞皆有兵來援，骨赧凡四戰，皆破之。
HCH_009_068_000147	大軍團汴，骨赧引萬戶軍，屢敗其援兵。
