HCH_012_026_000323	万历三十九年十月己巳，天启三年九月甲辰，俱犯轩辕。
HCH_012_026_000324	四年正月丙寅，犯轩辕大星。
HCH_012_026_000325	五年正月庚戌朔，退行犯左执法。
HCH_012_026_000326	七年三月乙酉，退行犯房北第一星。
HCH_012_026_000327	崇祯七年闰八月丁未，犯积尸。
HCH_012_026_000328	九年冬，犯右执法。
HCH_012_026_000329	洪武元年八月甲午，犯太微西垣上将。
HCH_012_026_000330	九月戊申，犯右执法。
HCH_012_026_000331	二年正月乙卯，犯房。
HCH_012_026_000332	六月壬辰，犯东咸。
HCH_012_026_000333	三年九月丙申，入太微垣。
HCH_012_026_000334	乙卯，留太微垣。
HCH_012_026_000335	四年九月乙卯，犯垒壁。
HCH_012_026_000336	五年十一月庚午，犯钩钤。
HCH_012_026_000337	九年三月辛酉，犯井。
HCH_012_026_000338	四月戊申，犯鬼。
HCH_012_026_000339	十年八月丙寅，犯天樽。
HCH_012_026_000340	十月乙卯，犯鬼。
HCH_012_026_000341	十一年二月壬戌，犯五诸侯。
HCH_012_026_000342	三月甲午，犯积尸。
HCH_012_026_000343	六月壬戌，犯右执法。
HCH_012_026_000344	十二年八月乙亥，犯鬼。
HCH_012_026_000345	戊寅，犯积尸。
HCH_012_026_000346	十二月庚寅，犯轩辕大星。
HCH_012_026_000347	十四年十月丙子，犯太微垣。
HCH_012_026_000348	十五年三月乙亥，犯右执法。
HCH_012_026_000349	九月乙丑，犯南斗。
HCH_012_026_000350	十六年八月辛卯，行轩辕中。
HCH_012_026_000351	九月辛酉，犯太微西垣上将。
HCH_012_026_000352	十七年正月乙卯，入氐。
HCH_012_026_000353	三月戊午，犯氐。
HCH_012_026_000354	十八年正月戊辰，犯外屏。
HCH_012_026_000355	十月丁酉，犯进贤。
HCH_012_026_000356	十九年正月壬戌，犯罚，二月丁未，犯箕。
HCH_012_026_000357	四月己亥，留斗。
HCH_012_026_000358	七月辛巳，犯斗。
HCH_012_026_000359	八月丁亥，犯斗。
HCH_012_026_000360	十月辛亥，十一月己巳，犯垒壁。
HCH_012_026_000361	二十一年正月丙申，入斗。
HCH_012_026_000362	四月丁未，七月庚辰，俱犯垒壁。
HCH_012_026_000363	十一月癸巳，犯外屏。
HCH_012_026_000364	二十二年正月丙戌，犯天阴。
HCH_012_026_000365	二月癸卯，行昴中。
HCH_012_026_000366	十月庚申，入氐。
HCH_012_026_000367	十一月甲午，犯东咸。
HCH_012_026_000368	十二月癸丑，犯天江。
HCH_012_026_000369	二十三年正月甲戌，入斗。
HCH_012_026_000370	三月辛卯，犯垒壁。
HCH_012_026_000371	五月戊戌，犯外屏。
HCH_012_026_000372	二十四年十二月甲子，与辰星同犯箕。
HCH_012_026_000373	二十五年二月己卯，犯垒壁。
HCH_012_026_000374	九月己卯朔，入井。
HCH_012_026_000375	二十六年三月庚戌，犯积薪。
HCH_012_026_000376	五月丙辰，犯轩辕。
HCH_012_026_000377	六月己丑，犯右执法。
HCH_012_026_000378	二十七年六月辛未，犯天街。
HCH_012_026_000379	八月癸巳，犯积薪。
HCH_012_026_000380	九月乙巳，犯鬼。
HCH_012_026_000381	二十八年二月壬午，又犯。
HCH_012_026_000382	四月戊子，入轩辕。
HCH_012_026_000383	五月戊午，犯灵台。
HCH_012_026_000384	闰九月乙丑，犯东咸。
HCH_012_026_000385	二十九年五月丙寅，犯诸王。
HCH_012_026_000386	六月甲午，犯司怪。
HCH_012_026_000387	十月辛亥，犯上将。
HCH_012_026_000388	十二月癸卯，守太微垣。
HCH_012_026_000389	三十年三月壬午，入太微垣。
HCH_012_026_000390	五月戊午，犯右执法。
HCH_012_026_000391	八月丁亥，入氐。
HCH_012_026_000392	丁未，入房。
HCH_012_026_000393	十月癸未，犯斗杓。
HCH_012_026_000394	三十一年十月，守心。
HCH_012_026_000395	建文四年八月戊辰，犯上将。
HCH_012_026_000396	甲戌，入太微垣右掖门。
HCH_012_026_000397	九月辛巳朔，犯右执法。
HCH_012_026_000398	壬辰，犯左执法。
HCH_012_026_000399	十月甲寅，犯进贤。
HCH_012_026_000400	甲子，入角。
HCH_012_026_000401	十一月壬午，入亢。
HCH_012_026_000402	己亥，入氐。
HCH_012_026_000403	永乐元年五月癸未，犯垒壁西第四星。
HCH_012_026_000404	十月甲戌，犯东第五星。
HCH_012_026_000405	二年四月乙酉，犯天樽。
HCH_012_026_000406	九月乙卯，犯角。
HCH_012_026_000407	十一月壬子，犯钩钤。
HCH_012_026_000408	三年三月癸丑，犯垒壁。
HCH_012_026_000409	四年正月甲午，犯天阴。
HCH_012_026_000410	戊午，犯月星。
HCH_012_026_000411	五年七月癸酉，犯诸王。
HCH_012_026_000412	八月己酉，犯司怪南第二星。
HCH_012_026_000413	六年二月庚辰朔，犯北第二星。
HCH_012_026_000414	四月辛卯，犯鬼。
HCH_012_026_000415	七月辛亥，入太微垣右掖门。
HCH_012_026_000416	丙辰及八年六月丙午，十年五月壬辰，俱犯右执法。
HCH_012_026_000417	十一年十月戊午，犯上将。
HCH_012_026_000418	十二年二月癸酉，退入太微垣，犯上相。
HCH_012_026_000419	十三年九月丁酉，犯灵台上星。
HCH_012_026_000420	癸卯，犯上将。
HCH_012_026_000421	十月庚午，犯左执法。
HCH_012_026_000422	十二月甲午朔，犯进贤。
HCH_012_026_000423	十五年九月庚申，犯左执法。
HCH_012_026_000424	十二月甲午，入房北第一星。
HCH_012_026_000425	十六年九月壬申，犯垒壁。
HCH_012_026_000426	十七年十二月庚辰，犯钩钤。
HCH_012_026_000427	二十年十月壬子，退犯天街上星。
HCH_012_026_000428	二十一年三月庚戌，犯积薪。
HCH_012_026_000429	二十二年十一月辛卯，退犯五诸侯。
HCH_012_026_000430	洪熙元年正月庚辰，留井。
HCH_012_026_000431	四月癸卯，入鬼。
HCH_012_026_000432	宣德元年十二月戊寅，犯轩辕。
HCH_012_026_000433	三年六月甲戌，犯积尸。
HCH_012_026_000434	十月戊子，犯太微西垣上将。
HCH_012_026_000435	四年三月癸亥，犯灵台。
HCH_012_026_000436	戊辰，犯上将。
HCH_012_026_000437	四月丙申、戊戌，俱犯右执法。
HCH_012_026_000438	九月丙辰，犯天江。
HCH_012_026_000439	五年九月乙丑，犯灵台。
HCH_012_026_000440	十月癸酉，犯上将。
HCH_012_026_000441	十一月己亥，犯左执法。
HCH_012_026_000442	丙午，犯进贤。
HCH_012_026_000443	六年三月乙卯，犯亢。
HCH_012_026_000444	六月甲寅、乙卯，俱犯氐。
HCH_012_026_000445	七月甲戌，犯房。
HCH_012_026_000446	九月癸亥，犯斗杓。
HCH_012_026_000447	七年九月辛酉，犯上将。
HCH_012_026_000448	十月己酉，犯进贤。
HCH_012_026_000449	八年正月丁卯，犯房。
HCH_012_026_000450	庚辰，犯东咸。
HCH_012_026_000451	八月丙午，犯斗魁。
HCH_012_026_000452	十月甲戌，犯垒壁。
HCH_012_026_000453	九年十一月己卯，犯氐。
HCH_012_026_000454	十二月己酉，犯钩钤。
HCH_012_026_000455	十年三月丁亥，犯垒壁。
HCH_012_026_000456	正统元年二月乙丑，犯天街。
HCH_012_026_000457	十二月甲子，犯天江。
HCH_012_026_000458	二年四月乙亥，犯垒壁。
HCH_012_026_000459	三年三月甲辰，犯井。
HCH_012_026_000460	五月庚寅，犯积尸。
HCH_012_026_000461	四年闰二月己卯朔，犯垒壁。
HCH_012_026_000462	五年二月庚辰，三月辛未，俱犯井。
HCH_012_026_000463	七年五月己丑，犯右执法。
HCH_012_026_000464	八年八月辛丑，犯积尸。
HCH_012_026_000465	九年五月癸酉，犯左执法。
HCH_012_026_000466	十年十月辛丑，犯上将。
HCH_012_026_000467	十一年二月乙卯，三月丁酉，俱犯平道。
HCH_012_026_000468	七月丁亥，犯氐。
HCH_012_026_000469	九月辛未，犯天江。
HCH_012_026_000470	十三年正月丙午，犯房北第一星。
HCH_012_026_000471	二月戊午，犯罚。
HCH_012_026_000472	九月甲午，犯狗。
HCH_012_026_000473	十四年七月己卯朔，留守斗。
HCH_012_026_000474	九月壬寅，犯左执法。
HCH_012_026_000475	十月乙丑，犯进贤。
HCH_012_026_000476	十一月乙未，犯亢。
HCH_012_026_000477	十二月丁未朔，犯氐。
HCH_012_026_000478	丙子，犯房。
HCH_012_026_000479	景泰元年九月丁未，犯垒壁西第三星。
HCH_012_026_000480	辛亥，犯第四星。
HCH_012_026_000481	庚申，犯第六星。
HCH_012_026_000482	十月辛未朔又犯。
HCH_012_026_000483	十二月己丑，犯第五星。
HCH_012_026_000484	二年十一月丙申，犯氐。
HCH_012_026_000485	癸亥，犯钩钤。
HCH_012_026_000486	三年四月甲申，与岁星同犯危。
HCH_012_026_000487	四年正月庚午，犯昴。
HCH_012_026_000488	五年六月戊戌，犯诸王。
HCH_012_026_000489	六年三月丙辰，犯井。
HCH_012_026_000490	五月乙巳朔，犯积尸。
HCH_012_026_000491	七年七月丁酉，入井。
HCH_012_026_000492	十月壬寅，犯鬼。
