HCH_010_041_000202	五代時，奚王去諸以數千帳徙媯州，自別為西奚，號可汗州；太祖因之。
HCH_010_041_000203	有媯泉在城中，相傳舜嬪二女於此。
HCH_010_041_000204	又有溫泉、版泉、磨笄山、雞鳴山、喬山、歷山。
HCH_010_041_000205	統縣一：懷來縣。
HCH_010_041_000206	本懷戎縣，太祖改。
HCH_010_041_000207	戶三千。
HCH_010_041_000208	儒州，縉陽軍，中，刺史。
HCH_010_041_000209	唐置。
HCH_010_041_000210	後唐同光二年隸新州。
HCH_010_041_000211	太宗改奉聖州，仍屬。
HCH_010_041_000212	有南溪河、沽河、宋王峪、桃峪口。
HCH_010_041_000213	統縣一：縉山縣。
HCH_010_041_000214	本漢廣蜜縣地。
HCH_010_041_000215	唐天寶中割媯川縣置。
HCH_010_041_000216	戶五千。
HCH_010_041_000217	蔚州，忠順軍，上，節度。
HCH_010_041_000218	《周職方》，并州川曰漚夷，在州境飛狐縣。
HCH_010_041_000219	趙襄子滅代，武靈王置代郡；項羽徙趙歇為代王，歇還趙，立陳余王代；漢韓信斬余，復置代郡；文帝初封代；皆此地。
HCH_010_041_000220	周宣帝始置蔚州，隋開皇中廢。
HCH_010_041_000221	唐武德四年復置。
HCH_010_041_000222	至德二年改興唐縣。
HCH_010_041_000223	乾元元年仍舊。
HCH_010_041_000224	大中從，朱邪執宜為刺史，有功，賜姓名李國昌。
HCH_010_041_000225	子克用乞為留後，僖宗不許。
HCH_010_041_000226	廣明初，攻敗國昌，代北無備，太祖來攻，克之，俘掠居民而去。
HCH_010_041_000227	石晉獻地，升忠順軍，後更武安軍。
HCH_010_041_000228	統和四年入宋，尋復之，降刺史，隸奉聖州，升觀察，復忠順軍節度。
HCH_010_041_000229	兵事屬西京都部署司。
HCH_010_041_000230	統縣五：靈仙縣。
HCH_010_041_000231	唐置興唐縣，梁改隆化縣，後唐同光初復置，晉改今名。
HCH_010_041_000232	戶二萬。
HCH_010_041_000233	定安縣。
HCH_010_041_000234	本漢東安陽縣地，久廢。
HCH_010_041_000235	後唐太祖伐劉仁恭，次蔚州，晨霧晦冥，占，不利深入，會雷電大作，燕軍解去，即此。
HCH_010_041_000236	遼置定安縣。
HCH_010_041_000237	西北至州六十里。
HCH_010_041_000238	戶一萬。
HCH_010_041_000239	飛狐縣。
HCH_010_041_000240	後周大象二年置廣昌縣於五龍城，即此。
HCH_010_041_000241	隋仁壽元年改名飛狐。
HCH_010_041_000242	相傳有狐於紫荊嶺食五粒松子，成飛仙，故云。
HCH_010_041_000243	西北至州一百四十里。
HCH_010_041_000244	戶五千。
HCH_010_041_000245	靈丘縣。
HCH_010_041_000246	漢置。
HCH_010_041_000247	後漢省。
HCH_010_041_000248	東魏復置，屬靈丘郡。
HCH_010_041_000249	隋開皇中罷郡來屬。
HCH_010_041_000250	大業初改隸代州。
HCH_010_041_000251	唐武德六年仍舊。
HCH_010_041_000252	東北至州一百八十里。
HCH_010_041_000253	戶三千。
HCH_010_041_000254	廣陵縣。
HCH_010_041_000255	本漢延陵縣。
HCH_010_041_000256	隋唐為鎮州。
HCH_010_041_000257	後唐同光初分興唐縣置。
HCH_010_041_000258	石晉割屬遼。
HCH_010_041_000259	東南至州四十里。
HCH_010_041_000260	戶三千。
HCH_010_041_000261	應州，彰國軍，上，節度。
HCH_010_041_000262	唐武德中置金城縣，後改應州。
HCH_010_041_000263	後唐明宗，州人也。
HCH_010_041_000264	天成元年升彰國軍節度，興唐軍、寰州隸焉。
HCH_010_041_000265	遼因之。
HCH_010_041_000266	北龍首山，南雁門。
HCH_010_041_000267	兵事屬西京都部署司。
HCH_010_041_000268	統縣三：金城縣。
HCH_010_041_000269	本漢陰館縣地，漢末廢為陰館城。
HCH_010_041_000270	隋大業末陷突厥。
HCH_010_041_000271	唐始置金城縣，遼因之。
HCH_010_041_000272	戶八千。
HCH_010_041_000273	渾源縣。
HCH_010_041_000274	唐置。
HCH_010_041_000275	有渾源川。
HCH_010_041_000276	在州東南一百五十里。
