HCH_012_154_000173	洪武中，由太學生歷金吾前衛經歷。
HCH_012_154_000174	上書論國家大計。
HCH_012_154_000175	太祖奇之，超拜工部右侍郎。
HCH_012_154_000176	建文時，深見倚任。
HCH_012_154_000177	成祖列奸黨二十九人，福與焉。
HCH_012_154_000178	成祖入京師，福迎附。
HCH_012_154_000179	李景隆指福奸黨，福曰：「臣固應死，但目為奸黨，則臣心未服。」
HCH_012_154_000180	帝置不問，復其官。
HCH_012_154_000181	未幾，拜工部尚書。
HCH_012_154_000182	永樂三年，陳瑛劾福不恤工匠，改北京行部尚書。
HCH_012_154_000183	明年坐事，逮下詔獄，謫充為事官。
HCH_012_154_000184	已，復職，督安南軍餉。
HCH_012_154_000185	安南既平，郡縣其地，命福以尚書掌布政、按察二司事。
HCH_012_154_000186	時遠方初定，軍旅未息，庶務繁劇。
HCH_012_154_000187	福隨事制宜，咸有條理。
HCH_012_154_000188	上疏言：「交阯賦稅輕重不一，請酌定，務從輕省。」
HCH_012_154_000189	又請：「循瀘江北岸至欽州，設衛所，置驛站，以便往來。開中積鹽，使商賈輸粟，以廣軍儲。官吏俸廩，倉粟不足則給以公田。」
HCH_012_154_000190	又言：「廣西民饋運，陸路艱險，宜令廣東海運二十萬石以給。」
HCH_012_154_000191	皆報可。
HCH_012_154_000192	於是編氓籍，定賦稅，興學校，置官師。
HCH_012_154_000193	數召父老宣諭德意，戒屬吏毋苛擾。
HCH_012_154_000194	一切鎮之以靜，上下帖然。
HCH_012_154_000195	時群臣以細故謫交阯者眾，福咸加拯恤，甄其賢者與共事，由是至者如歸。
HCH_012_154_000196	鎮守中官馬騏怙寵虐民，福數裁抑之。
HCH_012_154_000197	騏誣福有異志。
HCH_012_154_000198	帝察其妄，不問。
HCH_012_154_000199	仁宗即位，召還，命兼詹事，輔太子。
HCH_012_154_000200	福在交阯凡十九年。
HCH_012_154_000201	及還，交人扶攜走送，號泣不忍別。
HCH_012_154_000202	福還，交阯賊遂劇，訖不能靖。
HCH_012_154_000203	仁宗崩，督獻陵工。
HCH_012_154_000204	宣德元年，馬騏激交阯復叛。
HCH_012_154_000205	時陳洽以兵部尚書代福，累奏乞福還撫交阯。
HCH_012_154_000206	會福奉使南京，召赴闕，敕曰：「卿惠愛交人久，交人思卿，其為朕再行。」
HCH_012_154_000207	仍以工部尚書兼詹事，領二司事。
HCH_012_154_000208	比至，柳升敗死，福走還。
HCH_012_154_000209	至雞陵關，為賊所執，欲自殺。
HCH_012_154_000210	賊羅拜下泣曰：「公，交民父母也，公不去，我曹不至此。」
HCH_012_154_000211	力持之。
HCH_012_154_000212	黎利聞之曰：「中國遣官吏治交阯，使人人如黃尚書，我豈得反哉！」
HCH_012_154_000213	遣人馳往守護，饋白金、餱糧，肩輿送出境。
HCH_012_154_000214	至龍州，盡取所遺歸之官。
HCH_012_154_000215	還，為行在工部尚書。
HCH_012_154_000216	四年與平江伯董漕事，議令江西、湖廣、浙江及江南北諸郡民，量地遠近，轉粟於淮、徐、臨清，而令軍士接運至北京，民大稱便。
HCH_012_154_000217	五年陳足兵食省役之要。
HCH_012_154_000218	其言足食，謂：「永樂間雖營建北京，南討交阯，北征沙漠，資用未嘗乏。比國無大費，而歲用僅給。即不幸有水旱，征調將何以濟？請役操備營繕軍士十萬人，於濟寧以北，衛輝、真定以東，緣河屯種。初年自食，次年人收五石，三年收倍之。既省京倉口糧六十萬石，又省本衛月糧百二十萬石，歲可得二百八十萬石。」
HCH_012_154_000219	帝善之，下行在戶、兵二部議。
HCH_012_154_000220	郭資、張本言：「緣河屯田實便，請先以五萬頃為率，發附近居民五萬人墾之。但山東近年旱饑，流徙初復，衛卒多力役，宜先遣官行視田以俟開墾。」
HCH_012_154_000221	帝從之。
HCH_012_154_000222	命吏部郎中趙新等經理屯田，福總其事。
HCH_012_154_000223	既而有言軍民各有常業，若復分田，役益勞擾，事竟不行。
HCH_012_154_000224	改戶部尚書。
HCH_012_154_000225	七年，帝於宮中覽福《漕事便宜疏》，出以示楊士奇曰：「福言智慮深遠，六卿中誰倫比者？」
HCH_012_154_000226	對曰：「福受知太祖，正直明果，一誌國家。永樂初，建北京行部，綏輯雕瘵，及使交阯，總藩憲，具有成績，誠六卿所不及。福年七十矣，諸後進少年高坐公堂理政事，福四朝舊人，乃朝暮奔走勞悴，殊非國家優老敬賢之道。」
HCH_012_154_000227	帝曰：「非汝不聞此言。」
HCH_012_154_000228	士奇又曰：「南京根本重地，先帝以儲宮監國。福老成忠直，緩急可倚。」
HCH_012_154_000229	帝曰：「然。」
HCH_012_154_000230	明日改福官南京。
HCH_012_154_000231	明年兼掌南京兵部。
HCH_012_154_000232	英宗即位，加少保，參贊南京守備襄城伯李隆機務。
HCH_012_154_000233	留都文臣參機務，自福始。
HCH_012_154_000234	隆用福言，政肅民安。
HCH_012_154_000235	正統五年正月卒，年七十八。
HCH_012_154_000236	福豐儀修整，不妄言笑。
HCH_012_154_000237	歷事六朝，多所建白。
HCH_012_154_000238	公正廉恕，素孚於人。
HCH_012_154_000239	當官不為赫赫名，事微細無不謹。
HCH_012_154_000240	憂國忘家，老而彌篤。
HCH_012_154_000241	自奉甚約，妻子僅給衣食，所得俸祿，惟待賓客周匱乏而已。
HCH_012_154_000242	初，成祖手疏大臣十人，命解縉評之，惟於福曰：「秉心易直，確乎有守。」
HCH_012_154_000243	無少貶。
HCH_012_154_000244	福參贊南京時，嘗坐李隆側。
HCH_012_154_000245	士奇寄聲曰：「豈有孤卿而旁坐者？」
HCH_012_154_000246	福曰：「焉有少保而贊守備者邪？」
HCH_012_154_000247	卒不變。
HCH_012_154_000248	然隆待福甚恭。
HCH_012_154_000249	公退，即推福上坐，福亦不辭。
HCH_012_154_000250	士奇之省墓也，道南京，聞福疾，往候之。
HCH_012_154_000251	福驚曰：「公輔幼主，一日不可去左右，奈何遠出？」
HCH_012_154_000252	士奇深服其言。
HCH_012_154_000253	兵部侍郎徐琦使安南回，福與相見石城門外。
HCH_012_154_000254	或指福問安南來者曰：「汝識此大人否？」
HCH_012_154_000255	對曰：「南交草木，亦知公名，安得不識？」
HCH_012_154_000256	福卒，贈謚不及，士論頗不平。
HCH_012_154_000257	成化初，始贈太保，謚忠宣。
HCH_012_154_000258	劉俊，字子士，江陵人。
HCH_012_154_000259	洪武十八年進士。
HCH_012_154_000260	除兵部主事，歷郎中。
HCH_012_154_000261	遇事善剖決，為帝所器。
HCH_012_154_000262	二十八年擢右侍郎。
HCH_012_154_000263	建文時，為侍中。
HCH_012_154_000264	成祖即位，進尚書。
HCH_012_154_000265	永樂四年大征安南，以俊參贊軍務。
HCH_012_154_000266	俊為人縝密勤敏，在軍佐畫籌策有功，還受厚賚。
HCH_012_154_000267	未幾，簡定復叛，俊再出參贊沐晟軍務。
HCH_012_154_000268	六年冬，晟與簡定戰生厥江，敗績。
HCH_012_154_000269	俊行至大安海口，颶風作，揚沙晝晦，且戰且行，為賊所圍，自經死。
HCH_012_154_000270	洪熙元年三月，帝以俊陷賊不屈，有司不言，未加褒恤，敕責禮官。
HCH_012_154_000271	乃賜祭，贈太子少傅，謚節湣。
HCH_012_154_000272	官其子奎給事中。
HCH_012_154_000273	與俊同死者呂毅、劉昱。
HCH_012_154_000274	毅，項城人。
HCH_012_154_000275	以濟南衛百戶從成祖渡江，積功至都督僉事。
HCH_012_154_000276	與同官黃中充左右副將軍，佐征南將軍韓觀鎮廣西。
