HCH_012_165_000109	田主訴於縣，縣逮茂七，不赴。
HCH_012_165_000110	下巡檢追攝，茂七殺弓兵數人。
HCH_012_165_000111	上官聞，遣軍三百捕之。
HCH_012_165_000112	被殺傷幾盡，巡檢及知縣並遇害。
HCH_012_165_000113	茂七遂大剽略，偽稱「鏟平王」，設官屬，黨數萬人，陷二十餘縣。
HCH_012_165_000114	都指揮範真、指揮彭璽等先後被殺。
HCH_012_165_000115	時福建參政交阯人宋新，賄王振得遷左布政使，侵漁貪惡，民不能堪，益相率從亂。
HCH_012_165_000116	東南騷動。
HCH_012_165_000117	十三年四月，茂七圍延平。
HCH_012_165_000118	刷卷御史張海登城撫諭。
HCH_012_165_000119	賊訴乞貰死，免三年徭役，即解散為良民。
HCH_012_165_000120	海以聞。
HCH_012_165_000121	命瑄往招討，以都督劉聚、僉都御史張楷大軍繼其後。
HCH_012_165_000122	瑄既至，先令人賫敕往撫。
HCH_012_165_000123	茂七不肯降，瑄馳赴沙縣圖之。
HCH_012_165_000124	賊首林宗政等萬餘人攻後坪，欲立寨。
HCH_012_165_000125	瑄令通判倪冕等率眾先據要害，而身與都指揮雍埜等邀其歸路，斬賊二百餘級，獲其渠陳阿巖。
HCH_012_165_000126	明年二月，瑄誘賊復攻延平，督眾軍分道沖擊。
HCH_012_165_000127	賊大敗，遁走，指揮劉福追之，遂斬茂七，招脅從復業。
HCH_012_165_000128	未幾，復擒其黨林子得等。
HCH_012_165_000129	尤溪賊首鄭永祖率四千人攻延平。
HCH_012_165_000130	瑄偕埜等邀擊，擒之，斬首五百有奇，余黨潰散。
HCH_012_165_000131	楷之監大軍討賊也，至建寧頓不進，日置酒賦詩為樂。
HCH_012_165_000132	聞瑄破賊，則馳至延平攘其功。
HCH_012_165_000133	瑄被脅依違具奏。
HCH_012_165_000134	福不能平，訴之。
HCH_012_165_000135	詔責瑄具狀。
HCH_012_165_000136	楷等皆獲罪。
HCH_012_165_000137	瑄有功不問，功亦竟不錄。
HCH_012_165_000138	茂七雖死，其從子伯孫等復熾。
HCH_012_165_000139	朝廷更遣陳懋等以大軍討，瑄乃還朝。
HCH_012_165_000140	景泰初，出為廣東副使，卒。
HCH_012_165_000141	當是時，浙、閩盜所在剽掠為民患。
HCH_012_165_000142	將帥率玩寇，而文吏勵民兵拒賊，往往多斬獲。
HCH_012_165_000143	閩則有張瑛、王得仁之屬。
HCH_012_165_000144	浙江則金華知府石瑁擒遂昌賊蘇才於蘭溪。
HCH_012_165_000145	處州知府張佑擊敗賊眾，擒斬千餘人。
HCH_012_165_000146	於是帝降敕，數詰讓諸將帥。
HCH_012_165_000147	都指揮鄧安等因歸咎於前御史柳華。
HCH_012_165_000148	時王振方欲殺朝士威眾，命逮華。
HCH_012_165_000149	華已出為山東副使，聞命，仰藥死。
HCH_012_165_000150	詔籍其家，男戍邊，婦女沒入浣衣局。
HCH_012_165_000151	而御史汪澄、柴文顯亦以是得罪。
HCH_012_165_000152	初，澄按福建，以茂七亂，檄浙江、江西會討。
HCH_012_165_000153	尋以賊方議降，止兵毋進。
HCH_012_165_000154	既知賊無降意，復趣進兵，而賊已不可制。
HCH_012_165_000155	浙江巡按御史黃英恐得罪，具白澄止兵狀，兵部因劾澄失機。
HCH_012_165_000156	福建三司亦言，賊初起，按臣柴文顯匿不奏，釀成今患。
HCH_012_165_000157	遂俱下吏。
HCH_012_165_000158	獄成，詔磔文顯，籍其家。
HCH_012_165_000159	澄棄市。
HCH_012_165_000160	而宋新及按察使方冊等十人俱坐斬。
HCH_012_165_000161	遇赦，謫驛丞。
HCH_012_165_000162	天順初，復官。
HCH_012_165_000163	論者謂華所建置未為過，澄、文顯罪不至死。
HCH_012_165_000164	武將不能滅賊，反罪文吏。
HCH_012_165_000165	華、文顯至與叛逆同科，失刑實由王振雲。
HCH_012_165_000166	華，吳縣人。
HCH_012_165_000167	文顯，浙江建德人。
HCH_012_165_000168	澄仁和人。
HCH_012_165_000169	王得仁，名仁，以字行，新建人。
HCH_012_165_000170	本謝姓，父避仇外家，因冒王氏。
HCH_012_165_000171	得仁五歲喪母，哀號如成人。
HCH_012_165_000172	初為衛吏，以才薦授汀州府經歷。
HCH_012_165_000173	廉能勤敏，上下愛之。
HCH_012_165_000174	秩滿當遷，軍民數千人乞留，詔增秩再任。
HCH_012_165_000175	居三年，推官缺，英宗從軍民請，就令遷擢。
HCH_012_165_000176	數辯冤獄，卻饋遺，抑鎮守內臣苛索，政績益著。
HCH_012_165_000177	沙縣賊陳政景，故鄧茂七黨也。
HCH_012_165_000178	糾清流賊藍得隆等攻城。
HCH_012_165_000179	得仁與守將及知府劉能擊敗之，擒政景等八十四人，余賊驚潰。
HCH_012_165_000180	諸將議窮搜，得仁恐濫及百姓，下令招撫，辨釋難民三百人。
HCH_012_165_000181	都指揮馬雄得通賊者姓名，將按籍行戮，得仁力請焚其籍。
HCH_012_165_000182	賊復寇寧化，率兵往援，斬首甚眾。
HCH_012_165_000183	民多自拔歸，賊勢益衰。
HCH_012_165_000184	賊退屯將樂，得仁將追滅之，俄遘疾。
HCH_012_165_000185	眾欲輿歸就醫，得仁不可，曰：「吾一動，賊必長驅。」
HCH_012_165_000186	乃起坐帳中，諭將吏戮力平賊，遂卒。
HCH_012_165_000187	時正統十四年夏也。
HCH_012_165_000188	軍民哀慟。
HCH_012_165_000189	喪還，哭奠者道路相屬，多繪像祀之。
HCH_012_165_000190	天順末，吏民乞建祠。
HCH_012_165_000191	有司為請，詔如廣東楊信民故事，春秋致祭。
HCH_012_165_000192	子一夔，天順四年舉進士第一。
HCH_012_165_000193	授修撰，進左諭德。
HCH_012_165_000194	成化七年，彗星見。
HCH_012_165_000195	應詔陳五事：請正宮闈，親大臣，開言路，慎刑獄，戒妄費。
HCH_012_165_000196	語極剴摯，被旨切責。
HCH_012_165_000197	累遷工部尚書。
HCH_012_165_000198	卒，贈太子少保。
HCH_012_165_000199	正德中，謚文莊。
HCH_012_165_000200	葉禎，字夢吉，高要人。
HCH_012_165_000201	舉於鄉，授潯州府同知。
HCH_012_165_000202	補鳳翔，調慶遠。
HCH_012_165_000203	兩廣瑤賊蜂起，列郡鹹被害，將吏率縮朒觀望。
HCH_012_165_000204	禎誓不與賊俱生，募健兒日訓練。
HCH_012_165_000205	峒酋韋父強數敗官軍，禎生縶之，其黨忿，悉眾攻城。
HCH_012_165_000206	旗山守將擁兵不救。
HCH_012_165_000207	禎率健兒出戰，賊卻去。
HCH_012_165_000208	旋躡禎，戰相當，禎子公榮殲焉。
HCH_012_165_000209	頃之，賊圍雞刺諸村，禎率三百人趨赴。
HCH_012_165_000210	道遇賊人頭山下，鏖戰，禎被數槍，手刃賊一人，與從子官慶及三百人皆死。
HCH_012_165_000211	時天順三年正月晦也。
HCH_012_165_000212	嶺南素無雪，是夜大雷電，雪深尺許。
HCH_012_165_000213	賊釋圍去，諸村獲全。
HCH_012_165_000214	事聞，贈朝列大夫、廣西參議，守臣為立廟祀之。
HCH_012_165_000215	伍驥，字德良，安福人。
HCH_012_165_000216	景泰五年進士。
HCH_012_165_000217	授御史。
HCH_012_165_000218	莊重寡言笑，見義敢為。
HCH_012_165_000219	天順七年巡按福建。
HCH_012_165_000220	先是，上杭賊起，都指揮僉事丁泉，汶上人，善捍禦。
HCH_012_165_000221	賊屢攻城，皆為所卻。
HCH_012_165_000222	已而賊轉熾。
HCH_012_165_000223	驥聞，立馳入汀州，調援兵四集。
HCH_012_165_000224	驥單騎詣賊壘。
HCH_012_165_000225	賊不意御史猝至，皆擐甲露刃。
HCH_012_165_000226	驥從容立馬，諭以禍福。
HCH_012_165_000227	賊見其至誠，感悟泣下，歸附者千七百餘戶。
HCH_012_165_000228	給以牛種，俾復故業。
HCH_012_165_000229	惟賊首李宗政負固不服，遂與泉深入破之。
HCH_012_165_000230	泉力戰，為賊所害。
HCH_012_165_000231	驥吊死恤傷，激以忠義，復與賊戰。
HCH_012_165_000232	連破十八寨，俘斬八百餘人，四境悉平。
HCH_012_165_000233	而驥冒瘴癘成疾，班師至上杭卒。
HCH_012_165_000234	軍民哀之如父母，旦夕臨者數千人，爭出財立祠。
HCH_012_165_000235	成化中以知縣蕭宏請，詔與泉並祀，賜祠名「褒忠」。
HCH_012_165_000236	毛吉，字宗吉，余姚人。
HCH_012_165_000237	景泰五年進士。
HCH_012_165_000238	除刑部廣東司主事。
HCH_012_165_000239	司轄錦衣衛。
HCH_012_165_000240	衛卒伺百官陰事，以片紙入奏即獲罪，公卿大夫莫不惴恐。
HCH_012_165_000241	公行請屬，狎侮官司，即以罪下刑部者，亦莫敢捶撻。
HCH_012_165_000242	吉獨執法不撓，有犯必重懲之。
HCH_012_165_000243	其長門達怙寵肆虐，百官道遇率避馬，吉獨舉鞭拱手過，達怒甚。
HCH_012_165_000244	吉以疾失朝，下錦衣獄。
HCH_012_165_000245	達大喜，簡健卒，用巨梃搒之。
HCH_012_165_000246	肉潰見骨，不死。
HCH_012_165_000247	天順五年擢廣東僉事，分巡惠、潮二府。
HCH_012_165_000248	痛仰豪右，民大悅。
HCH_012_165_000249	及期當代，相率籲留之。
HCH_012_165_000250	程鄉賊楊輝者，故劇賊羅劉寧黨也。
HCH_012_165_000251	已撫復叛，與其黨曾玉、謝瑩分據寶龍、石坑諸洞，攻陷江西安遠，剽閩、廣間。
HCH_012_165_000252	已，欲攻程鄉。
HCH_012_165_000253	吉先其未至，募壯士合官軍得七百人。
HCH_012_165_000254	抵賊巢。
HCH_012_165_000255	先破石坑，斬玉；次擊瑩，馘之。
HCH_012_165_000256	復生擒輝。
HCH_012_165_000257	諸洞悉破，凡俘斬千四百人。
HCH_012_165_000258	捷聞，憲宗進吉副使，璽書嘉勞。
HCH_012_165_000259	移巡高、雷、廉三府。
HCH_012_165_000260	時民遭賊躪，數百里無人煙，諸將悉閉城自守，或以賊告，反被撻。
HCH_012_165_000261	有自賊中逸歸者，輒誣以通賊，撲殺之。
HCH_012_165_000262	吉不勝憤，以平賊為己任。
HCH_012_165_000263	按部雷州。
HCH_012_165_000264	海康知縣王騏，雲南太和人也，日以義激其民，賊至輒奮擊。
HCH_012_165_000265	吉壯其勇節，獎勵之。
HCH_012_165_000266	適報賊掠鄉聚，吉與騏各率所部擊敗之。
HCH_012_165_000267	薦騏，遷雷州通判。
HCH_012_165_000268	未聞命，戰死。
HCH_012_165_000269	贈同知，蔭其子為國子生。
HCH_012_165_000270	成化元年二月，新會告急。
HCH_012_165_000271	吉率指揮閻華、掌縣事同知陶魯，合軍萬人，至大磴破賊，乘勝追至雲岫山，去賊營十餘里。
HCH_012_165_000272	時已乙夜，召諸將分三哨，黎明進兵。
HCH_012_165_000273	會陰晦，眾失期。
HCH_012_165_000274	及進戰，賊棄營走上山。
HCH_012_165_000275	吉命潘百戶者據其營，眾競取財物。
HCH_012_165_000276	賊馳下，殺百戶。
HCH_012_165_000277	華亦馬躓，為賊所殺。
HCH_012_165_000278	諸軍遂潰。
HCH_012_165_000279	吉勒馬大呼止軍。
HCH_012_165_000280	吏勸吉避，吉曰：「眾多殺傷，我獨生可乎？」
HCH_012_165_000281	言未已，賊持槍趨吉。
HCH_012_165_000282	古且罵且戰，手劍一人，斷其臂。
HCH_012_165_000283	力絀，遂被害。
HCH_012_165_000284	是日，雷雨大作，山谷皆震動。
HCH_012_165_000285	又八日，始得屍，貌如生。
HCH_012_165_000286	事聞，贈按察使，錄其子科入國子監。
HCH_012_165_000287	尋登進士，終雲南副使。
HCH_012_165_000288	方吉出軍時，賫千金犒，委驛丞余文司出入，已用十之三。
HCH_012_165_000289	吉既死，文憫其家貧，以所余金授吉仆，使持歸治喪。
HCH_012_165_000290	是夜，仆婦忽坐中堂作吉語，顧左右曰：「請夏憲長來。」
HCH_012_165_000291	舉家大驚，走告按察使夏塤。
HCH_012_165_000292	塤至。
HCH_012_165_000293	起揖曰：「吉受國恩，不幸死於賊。今余文以所遺官銀付吉家，雖無文簿可考，吉負垢地下矣。願亟還官，毋汙我。」
HCH_012_165_000294	言畢，仆地，頃之始蘇。
HCH_012_165_000295	於是歸金於官。
HCH_012_165_000296	吉死時年四十，後賜謚忠襄。
HCH_012_165_000297	林錦，字彥章，連江人。
HCH_012_165_000298	景泰初，由鄉貢授合浦訓導。
HCH_012_165_000299	瑤寇充斥，內外無備。
HCH_012_165_000300	錦條具方略，悉中機宜。
HCH_012_165_000301	巡撫葉盛異之，檄署靈山縣事。
HCH_012_165_000302	城毀於賊，錦因形便，為柵以守，廣設戰具，賊不敢逼。
HCH_012_165_000303	滿秩去官，民曰：「公去，賊復至，誰禦者？」
HCH_012_165_000304	悉逃入山。
HCH_012_165_000305	盛以狀聞，詔即以錦為知縣。
HCH_012_165_000306	馳驛之官，民復來歸。
HCH_012_165_000307	適歲饑，諸瑤益剽掠無虛日。
HCH_012_165_000308	錦單騎詣壘，曉以禍福。
HCH_012_165_000309	瑤感悟，附縣二十五部鹹聽命。
HCH_012_165_000310	其不服者則討之。
HCH_012_165_000311	天順六年破賊羅禾水，再破之黃姜嶺，又大破之新莊。
HCH_012_165_000312	先後斬獲千餘級，還所掠人口，賊悉平，乃去柵，築土城。
HCH_012_165_000313	盛及監司屢薦其才。
HCH_012_165_000314	成化改元，會廉州為賊所陷，乃以錦為試知府。
HCH_012_165_000315	歲復大饑，賊四出劫掠。
HCH_012_165_000316	錦諭散千餘人，誅梗化者，而綏輯其流移。
HCH_012_165_000317	境內悉平。
HCH_012_165_000318	四年，上官交薦，請改授憲職，令專備欽、廉群盜。
HCH_012_165_000319	乃以為按察使僉事，益勤於政。
HCH_012_165_000320	十年賜敕旌異。
HCH_012_165_000321	久之，進副使。
HCH_012_165_000322	錦以所部屢有盜警，思為經久計，乃設團河營於西，設新寮營於南，而別設洪崖營以杜諸寇出沒路。
HCH_012_165_000323	易靈山土城，更築高墉，亙五百丈，卒為巖邑。
HCH_012_165_000324	十四年，兵部上其撫輯功，被賚。
HCH_012_165_000325	錦在兵間，以教化為務。
HCH_012_165_000326	靈山尚鬼，則禁淫祠，修學校，勸農桑。
HCH_012_165_000327	其治廉、欽，皆飭學宮，振起文教。
HCH_012_165_000328	為人誠實，洞見肺腑，瑤蠻莫不愛信。
HCH_012_165_000329	其行軍，與士卒同甘苦，有功輒推以與人，以故士多效死，所在祠祀。
HCH_012_165_000330	郭緒，字繼業，太康人。
HCH_012_165_000331	成化十七年進士。
HCH_012_165_000332	使楚府，卻其饋。
HCH_012_165_000333	授戶部主事，督餉二十萬於陜西給軍。
HCH_012_165_000334	主者以羨告，悉還之。
HCH_012_165_000335	歷遷雲南參議。
HCH_012_165_000336	初，孟密宣撫司之設也，實割木邦宣慰司地。
HCH_012_165_000337	既而孟密思揲復於界外侵木邦地二十七所。
HCH_012_165_000338	屬諭之還。
HCH_012_165_000339	不聽。
HCH_012_165_000340	乃調孟養宣撫思祿兵脅之。
HCH_012_165_000341	思揲始還所侵地，然多殺孟養兵。
HCH_012_165_000342	思祿仇之，發兵越金沙江奪木邦故割孟密地十有三所。
HCH_012_165_000343	兩酋構怨不已。
HCH_012_165_000344	巡撫陳金承詔，遣緒與副使曹玉往諭之。
HCH_012_165_000345	旬余抵金齒。
HCH_012_165_000346	參將盧和先統軍距所據地二程而舍，遣官馳驛往諭，皆留不報。
HCH_012_165_000347	和懼，還軍至幹崖遇緒，語故，戒勿進。
HCH_012_165_000348	緒不可。
HCH_012_165_000349	玉以疾辭。
HCH_012_165_000350	緒遂單騎從數人行，旬日至南甸，峻險不可騎，乃斬棘徒步引繩以登。
HCH_012_165_000351	又旬日至一大澤。
HCH_012_165_000352	土官以象輿來，緒乘之往。
HCH_012_165_000353	行毒霧中，泥沙踸踔。
HCH_012_165_000354	又旬日至孟賴，去金沙江僅二舍。
HCH_012_165_000355	手自為檄，使持過江，諭以朝廷招徠意。
HCH_012_165_000356	蠻人相顧驚曰：「中國使竟至此乎？」
HCH_012_165_000357	發兵率象馬數萬夜渡江，持長槊勁弩，環之數重。
HCH_012_165_000358	從行者懼，請勿進。
HCH_012_165_000359	緒拔刀叱曰：「明日必渡江，敢阻者斬！」
HCH_012_165_000360	思祿既得檄，見譬曉禍福甚備，又聞至者才數人，乃遣酋長來聽令，且致饋。
HCH_012_165_000361	緒卻之，出敕諭宣示。
HCH_012_165_000362	思祿亦繼至。
HCH_012_165_000363	緒先敘其勞，次白其冤狀，然後責其叛。
HCH_012_165_000364	諸酋聞，鹹俯伏呼萬歲，請歸侵地。
HCH_012_165_000365	緒詰前所留使人，乃盡出而歸之。
HCH_012_165_000366	和及玉聞報馳至，則已歸地納款矣。
HCH_012_165_000367	時弘治十四年五月也。
HCH_012_165_000368	越三年，擢緒四川督儲參政。
HCH_012_165_000369	武宗即位，始以雲南功，加俸一級。
HCH_012_165_000370	明年致仕歸。
HCH_012_165_000371	姜昂，字恒頫，太倉人。
HCH_012_165_000372	成化八年進士。
HCH_012_165_000373	除棗強知縣。
HCH_012_165_000374	授御史。
HCH_012_165_000375	偕同官劾方士李孜省，杖午門外。
HCH_012_165_000376	以母老乞改南，尋出為河南知府。
HCH_012_165_000377	吏白事畢，退闔門讀書，鞭箠懸不用。
HCH_012_165_000378	藩府人有犯，立決遣之。
HCH_012_165_000379	改知寧波，擢福建參政。
HCH_012_165_000380	請終養歸，服闋而卒。
HCH_012_165_000381	昂在官，日市少肉供母，而自食菜茹。
HCH_012_165_000382	子弟學書，不聽用官紙筆，家居室不蔽風雨。
HCH_012_165_000383	子龍，字夢賓，正德三年進士。
HCH_012_165_000384	歷禮部郎中。
HCH_012_165_000385	武宗南巡，率同官諫。
HCH_012_165_000386	罰跪五日，杖幾死。
HCH_012_165_000387	出為建寧同知，尋遷雲南副使，備兵瀾滄、姚安。
HCH_012_165_000388	滇故盜藪，龍讓土酋曰：「爾世官，縱盜寧非賄乎？」
HCH_012_165_000389	酋懼，撫諭群盜，悉聽命。
HCH_012_165_000390	巨盜方定者，既降而貧，為妻妾所詬，卒不忍負龍，竟仰藥死。
HCH_012_165_000391	南安大盜千人，御史欲征兵，龍檄三日散盡。
HCH_012_165_000392	四川鹽井剌馬仁、雲南曬江和歌仲讎殺數十年，龍撫諭，遂解。
HCH_012_165_000393	大候州土官猛國恃險肆暴，龍擒之。
HCH_012_165_000394	在滇四年，番、漢大治。
HCH_012_165_000395	鄧川州立三正人祠，祀袁州郭紳、莆田林俊及龍。
HCH_012_165_000396	贊曰：陶成、陳敏諸人，以監司守令著征剿功，而成及毛吉、葉禎身死王事，勞烈顯著，亦可以愧戎帥之畏懦戚蹜者矣。
HCH_012_165_000397	林錦威能臨制，材足綏懷，邊疆皆得斯人，何憂不治？
HCH_012_165_000398	郭緒單騎入險，諭服兩酋，令當洪、永間亦何至尚淹常調哉。
HCH_012_165_000399	平世秉國者，多抑邊功，謂恐生事。
HCH_012_165_000400	然大帥倚內援，敘祿又多逾等，適足以長武夫玩寇之心，而無以獎勞臣致死之節。
HCH_012_165_000401	國家以賞罰馭世，曷可不公乎！
