HCH_013_018_000140	語未竟，隔牆聞靖呼曰：「外鬧甚，可看豬。」
HCH_013_018_000141	溥顧與弼曰：「一豬不忍，寧自忍乎！」
HCH_013_018_000142	須臾，艮舍哭聲動，已伏鴆死矣。
HCH_013_018_000143	初，洪武中，禮部廷試，艮最優。
HCH_013_018_000144	太祖以艮貌不揚，易靖第一，艮次之。
HCH_013_018_000145	至是艮死。
HCH_013_018_000146	靖改名廣，降於燕。
HCH_013_018_000147	浙江按察使王良聞燕師入京，慟哭，誓以必死。
HCH_013_018_000148	會命使召之，良執使者下獄。
HCH_013_018_000149	詰旦，縛出，期戮以徇。
HCH_013_018_000150	道中忽遇眾譟起而奪使者去。
HCH_013_018_000151	良還坐堂上，悉收諸司印，攜歸廨舍，嗟嘆久之。
HCH_013_018_000152	妻問故，良曰：「吾分應死，顧思所以處汝，未決耳！」
HCH_013_018_000153	妻笑曰：「吾何難，君為男子，乃為婦人謀乎？」
HCH_013_018_000154	遂命妾饋食，抱其子，歔欷于廁，置子池傍，自投水死。
HCH_013_018_000155	良起而殮之，即列薪于戶，閉其家人，毋得出，令妾抱幼子，托鄉人之客於杭者，遂舉火抱印，闔室焚。
HCH_013_018_000156	兵部郎中譚翼，金川陷，赴火死，妻鄒氏、子謹自縊。
HCH_013_018_000157	御史曾鳳韶請從建文帝出亡，帝麾使去，鳳韶泣曰：「臣頃即以死報陛下。」
HCH_013_018_000158	文皇後以原官召，不至，尋加侍郎，亦不至。
HCH_013_018_000159	乃刺血書憤詞于襟上，曰：「予生廬陵忠節之鄉，素負立朝骨鯁之腸。讀書而登進士第，仕宦而至繡衣郎。既一死之得宜，可以含笑于地下而不愧吾文天祥。」
HCH_013_018_000160	屬妻李氏、子公望曰：「吾死，勿易衣殮。」
HCH_013_018_000161	遂自殺。
HCH_013_018_000162	李氏亦自經死。
HCH_013_018_000163	衡府紀善周是修，為人卓犖有大志，嘗曰：「忠臣不為得失計，故言無不直。貞女不為生死累，故行無不果。」
HCH_013_018_000164	乃輯自古今忠節事，為《觀感錄》。
HCH_013_018_000165	當金川失守，宮中自焚，是修留書別友人，付以後事，具衣冠，為贊，繫衣帶上，入應天府學，拜先師畢，自經死。
HCH_013_018_000166	初，是修與楊士奇、解縉、胡廣、金幼孜、黃淮、胡儼約同死義，惟是修不負其言。
HCH_013_018_000167	後楊士奇為作傳，語其子轅曰：「當時吾亦同死，誰為爾父作傳！」
HCH_013_018_000168	聞者笑之。
HCH_013_018_000169	監察御史魏冕，力請建文帝誅徐增壽。
HCH_013_018_000170	及宮中火起，或謂冕宜急迎附，冕厲聲曰：「使吾改臣節，明君亦不用也，奈何徒自污！」
HCH_013_018_000171	遂自殺。
HCH_013_018_000172	陳瑛請追罪，詔誅其族。
HCH_013_018_000173	同邑鄒朴，建文初，仕周府，諫王邪謀，錮獄。
HCH_013_018_000174	上嘉其忠，召至京，授御史。
HCH_013_018_000175	歸省，聞冕死，亦不食死。
HCH_013_018_000176	時稱永豐雙烈。
HCH_013_018_000177	刑科給事中葉福，守金川門，兵入死之。
HCH_013_018_000178	大理寺丞鄒瑾，與甥魏冕同毆徐增壽于朝，請誅之。
HCH_013_018_000179	京師陷，自殺。
HCH_013_018_000180	詔誅其族，凡男婦四百四十八人。
HCH_013_018_000181	戶科給事中陳繼之，被執，責問不屈，磔于市。
HCH_013_018_000182	大理寺丞劉端，約刑部郎中王高同棄官去。
HCH_013_018_000183	跡露，被執。
HCH_013_018_000184	召問：「練安、方孝孺何如人？」
HCH_013_018_000185	端曰：「忠臣也。」
HCH_013_018_000186	文皇曰：「汝逃，忠乎？」
HCH_013_018_000187	端曰：「存身以圖報耳！」
HCH_013_018_000188	命與高俱劓其鼻。
HCH_013_018_000189	文皇笑曰：「作如此面目，還成人否？」
HCH_013_018_000190	端詈曰：「我猶有面目，即死可見皇祖！」
HCH_013_018_000191	文皇怒，立捶殺之，戍其家。
HCH_013_018_000192	駙馬都尉梅殷，擁重兵淮上。
HCH_013_018_000193	文皇既即位，迫公主。
HCH_013_018_000194	公主，高皇后長女，大長公主也。
HCH_013_018_000195	公主嚙指血作書招殷。
HCH_013_018_000196	中使至，殷得書慟哭，詢建文帝所在。
HCH_013_018_000197	中使曰：「去矣。」
HCH_013_018_000198	殷曰：「君亡與亡，君存與存，吾姑忍俟之。」
HCH_013_018_000199	乃還京，見文皇。
HCH_013_018_000200	文皇曰：「駙馬勞苦。」
HCH_013_018_000201	殷曰：「勞而無功，徒自愧耳！」
HCH_013_018_000202	文皇啣之。
HCH_013_018_000203	久之，殷不能平，時見詞色。
HCH_013_018_000204	文皇嘗夜遣小中官潛入殷第，察之，殷愈怒。
HCH_013_018_000205	永樂二年冬，都御史陳瑛言殷招納亡命，私匿番人，與女秀才劉氏朋邪詛咒，幾得罪。
HCH_013_018_000206	明年冬，早朝，都督譚深、指揮趙曦令人擠殷死笪橋下，誣殷自投水死。
HCH_013_018_000207	都督許成發其事，文皇罪深、曦。
HCH_013_018_000208	二人對曰：「此上命也，奈何殺臣！」
HCH_013_018_000209	文皇大怒，立命力士持金瑵，落二人齒，斬之。
HCH_013_018_000210	諡殷榮定。
HCH_013_018_000211	公主牽文皇衣，大哭，問：「駙馬安在？」
HCH_013_018_000212	文皇笑曰：「為公主踪跡賊，毋自苦。公主謹護二子。」
HCH_013_018_000213	乃官其子順昌為中府都督，景福為指揮旗手衛僉事。
HCH_013_018_000214	時駙馬都尉耿璿，炳文子也，尚孝康帝長公主，與弟都督瓛俱論死。
HCH_013_018_000215	谷府長史劉璟，誠意伯劉基仲子也。
