HCH_015_038_000181	遣軍主蔡道恭假節屯上明拒蕭璝。
HCH_015_038_000182	時梁王已平郢、江二鎮。
HCH_015_038_000183	穎冑輔帝出居上流，有安重之勢。
HCH_015_038_000184	素能飲酒，噉白肉鱠至三升，旣聞蕭跂等兵相持不決，憂慮感氣，十二月壬寅夜，卒。
HCH_015_038_000185	遺表曰：「臣疹患數日，不謂便至困篤，氣息綿微，待盡而已。臣雖庸薄，忝籍葭莩，過受先朝殊常之眷，循寵礪心，誓生以死。屬皇業中否，天地分崩，總率諸侯，翼奉明聖。賴社稷靈長，大明在運，故兵之所臨，無思不服。今四海垂平，干戈行戢，方希陪翠華，奉法駕，反東都，觀舊物。不幸遘疾，奄辭明世，懷此深恨，永結泉壤。竊惟王業至重，萬機甚大，登之實難，守之未易。陛下富於春秋，當遠尋祖宗創業艱難，殷鑒季末顛覆厥緒，思所以念始圖終，康此兆庶。征東大將軍臣衍，元勳上德，光贊天下，陛下垂拱仰成，則風流日化，臣雖萬沒，無所遺恨。」
HCH_015_038_000186	時年四十。
HCH_015_038_000187	和帝出臨哭。
HCH_015_038_000188	詔贈侍中、丞相，本官如故。
HCH_015_038_000189	前後部羽葆鼓吹，班劔三十人。
HCH_015_038_000190	轀輬車，黃屋左纛。
HCH_015_038_000191	梁王圍建康城，住在石頭，和帝密詔報穎冑凶問，祕不發喪。
HCH_015_038_000192	及城平，識者聞之，知天命之有在矣。
HCH_015_038_000193	梁天監元年，詔曰：「念功惟德，歷代所同，追遠懷人，彌與事篤。齊故侍中、丞相、尚書令穎冑，風格峻遠，器宇淵邵，清猷盛業，問望斯歸。締構義始，肇基王迹，挈闊屯夷，載形心事。朕膺天改命，光宅區宇，望岱瞻河，永言增慟。可封巴東郡公，邑三千戶，本官如故。」
HCH_015_038_000194	喪還，今上車駕臨哭渚次。
HCH_015_038_000195	詔曰：「齊故侍中、丞相、尚書令穎冑葬送有期，前代所加殊禮，依晉王導、齊豫章王故事，可悉給。諡曰獻武。」
HCH_015_038_000196	范僧簡贈交州刺史。
HCH_015_038_000197	史臣曰：魏氏基於用武，夏侯諸曹，竝以戚族而爲將相。
HCH_015_038_000198	夫股肱爲義，旣有常然，肺腑之重，兼存宗寄。
HCH_015_038_000199	豐沛之閒，貴人滿市，功臣所出，多在南陽。
HCH_015_038_000200	夫貞幹所以成務，非虛言也。
HCH_015_038_000201	贊曰：新吳事武，簡在帝心。
HCH_015_038_000202	南豐治政，迹顯亡衾。
HCH_015_038_000203	鎮軍茂績，機識弘深，荊南立主，嚮義漢陰。
HCH_015_038_000204	本南北朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
