HCH_012_213_000263	且上疏極論之曰：「《明倫大典》頒示已久。今議事之臣假托詔旨，凡議禮得罪者悉從褒顯，將使獻皇在廟之靈何以為享？先帝在天之靈何以為心？而陛下歲時入廟，亦何以對越二聖？臣以為未可。」
HCH_012_213_000264	帝深然之。
HCH_012_213_000265	法司坐方士王金等子弒父律。
HCH_012_213_000266	拱覆上疏曰：「人君隕於非命，不得正終，其名至不美。先帝臨御四十五載，得歲六十有餘。末年抱病，經歲上賓，壽考令終，曾無暴遽。今謂先帝為王金所害，誣以不得正終，天下後世視先帝為何如主？乞下法司改議。」
HCH_012_213_000267	帝復然拱言，命減戍。
HCH_012_213_000268	拱之再出，專與階修郤，所論皆欲以中階重其罪。
HCH_012_213_000269	賴帝仁柔，弗之竟也。
HCH_012_213_000270	階子弟頗橫鄉里。
HCH_012_213_000271	拱以前知府蔡國熙為監司，簿錄其諸子，皆編戍。
HCH_012_213_000272	所以扼階者，無不至。
HCH_012_213_000273	逮拱去位，乃得解。
HCH_012_213_000274	拱練習政體，負經濟才，所建白皆可行。
HCH_012_213_000275	其在吏部，欲遍識人才，授諸司以籍，使署賢否，志里姓氏，月要而歲會之。
HCH_012_213_000276	倉卒舉用，皆得其人。
HCH_012_213_000277	又以時方憂邊事，請增置兵部侍郎，以儲總督之選。
HCH_012_213_000278	由侍郎而總督，由總督而本兵，中外更番，邊材自裕。
HCH_012_213_000279	又以兵者專門之學，非素習不可應卒。
HCH_012_213_000280	儲養本兵，當自兵部司屬始。
HCH_012_213_000281	宜慎選司屬，多得智謀才力曉暢軍旅者，久而任之，勿遷他曹。
HCH_012_213_000282	他日邊方兵備督撫之選，皆於是取之。
HCH_012_213_000283	更各取邊地之人以備司屬，如銓司分省故事，則題覆情形可無扞格，並重其賞罰以鼓勵之。
HCH_012_213_000284	凡邊地有司，其責頗重，不宜付雜流及遷謫者。
HCH_012_213_000285	皆報可，著為令。
HCH_012_213_000286	拱又奏請科貢與進士並用，勿循資格。
HCH_012_213_000287	其在部考察，多所參伍，不盡憑文書為黜陟，亦不拘人數多寡，黜者必告以故，使眾咸服。
HCH_012_213_000288	古田瑤賊亂，用殷正茂總督兩廣。
HCH_012_213_000289	曰：「是雖貪，可以集事。」
HCH_012_213_000290	貴州撫臣奏土司安國亨將叛，命阮文中代為巡撫。
HCH_012_213_000291	臨行語之曰：「國亨必不叛，若往，無激變也。」
HCH_012_213_000292	即而如其言。
HCH_012_213_000293	以廣東有司多貪黷，特請旌廉能知府侯必登，以歷其餘。
HCH_012_213_000294	又言馬政、鹽政之官，名為卿、為使，而實以閒局視之，失人廢事，漸不可訓。
HCH_012_213_000295	惟教官驛遞諸司，職卑錄薄，遠道為難，宜銓注近地，以恤其私。
HCH_012_213_000296	詔皆從之。
HCH_012_213_000297	拱所經畫，皆此類也。
HCH_012_213_000298	俺答孫把漢那吉來降，總督王崇古受之，請於朝，乞授以官。
HCH_012_213_000299	朝議多以為不可，拱與居正力主之。
HCH_012_213_000300	遂排眾議請於上，而封貢以成。
HCH_012_213_000301	事具崇古傳。
