HCH_012_232_000242	三才憤甚，自請籍其家。
HCH_012_232_000243	工部侍郎林如楚言宜遣使覆勘。
HCH_012_232_000244	光復再疏，並言其侵奪官廠為園囿。
HCH_012_232_000245	御史劉廷元遂率同列繼之，而潘汝禎又特疏論劾。
HCH_012_232_000246	既而巡按御史顏思忠亦上疏如光復指。
HCH_012_232_000247	三才益憤，請諸臣會勘，又請帝親鞫。
HCH_012_232_000248	乃詔徵儀偕給事中吳亮嗣往。
HCH_012_232_000249	其明年，光復坐事下獄。
HCH_012_232_000250	三才陽請釋之，而復力為東林辨白，曰：「自沈一貫假撰妖書，擅僇楚宗，舉朝正人攻之以去。繼湯賓尹、韓敬科場作奸，孽由自取，於人何尤。而今之黨人動與正人為仇，士昌、光復尤為戎首。挺身主盟，力為一貫、敬報怨。騰說百端，攻擊千狀。以大臣之賢者言之，則葉向高去矣，王象乾、孫瑋、王圖、許弘綱去矣，曹於汴、胡忻、朱吾弼、葉茂才、南企仲、朱國禎等去矣，近又攻陳薦、汪應蛟去矣。以小臣之賢者言之，梅之煥、孫振基、段然、吳亮、馬孟禎、湯兆京、周起元、史學遷、錢春等去矣，李樸、鮑應鰲、丁元薦、龐時雍、吳正誌、劉宗周等去矣。合於己則留，不合則逐。陛下第知諸臣之去，豈知諸黨人驅之乎？今奸黨仇正之言，一曰東林，一曰淮撫。所謂東林者，顧憲成讀書講學之所也。從之遊者如高攀龍、姜士昌、錢一本、劉元珍、安希範、嶽元聲、薛敷教，並束身厲名行，何負國家哉？偶曰東林，便成陷井。如鄒元標、趙南星等被以此名，即力阻其進。所朝上而夕下者，惟史繼偕諸人耳。人才邪正，實國祚攸關，惟陛下察焉。」
HCH_012_232_000251	疏入，眾益恨之。
HCH_012_232_000252	亮嗣等既往勘，久之無所得。
HCH_012_232_000253	第如光復言還報，遂落職為民。
HCH_012_232_000254	天啟元年，遼陽失。
HCH_012_232_000255	御史房可壯連疏請用三才。
HCH_012_232_000256	有詔廷臣集議。
HCH_012_232_000257	通政參議吳殿邦力言不可用，至目之為盜臣。
HCH_012_232_000258	御史劉廷宣復薦三才，言：「國家既惜其才，則用之耳，又何議，然廣寧已有王化貞，不若用之山海。」
HCH_012_232_000259	帝是其言，即欲用三才，而廷議相持未決。
HCH_012_232_000260	詹事公鼐力言宜用，刑部侍郎鄒元標、僉都御史王德完並主之。
HCH_012_232_000261	已，德完迫眾議，忽變前說。
HCH_012_232_000262	及署議，元標亦不敢主。
HCH_012_232_000263	議竟不決，事遂寢。
HCH_012_232_000264	三年，起南京戶部尚書，未上卒。
HCH_012_232_000265	後魏忠賢亂政，其黨御史石三畏追劾之。
