HCH_012_239_000274	以保有威望，用之。
HCH_012_239_000275	朶顏長昂當張臣鎮薊時納款。
HCH_012_239_000276	居五六年，復連寇石門路、木馬峪、花埸谷，遂罷其市賞。
HCH_012_239_000277	後偕銀燈寇山海關。
HCH_012_239_000278	已，又馳喜峰口要賞。
HCH_012_239_000279	邦奇佯許增市，誘殺其通事二十五人。
HCH_012_239_000280	長昂益怒，犯大青山。
HCH_012_239_000281	頃之，遣其黨小郎兒等潛伏喜峰口，射殺偵卒。
HCH_012_239_000282	會保已至，遂禽之。
HCH_012_239_000283	長昂每資小郎兒籌策，懼而謝罪，獻還被掠人畜，保乃釋還小郎兒。
HCH_012_239_000284	長昂補五貢，邊吏始補二賞，互市如初。
HCH_012_239_000285	御史陳遇文援穆宗詔以請，進保署都督同知，副將張守愚以下皆進秩。
HCH_012_239_000286	薊三協南營兵，戚繼光所募也，調攻朝鮮，撤還，道石門，鼓譟，挾增月餉。
HCH_012_239_000287	保誘令赴演武場，擊之，殺數百人，以反聞。
HCH_012_239_000288	給事中戴士衡、御史汪以時言南兵未嘗反，保縱意擊殺，請遣官按問。
HCH_012_239_000289	巡關御史馬文卿庇保，言南兵大逆有十，尚書石星附會之，遂以定變功進保秩為真，廕子。
HCH_012_239_000290	督撫孫鑛、李頤等亦進官受賜，時論尤之。
HCH_012_239_000291	二十三年冬，順義王撦力克弟趕兔率三軍犯白馬關及東西臺，為守備徐光啟，副將李芳春、戴延春所却。
HCH_012_239_000292	明年秋，復偕部長倒布犯黑谷頂，敗而去。
HCH_012_239_000293	保度其再至，分營开連口及橫河兒。
HCH_012_239_000294	[寇果馳橫河。
HCH_012_239_000295	官軍夜半疾抵石塘嶺，襲其營。
HCH_012_239_000296	寇大驚潰，乘勢追出塞。
HCH_012_239_000297	其冬，復犯羅文峪，敗去。
HCH_012_239_000298	詔代一元鎮遼東。
HCH_012_239_000299	朝鮮再用師，敕保防海，卒於海州。
HCH_012_239_000300	贈左都督。
HCH_012_239_000301	子學書，宣府總兵官。
HCH_012_239_000302	學詩、學禮並副總兵。
HCH_012_239_000303	學書既里居，守榆林城，拒李自成，不屈死。
HCH_012_239_000304	杜桐，字來儀，崑山人，徙延安衞。
HCH_012_239_000305	萬曆初，由世廕累官清水營守備，以謀勇著。
HCH_012_239_000306	遷延綏入衞遊擊將軍，改古北口參將。
HCH_012_239_000307	用總督梁夢龍薦，擢延綏副總兵。
HCH_012_239_000308	十四年就拜署都督僉事，充總兵官。
HCH_012_239_000309	時卜失兔以都督同知為套中主，威令不行，其下各雄長志常叵測。
HCH_012_239_000310	朔漠素無痘症，自嘉靖庚戌深入石州，染此症，犯者輒死。
HCH_012_239_000311	打兒漢者，卜失兔祖吉能部落也，數將命奉貢，累官指揮同知。
HCH_012_239_000312	一日互市還，與其儕禿退台吉等俱染痘死。
HCH_012_239_000313	禿退子阿計疑邊吏酖其父，思亂。
HCH_012_239_000314	及卜失兔西助火落赤共擾河西，諸部遂蠢動。
HCH_012_239_000315	十九年冬，打兒漢子土昧與他部明安互市訖，復臨邊要賞，聲犯內地。
HCH_012_239_000316	桐與巡撫賈仁元計先出兵襲之。
HCH_012_239_000317	乃令參將張剛自神木，遊擊李紹祖自孤山，桐率輕騎自榆林，三道並出。
HCH_012_239_000318	遇寇力戰，大破之，斬首四百七十餘級，馘明安而還。
HCH_012_239_000319	延綏自吉能納款，塞上息肩二十年，自此兵端復開。
HCH_012_239_000320	明安子擺言太日思報復，寇鈔無已時矣。
HCH_012_239_000321	桐先被劾罷，以是役功，超授右都督，僉書後府。
