HCH_012_320_000264	惟敬以聞。
HCH_012_320_000265	廷議倭詐未可信，乃趣應昌等進兵。
HCH_012_320_000266	而星頗惑於惟敬，乃題署遊擊，赴軍前，且請金行間。
HCH_012_320_000267	十二月，以李如松為東征提督。
HCH_012_320_000268	明年正月，如松督諸將進戰，大捷於平壤。
HCH_012_320_000269	行長渡大同江，遁還龍山。
HCH_012_320_000270	所失黃海、平安、京畿、江原四道並復，清正亦遁還王京。
HCH_012_320_000271	如松既勝，輕騎趨碧蹄館，敗，退駐開城。
HCH_012_320_000272	事具如松傳。
HCH_012_320_000273	初，如松誓師，欲斬惟敬，以參軍李應試言而止。
HCH_012_320_000274	至是敗，氣縮，而應昌急圖成功，倭亦乏食有歸志，因而封貢之議起。
HCH_012_320_000275	應昌得倭報惟敬書，乃令遊擊周弘謨同惟敬往諭倭，獻王京，返王子，如約縱歸。
HCH_012_320_000276	倭果於四月棄王城遁。
HCH_012_320_000277	時漢江以南千有餘里朝鮮故土復定，兵部言宜令王還國居守，我各鎮兵久疲海外，以次撤歸為便。
HCH_012_320_000278	詔可。
HCH_012_320_000279	應昌疏稱：「釜山雖瀕海南，猶朝鮮境，有如倭覘我罷兵，突入再犯，朝鮮不支，前功盡棄。今撥兵協守為第一策，即議撤，宜少需，俟倭盡歸，量留防戍。」
HCH_012_320_000280	部議留江浙兵五千，分屯要害，仍諭昖蒐練軍實，毋恃外援。
HCH_012_320_000281	已而沈惟敬歸自釜山，同倭使來請款，而倭隨犯咸安、晉州，逼全羅，聲復漢江以南，以王京、漢江為界。
HCH_012_320_000282	如松計全羅饒沃，南原府尤其咽喉，乃命諸將分守要害。
HCH_012_320_000283	已，倭果分犯，我師並有斬獲。
HCH_012_320_000284	兵科給事中張輔之、遼東都御史趙燿皆言款貢不可輕受。
HCH_012_320_000285	七月，倭從釜山移西生浦，送回王子、陪臣。
HCH_012_320_000286	時師久暴露，聞撤，勢難久羈。
HCH_012_320_000287	應昌請留劉綎川兵，吳惟忠、駱尚志等南兵，合薊、遼兵共萬六千，聽綎分布慶尚之大丘，月餉五萬兩，資之戶兵二部。
HCH_012_320_000288	先是，發帑給軍費，已累百萬。
