HCH_012_028_000191	三十一年五月戊寅，鳳陽皇陵雨雹。
HCH_012_028_000192	七月丁丑，大雨雹。
HCH_012_028_000193	三十四年七月丙戌，又大雨雹。
HCH_012_028_000194	平地水深三尺。
HCH_012_028_000195	三十六年五月戊子，雨雹。
HCH_012_028_000196	四十一年七月丁卯，宣府大雨雹，殺禾稼。
HCH_012_028_000197	四十六年三月庚辰，長泰、同安大雨雹，如鬥如拳，擊傷城郭廬舍，壓死者二百二十餘人。
HCH_012_028_000198	十月壬午，雲南雨雹。
HCH_012_028_000199	天啓二年四月壬辰，大雨雹。
HCH_012_028_000200	崇禎三年九月辛丑，大雨雹。
HCH_012_028_000201	四年五月，襄垣雨雹，大如伏牛盈丈，小如拳，斃人畜甚衆。
HCH_012_028_000202	六月丙申，大雨雹。
HCH_012_028_000203	七年四月壬戌，常州、鎮江雨雹，傷麥。
HCH_012_028_000204	八年七月己酉，臨縣大冰雹三日，積二尺餘，大如鵝卵，傷稼。
HCH_012_028_000205	十年四月乙亥，大雨雹。
HCH_012_028_000206	閏四月癸丑，武鄉、沁源大雨雹，最大者如象，次如牛。
HCH_012_028_000207	十一年六月甲寅，宣府乾石河山場雨雹，擊殺馬四十八匹。
HCH_012_028_000208	九月，順天雨雹。
HCH_012_028_000209	十二年八月，白水、同官、雒南、隴西諸邑，千里雨雹，半日乃止，損傷田禾。
HCH_012_028_000210	十六年六月丁丑，乾州雨雹，大如牛，小如鬥，毀傷牆屋，擊斃人畜。
HCH_012_028_000211	洪武六年十一月戊申，雷電交作。
HCH_012_028_000212	十三年五月甲午，雷震謹身殿。
HCH_012_028_000213	六月丙寅，雷震奉天門。
HCH_012_028_000214	十月甲戌，雷電。
HCH_012_028_000215	十二月己巳，廣州大風雨雷電。
HCH_012_028_000216	十八年二月甲午，雷電雨雪。
HCH_012_028_000217	二十一年五月辛丑，雷震玄武門獸吻。
HCH_012_028_000218	六月癸卯，暴風，雷震洪武門獸吻。
HCH_012_028_000219	宣德九年六月甲子，雷震大祀壇外西門獸吻。
HCH_012_028_000220	正統八年五月戊寅，雷震奉天殿鴟吻。
HCH_012_028_000221	七月辛未，雷震南京西角門樓獸吻。
HCH_012_028_000222	是日，大同巡警軍至沙溝，風雷驟至，裂膚斷指者二百餘人。
HCH_012_028_000223	九年正月辛亥朔，雷電大雨。
HCH_012_028_000224	閏七月壬寅，雷震奉先殿鴟吻。
HCH_012_028_000225	十一年十二月壬寅，大雨雷電，翼日乃止。
HCH_012_028_000226	十四年六月丙辰，南京風雨雷電，謹身殿災。
HCH_012_028_000227	景泰三年六月庚寅，雷擊宮庭中門，傷人。
HCH_012_028_000228	天順二年六月己卯，雷震大祀殿鴟吻。
HCH_012_028_000229	四年六月癸丑，雷毀薊州倉廒四。
HCH_012_028_000230	成化三年六月戊申，雷震南京午門正樓。
HCH_012_028_000231	五年二月乙卯，又震山川壇具服殿之獸吻。
HCH_012_028_000232	八年四月辛未，始雷。
HCH_012_028_000233	十二年十一月癸亥，南京大雷雨。
HCH_012_028_000234	十三年二月甲戌，安慶大雪，既而雷電交作。
HCH_012_028_000235	十一月辛未冬至，杭州大雷雨。
HCH_012_028_000236	戊寅，荊門州大雷電雨雪。
HCH_012_028_000237	十七年七月己亥，雷震郊壇承天門脊獸。
HCH_012_028_000238	十一月丁酉，江南大雷雨雪。
HCH_012_028_000239	弘治元年五月丙子，辰刻，南京震雷壞洪武門獸吻。
HCH_012_028_000240	巳刻，壞孝陵御道樹。
HCH_012_028_000241	六月己酉，又壞鷹揚衛倉樓，聚寶門旗杆。
HCH_012_028_000242	二年四月庚子，又毀神樂觀祖師殿。
HCH_012_028_000243	三年七月壬子，又壞午門西城牆。
HCH_012_028_000244	六年閏五月丁未，薊州大風雷，拔木偃禾，牛馬有震死者。
HCH_012_028_000245	十二月壬戌，南京雷雨，拔孝陵樹。
HCH_012_028_000246	七年六月癸酉，如之。
HCH_012_028_000247	七月丙辰，福州雷毀城樓。
HCH_012_028_000248	八年十二月丙子，長沙大雷電雨雪。
HCH_012_028_000249	丁丑，南昌、彭水俱大雷電，雨雪雹，大木折。
HCH_012_028_000250	十年四月，雷震宣府西橫嶺之南山，傾三十餘丈。
HCH_012_028_000251	七月乙卯，雷擊吉王府端禮門獸吻。
HCH_012_028_000252	十二年四月丙午，雷震楚府承運殿。
HCH_012_028_000253	十四年閏七月庚辰，福州大風雷，擊壞教場旗杆、城樓、大樹。
HCH_012_028_000254	正德元年五月壬辰，雷震青州衣甲庫獸吻，有火起庫中。
HCH_012_028_000255	六月辛酉，雷擊西中門柱脊，暴風折郊壇松柏，大祀殿及齋宮獸瓦多墮落者。
HCH_012_028_000256	丙子，南京暴風雨，雷震孝陵白土岡樹。
HCH_012_028_000257	十二月己巳朔，南通州雷再震。
HCH_012_028_000258	四年十二月壬寅，杭州大雨雷電，越二日復作。
HCH_012_028_000259	五年六月丙申，雷震萬全衛柴溝堡，斃墩軍四人。
HCH_012_028_000260	七年五月戊辰，雷震餘干萬春寨旗杆，狀如刀劈。
HCH_012_028_000261	閏五月丁亥，雷震成都衛門及教場旗杆。
HCH_012_028_000262	十年閏四月甲申，薊州賺狗崖、東墩及新開嶺關雷火，震傷三十餘人。
HCH_012_028_000263	十二年八月癸亥，南京祭歷代帝王，雷雨大作，震死齋房吏。
HCH_012_028_000264	十二月庚辰，瑞州大雷電。
HCH_012_028_000265	十六年八月，雷擊奉天門。
HCH_012_028_000266	嘉靖二年五月丁丑，雷擊觀象臺。
HCH_012_028_000267	四年七月己丑，雷擊南京長安左門獸吻。
HCH_012_028_000268	五年四月戊寅，雷擊阜城門城樓南角獸吻及北九鋪旗杆。
HCH_012_028_000269	十年六月丁巳，雷擊德勝門，破民屋柱，斃者四人。
HCH_012_028_000270	癸亥，雷擊午門角樓及西華門城樓柱。
HCH_012_028_000271	十五年六月甲申，雷擊南京西上門獸吻，震死男婦十餘人。
HCH_012_028_000272	十六年五月戊戌，雷震謹身殿鴟吻。
HCH_012_028_000273	二十八年六月丁酉朔，雷震奉先殿左吻及東室門槅。
HCH_012_028_000274	三十三年四月乙亥，始雷。
HCH_012_028_000275	三十八年六月丙寅，雷擊奉先殿門外南西二牆。
HCH_012_028_000276	隆慶元年八月，大暑雷震。
HCH_012_028_000277	次日，大寒，如嚴冬。
HCH_012_028_000278	是夕，雷震達旦。
HCH_012_028_000279	四年六月辛酉，雷擊圜丘廣利門鴟吻。
HCH_012_028_000280	萬曆三年六月己卯，雷擊建極殿鴟吻。
HCH_012_028_000281	壬辰，雷擊端門鴟尾。
HCH_012_028_000282	六年七月壬子，雷擊南京承天門左檐。
HCH_012_028_000283	十三年七月戊子，雷震郊壇廣利門，震傷榜題「利。」
HCH_012_028_000284	字及齋宮北門獸吻。
HCH_012_028_000285	十六年八月壬午，雷震南京舊西安門鐘鼓樓獸頭。
HCH_012_028_000286	十九年五月甲戌，太平路、喜峯路並雷擊，墩臺折，傷官軍。
HCH_012_028_000287	二十一年四月戊戌，雷震孝陵大木。
HCH_012_028_000288	二十二年六月己酉，雷雨，西華門災。
HCH_012_028_000289	七月壬辰，雷擊祈谷壇東天門左吻。
HCH_012_028_000290	二十四年二月己酉夜，酃縣大雷雨，火光遍十餘里。
HCH_012_028_000291	二十五年七月庚寅朔，雷毀黃花鎮臺垣及火器。
HCH_012_028_000292	三十二年五月癸酉，雷毀長陵樓，又毀薊鎮鬆棚路墩臺。
HCH_012_028_000293	三十三年五月庚子，大雷電，擊毀南郊望燈高杆。
HCH_012_028_000294	三十七年八月甲寅，雷劈西城上旗杆。
HCH_012_028_000295	泰昌元年十月己未，雷毀淮安城樓。
HCH_012_028_000296	崇禎六年十二月丁亥，大風雪，雷電。
HCH_012_028_000297	九年正月甲戌，雷毀孝陵樹。
HCH_012_028_000298	十年四月乙亥，薊州雷火焚東山二十餘里。
HCH_012_028_000299	十二年七月，雷擊破密雲城鋪樓，所貯砲木皆碎。
HCH_012_028_000300	十月乙未立冬，雷電大作。
HCH_012_028_000301	十四年四月癸丑，雷火起薊州西北，焚及趙家谷，延二十餘里。
HCH_012_028_000302	六月丙午，雷震宣府西門城樓。
HCH_012_028_000303	十五年四月癸卯，雷震南京孝陵樹，火從樹出。
HCH_012_028_000304	十六年五月癸巳朔，雷震通夕不止。
HCH_012_028_000305	次日，見太廟神主橫倒，諸銅器爲火所鑠，熔而成灰。
