HCH_012_018_000303	己酉，重作萬壽宮成。
HCH_012_018_000304	夏五月壬寅，嚴嵩罷。
HCH_012_018_000305	壬子，土蠻攻湯站堡，副總兵黑春力戰死。
HCH_012_018_000306	秋九月壬午，三殿成，改奉天曰皇極，華蓋曰中極，謹身曰建極。
HCH_012_018_000307	冬十月，免南畿、江西被災稅糧。
HCH_012_018_000308	十一月乙酉，分遣御史訪求方士、法書。
HCH_012_018_000309	丁亥，逮胡宗憲，尋釋之。
HCH_012_018_000310	辛丑，吉能犯寧夏，副總兵王勳戰死。
HCH_012_018_000311	己酉，倭陷興化。
HCH_012_018_000312	是月，延綏總兵官趙岢分部出塞襲寇，敗之。
HCH_012_018_000313	免陝西、湖廣被災及福建被寇者稅糧。
HCH_012_018_000314	是年，琉球入貢。
HCH_012_018_000315	四十二年春正月戊申，俺答犯宣府，南掠隆慶。
HCH_012_018_000316	夏四月庚申，倭犯福清，總兵官劉顯、俞大猷合兵殲之。
HCH_012_018_000317	丁卯，副總兵戚繼光破倭於平海衞。
HCH_012_018_000318	秋八月乙亥，總兵官楊照襲寇於廣寧塞外，力戰死。
HCH_012_018_000319	冬十月丁卯，辛愛、把都兒破牆子嶺入寇，京師戒嚴，詔諸鎮兵入援。
HCH_012_018_000320	戊辰，掠順義、三河，總兵官孫臏敗死。
HCH_012_018_000321	乙亥，大同總兵官姜應熊禦寇密雲，敗之。
HCH_012_018_000322	十一月丁丑，京師解嚴。
HCH_012_018_000323	是年，琉球入貢。
HCH_012_018_000324	四十三年春正月壬辰，土蠻黑石炭寇薊鎮，總兵官胡鎮、參將白文智禦卻之。
HCH_012_018_000325	二月己酉，伊王典楧有罪，廢為庶人。
HCH_012_018_000326	戊午，倭犯仙遊，總兵官戚繼光大敗之，福建倭平。
HCH_012_018_000327	閏月丙申，盜據漳平，知縣魏文瑞死之。
HCH_012_018_000328	三月己未，官軍擊潮州倭，破之。
HCH_012_018_000329	夏四月乙亥，免畿內被災稅糧。
HCH_012_018_000330	五月壬寅朔，日有食之。
HCH_012_018_000331	乙卯，獲桃於御幄，羣臣表賀。
