HCH_012_321_000200	別將朱廣追偽大將軍阮帥於暹蠻，大搜暹人關諸山，獲帥及季擴等家屬。
HCH_012_321_000201	帥逃南靈州，依土官阮茶彙。
HCH_012_321_000202	指揮薛聚追獲帥，斬茶彙。
HCH_012_321_000203	初，鄧鎔之就執也，季擴逃乂安竹排山。
HCH_012_321_000204	輔遣都指揮師祐襲之，走老撾。
HCH_012_321_000205	祐踵其後，老撾懼官軍躪其地，請自縛以獻。
HCH_012_321_000206	輔檄索之，令祐深入，克三關，抵金陵箇，賊黨盡奔，遂獲季擴及其弟偽相國驩國王季揝，他賊盡平。
HCH_012_321_000207	明年二月，輔、晟等班師入京。
HCH_012_321_000208	四月復命輔佩征夷將軍印，出鎮。
HCH_012_321_000209	十四年召還。
HCH_012_321_000210	明年命豐城侯李彬代鎮。
HCH_012_321_000211	交人故好亂。
HCH_012_321_000212	中官馬騏以採辦至，大索境內珍寶，人情騷動，桀黠者鼓煽之，大軍甫還，即並起為亂。
HCH_012_321_000213	陸那阮貞，順州黎核、潘強與土官同知陳可論、判官阮昭、千戶陳忷、南靈州判官阮擬、左平知縣范伯高、縣丞武萬、百戶陳已律等一時並反。
HCH_012_321_000214	彬皆遣將討滅之，而反者猶不止。
HCH_012_321_000215	俄樂巡檢黎利、四忙故知縣車綿之子三、乂安知府潘僚、南靈州千戶陳順慶、乂安衞百戶陳直誠，亦乘機作亂。
HCH_012_321_000216	其他奸宄，范軟起俄樂，武貢、黃汝典起偈江，儂文歷起丘溫，陳木果起武定，阮特起快州，吳巨來起善誓，鄭公證、黎姪起同利，陶強起善才，丁宗老起大灣，范玉起安老，皆自署官爵，殺將吏，焚廬舍。
HCH_012_321_000217	有楊恭、阮多者，皆自稱王，稱其黨韋五、譚興邦、阮嘉為太師、平章，與羣寇相倚，而潘僚、范玉尤猖獗。
HCH_012_321_000218	僚者，故乂安知府季祐子也，嗣父職，不堪馬騏虐，遂反。
HCH_012_321_000219	土官指揮路文律、千戶陳苔等從之。
HCH_012_321_000220	玉為塗山寺僧，自言天降印劍，遂僭稱羅平王，紀元永寧，與范善、吳中、黎行、陶承等為亂，署為相國、司空、大將軍，攻掠城邑，彬東西征剿，日不暇給。
HCH_012_321_000221	中朝以賊久未平，十八年命榮昌伯陳智為左參將，助之。
HCH_012_321_000222	又降敕責彬曰：「叛寇潘僚、黎利、車三、儂文歷等迄今未獲，兵何時得息，民何時得安。宜廣為方略，速奏蕩平。」
HCH_012_321_000223	彬皇恐，督諸將追剿。
HCH_012_321_000224	明年秋，賊悉破滅，惟黎利不能得。
HCH_012_321_000225	利初仕陳季擴為金吾將軍，後歸正，用為清化府俄樂縣巡檢，邑邑不得志。
HCH_012_321_000226	及大軍還，遂反，僭稱平定王，以弟石為相國，與其黨段莽、范柳、范晏等放兵肆掠。
HCH_012_321_000227	官軍討之，生擒晏等，利遁去。
HCH_012_321_000228	久之，出據可藍柵行劫。
HCH_012_321_000229	諸將方政、師祐剿獲其偽將軍阮箇立等，利逃匿老撾。
HCH_012_321_000230	及政等還，利潛出，殺玉局巡檢。
HCH_012_321_000231	已，復出掠磊江，每追擊輒遁去。
HCH_012_321_000232	及羣盜盡滅，利益深匿。
HCH_012_321_000233	杉奏言：「利竄老撾，老撾請官軍毋入，當盡發所部兵捕利。今久不遣，情叵測。」
HCH_012_321_000234	帝疑老撾匿賊，令彬送其使臣至京詰問，老撾乃逐利。
HCH_012_321_000235	二十年春，彬卒，詔智代彬。
HCH_012_321_000236	二十一年，智追利於寧化州車來縣，敗之，利復遠竄。
HCH_012_321_000237	明年秋，智奏利初逃老撾，後被逐歸瑰縣。
