HCH_010_019_000184	乙未，以北院宣徽使旅墳為左夷離畢，前南府宰相耶律喜孫東北路詳穩。
HCH_010_019_000185	丙申，籍諸路軍。
HCH_010_019_000186	丁酉，如秋山。
HCH_010_019_000187	辛丑，禁扈從踐民田。
HCH_010_019_000188	丁未，以女直部長遮母率眾來附，加太師。
HCH_010_019_000189	八月癸丑，高麗王欽薨，遣使來告。
HCH_010_019_000190	九月甲辰，禁以罝網捕狐兔。
HCH_010_019_000191	冬十月己酉，駐蹕中會川。
HCH_010_019_000192	十一月丁亥，以南院樞密使蕭孝友為北府宰相，契丹行宮都部署耶律仁先南院大王，北府宰相蕭革同知北院樞密使事，知夷離畢事耶律信先漢人行宮都部署，左夷離畢旅墳惕隱，漢人行宮都部署耶律敵烈左夷離畢。
HCH_010_019_000193	己亥，渤海部以契丹戶例通括軍馬。
HCH_010_019_000194	乙巳，振南京貧民。
HCH_010_019_000195	十二月壬申，曲赦徒以下罪。
HCH_010_019_000196	是日為聖宗在時生辰。
HCH_010_019_000197	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
