HCH_015_029_000194	鬱林在西州，奉叔密得自進。
HCH_015_029_000195	及卽位，與直閤將軍曹道剛爲心膂。
HCH_015_029_000196	道剛驍騎將軍，加冠軍將軍；奉叔游擊將軍，加輔國將軍：竝監殿內直衞。
HCH_015_029_000197	少日，仍遷道剛爲黃門郎，高宗固諫不納。
HCH_015_029_000198	奉叔善騎馬，帝從其學騎射，尤見親寵，得入後宮。
HCH_015_029_000199	尋加領淮陵太守、兖州中正。
HCH_015_029_000200	道剛加南濮陽太守。
HCH_015_029_000201	隆昌元年，除黃門郎，未拜，仍出爲持節、都督青冀二州軍事、冠軍將軍、青州刺史。
HCH_015_029_000202	時帝謀誅宰輔，故出奉叔爲外援，除道剛中軍司馬、青冀二州中正，本官如故。
HCH_015_029_000203	奉叔就帝求千戶侯，許之。
HCH_015_029_000204	高宗輔政，以爲不可，封曲江縣男，三百戶，奉叔大怒，於衆中攘刀厲目，高宗說喻之，乃受。
HCH_015_029_000205	奉叔辭畢將之鎮，部伍已出。
HCH_015_029_000206	高宗慮其一出不可復制，與蕭諶謀，稱敕召奉叔於省內殺之，勇士數人拳擊久之乃死。
HCH_015_029_000207	啓帝云：「奉叔慢朝廷。」
HCH_015_029_000208	帝不獲已，可其奏。
HCH_015_029_000209	高宗廢帝之日，道剛直閤省，蕭諶先入戶，若欲論事，兵人隨後奄進，以刀刺之，洞胷死，因進宮內廢帝。
HCH_015_029_000210	奉叔弟世雄，永元中，爲西江督護。
HCH_015_029_000211	陳顯達事後，世雄殺廣州刺史蕭季敞，稱季敞同逆，送首京師。
HCH_015_029_000212	廣州刺史顏討殺之。
HCH_015_029_000213	王廣之字林之，沛郡相人也。
HCH_015_029_000214	少好弓馬，便捷有勇力。
HCH_015_029_000215	初爲馬隊主。
HCH_015_029_000216	宋大明中，以功補本縣令，殿中，龍驤，強弩將軍，驃騎中兵，南譙太守。
HCH_015_029_000217	泰始初，除寧朔將軍、軍主，隷寧朔將軍劉懷珍征殷琰於壽春。
HCH_015_029_000218	琰將劉從築壘拒守，臺軍相守移日。
HCH_015_029_000219	琰遣長史杜叔寶領五千人運車五百乘援從。
HCH_015_029_000220	懷珍遣廣之及軍主辛慶祖、黃回、千道連等要擊於橫塘。
HCH_015_029_000221	寶結營拒戰，廣之等肉薄攻營，自晡至日沒，大敗之，殺傷千餘人，遂退，燒其運車。
HCH_015_029_000222	從聞之，棄壘奔走。
HCH_015_029_000223	時合肥城反，官軍前後受敵，都督劉勉召諸軍主會議。
HCH_015_029_000224	廣之曰：「請得將軍所乘馬往平之。」
HCH_015_029_000225	勉以馬與廣之，廣之去三日，攻剋合肥賊。
HCH_015_029_000226	仍隨懷珍討淮北。
HCH_015_029_000227	時明帝遣青州刺史明僧暠北徵至三城，爲沈文秀所攻。
HCH_015_029_000228	廣之將步騎三千餘人，緣海救之，俱引退。
HCH_015_029_000229	廣之又進軍襲文秀所置長廣太守劉桃根，桃根棄城走。
HCH_015_029_000230	軍還，封安蠻縣子，三百戶。
HCH_015_029_000231	尋改蒲圻。
HCH_015_029_000232	除建威將軍、南陽太守，不之官。
HCH_015_029_000233	除越騎校尉，龍驤將軍、鍾離太守。
HCH_015_029_000234	遷爲左軍將軍，加寧朔將軍、高平太守。
HCH_015_029_000235	又除游擊將軍，寧朔如故。
HCH_015_029_000236	加給事中，冠軍將軍。
HCH_015_029_000237	討宋建平，先登京口，改封寧都縣子，五百戶。
HCH_015_029_000238	太祖廢蒼梧，出廣之爲假節、督徐州軍事、徐州刺史、鍾離太守，冠軍如故。
HCH_015_029_000239	沈攸之事起，廣之留京師，豫平石頭，仍從太祖頓新亭，進號征虜將軍。
HCH_015_029_000240	太祖誅黃回。
HCH_015_029_000241	回弟駟及從弟馬、兄子奴亡逸。
HCH_015_029_000242	太祖與廣之書曰：「黃回雖有微勳，而罪過轉不可容。近遂啓請御大小二輿爲刺史服飾。吾乃不惜爲其啓聞，政恐得輿，復求畫輪車。此外罪不可勝數，弟自悉之。今啓依法。」
HCH_015_029_000243	令廣之於江西搜捕駟等。
HCH_015_029_000244	建元元年，進爵爲侯，食邑千戶。
HCH_015_029_000245	轉散騎常侍、左軍將軍。
