HCH_012_155_000248	傳爵至明亡。
HCH_012_155_000249	費瓛，定遠人。
HCH_012_155_000250	祖愚，洪武時為燕府左相，改授燕山中護衛指揮使。
HCH_012_155_000251	傳子肅。
HCH_012_155_000252	至瓛從成祖起兵有功，累進後軍都督僉事。
HCH_012_155_000253	永樂八年春，涼州衛千戶虎保、永昌衛千戶亦令真巴等叛，眾數千，屯據驛路。
HCH_012_155_000254	新附伯顏帖木兒等應之。
HCH_012_155_000255	西鄙震動。
HCH_012_155_000256	都指揮李智擊之不勝。
HCH_012_155_000257	賊聲言攻永昌、涼州城。
HCH_012_155_000258	皇太子命瓛往討。
HCH_012_155_000259	至涼州，智及都指揮陳懷以師會，遂進兵鎮番。
HCH_012_155_000260	遇賊於雙城。
HCH_012_155_000261	瓛擊其左，懷等擊其右。
HCH_012_155_000262	賊大敗走，斬首三百餘級。
HCH_012_155_000263	追奔至黑魚海，獲賊千餘，馬駝牛羊十二萬。
HCH_012_155_000264	虎保等遠遁。
HCH_012_155_000265	乃班師。
HCH_012_155_000266	十二年充總兵官，鎮甘肅。
HCH_012_155_000267	瓛以肅州兵多糧少，脫有調發，猝難措置，請以臨鞏稅糧付近邊軍丁轉運。
HCH_012_155_000268	又以涼州多閑田，請給軍屯墾。
HCH_012_155_000269	從之。
HCH_012_155_000270	洪熙元年予平羌將軍印。
HCH_012_155_000271	永樂時，諸邊率用宦官協鎮，恣睢專軍務，瓛亦為所制。
HCH_012_155_000272	仁宗知之，賜璽書責之曰：「爾以名臣後，受國重寄，乃俯首受制於人，豈大丈夫所為！其痛自懲艾，圖後效。」
HCH_012_155_000273	瓛得書陳謝。
HCH_012_155_000274	宣宗嗣位，進右府左都督。
HCH_012_155_000275	元年七月入朝，封崇信伯，祿千一百石。
HCH_012_155_000276	從征高煦，次流河驛。
HCH_012_155_000277	帝念前鋒薛祿軍少，命瓛帥兵益之。
HCH_012_155_000278	還，予世券，復鎮甘肅。
HCH_012_155_000279	二年，沙州衛賊屢劫撒馬兒罕及亦力把裏貢使，瓛討破之。
HCH_012_155_000280	明年卒於鎮。
HCH_012_155_000281	瓛為人和易，善撫士。
HCH_012_155_000282	在鎮十五年，境內寧謐。
HCH_012_155_000283	子釗嗣。
HCH_012_155_000284	從征鄧茂七，還掌都督府。
HCH_012_155_000285	天順中，受武定侯郭英次孫昭賂，誣嫡孫昌不孝，欲奪其爵。
HCH_012_155_000286	法司請逮治，詔解府事。
HCH_012_155_000287	卒，子淮嗣爵。
HCH_012_155_000288	傳至明亡乃絕。
HCH_012_155_000289	譚廣，字仲宏，丹徒人。
HCH_012_155_000290	洪武初，起卒伍，從征金山，為燕山護衛百戶。
HCH_012_155_000291	從成祖起兵，以百騎掠涿州，生得將校三十人。
