HCH_012_306_000131	尚書則吏部張綵、戶部劉璣、兵部王敞、刑部劉璟、工部畢亨、南京戶部張澯、禮部朱恩、刑部劉纓、工部李善。
HCH_012_306_000132	侍郎則吏部柴升、李瀚，前戶部韓福，禮部李遜學，兵部陸完、陳震，刑部張子麟，工部崔巖、夏昂、胡諒，南京禮部常麟、工部張誌淳。
HCH_012_306_000133	都察院則副都御史楊綸、僉都御史蕭選。
HCH_012_306_000134	巡撫則順天劉聰、應天魏訥、宣府楊武、保定徐以貞、大同張禴、淮揚屈直、兩廣林廷選，操江王彥奇。
HCH_012_306_000135	前總督文貴、馬炳然。
HCH_012_306_000136	大理寺則卿張綸，少卿董恬，丞蔡中孚、張檜。
HCH_012_306_000137	通政司則通政吳釴、王雲鳳，參議張龍。
HCH_012_306_000138	太常則少卿楊廷儀、劉介。
HCH_012_306_000139	尚寶卿則吳世忠，丞屈銓。
HCH_012_306_000140	府尹則陳良器，府丞則石祿。
HCH_012_306_000141	翰林則侍讀焦黃中，修撰康海，編修劉仁，檢討段炅。
HCH_012_306_000142	吏部郎則王九思、王納誨。
HCH_012_306_000143	給事中則李憲、段豸。
HCH_012_306_000144	御史則薛鳳鳴、朱袞、秦昂、宇文鐘、崔哲、李紀、周琳。
HCH_012_306_000145	其他郎署監司又十餘人。
HCH_012_306_000146	於是綵論死，福謫戍，元、恩、震、聰、訥、武、恬、介、黃中、海、仁、憲、鳳鳴、鐘除名，亨、昂閑住，善、巖、諒、志淳、綸、直、彥奇、良器、哲致仕，選、以貞、禴、中孚、龍、祿、銓、炅、豸、袞、紀、琳、九思，納誨謫外，朝署為清。
HCH_012_306_000147	張綵，安定人。
HCH_012_306_000148	弘治三年進士。
HCH_012_306_000149	授吏部主事，歷文選司郎中。
HCH_012_306_000150	綵議論便利，善伺權貴指。
HCH_012_306_000151	初矯飾徹聲譽，尚書馬文升等皆愛之。
HCH_012_306_000152	給事中劉郤嘗劾其顛倒選法數事，文升悉為辯析，且譽其聰明剛正，為上下所推服。
HCH_012_306_000153	詔令辦事如故。
HCH_012_306_000154	綵即五疏移疾去，文升固留不得，時論稱之。
HCH_012_306_000155	越數日，給事中李貫薦綵有將略。
HCH_012_306_000156	楊一清總制三邊，亦薦綵自代。
HCH_012_306_000157	而焦芳以綵與劉瑾同鄉，力薦於瑾。
HCH_012_306_000158	瑾欲致之，因著令，病過期不赴者，斥為民。
HCH_012_306_000159	綵乃就道。
HCH_012_306_000160	既見瑾，高冠鮮衣，貌白晳修偉，鬚眉蔚然，詞辯泉湧。
HCH_012_306_000161	瑾大敬愛，執手移時，曰：「子神人也，我何以得遇子！」
HCH_012_306_000162	時文選郎劉永已遷通政，次當驗封郎石確。
HCH_012_306_000163	疏既入，瑾令尚書許進追原疏，以綵易之。
HCH_012_306_000164	綵自是一意事瑾。
HCH_012_306_000165	瑾惡進不附己，綵因媒孽去進，以劉宇代之。
HCH_012_306_000166	宇雖為尚書，銓政率由綵，多不關白宇，即白宇，宇必溫言降接。
HCH_012_306_000167	綵抱案立語，宇俯僂不敢當。
HCH_012_306_000168	居文選半載，擢左僉都御史，與戶部右侍郎韓鼎同廷謝。
HCH_012_306_000169	鼎老，拜起不如儀，為谷大用、張永輩所竊笑。
HCH_012_306_000170	瑾方慚，而綵丰采英毅，大用等皆稱羨，瑾乃喜。
HCH_012_306_000171	越二日罷鼎，而綵逾年超拜吏部右侍郎。
HCH_012_306_000172	鼎，合水人。
HCH_012_306_000173	弘治時，為給事中，負直聲。
HCH_012_306_000174	後遷右通政，治水安平有勞績，以通政使家居。
HCH_012_306_000175	至是為瑾所引，復挫歸，遂失其素望。
HCH_012_306_000176	瑾欲大貴綵，乃命劉宇入內閣，以綵代之。
HCH_012_306_000177	一歲中，自郎署長六卿。
HCH_012_306_000178	僚友守官如故，咸惴惴白事尚書前，綵厲色無所假借。
HCH_012_306_000179	尋加太子少保。
HCH_012_306_000180	每瑾出休沐，公卿往候，自辰至哺未得見。
HCH_012_306_000181	綵故徐徐來，直入瑾小閣，歡飲而出，始揖眾人。
HCH_012_306_000182	眾以是益畏綵，見綵如瑾禮。
HCH_012_306_000183	綵與朝臣言，呼瑾為老者。
HCH_012_306_000184	凡所言，瑾無不從。
HCH_012_306_000185	因不時考察內外官，糾摘嚴急，間一用薄罰，而諸司臺諫謫辱日甚。
HCH_012_306_000186	變亂舊格，賄賂肆行，海內金帛奇貨相望塗巷間。
HCH_012_306_000187	性尤漁色。
HCH_012_306_000188	撫州知府劉介，其鄉人也，娶妾美。
HCH_012_306_000189	綵特擢介太常少卿，盛服往賀曰：「子何以報我？」
HCH_012_306_000190	介皇恐謝曰：「一身外，皆公物。」
HCH_012_306_000191	綵曰：「命之矣。」
HCH_012_306_000192	即使人直入內，牽其妾，輿載而去。
HCH_012_306_000193	又聞平陽知府張恕妾美，索之不肯，令御史張禴按致其罪，擬戍。
HCH_012_306_000194	恕獻妾，始得論減。
HCH_012_306_000195	綵既銜瑾恩，見瑾擅權久，貪冒無厭，天下怨之，因乘間說曰：「公亦知賄入所自乎？非盜官帑，即剝小民。彼借公名自厚，入公者未十一，而怨悉歸公，何以謝天下？」
HCH_012_306_000196	瑾大然之。
HCH_012_306_000197	會御史胡節巡按山東還，厚遺瑾。
HCH_012_306_000198	瑾發之，捕節下獄。
HCH_012_306_000199	少監李宣、侍郎張鸞、指揮同知趙良按事福建還，饋瑾白金二萬。
HCH_012_306_000200	瑾疏納金於官，而按三人罪。
HCH_012_306_000201	其他因賄得禍者甚眾。
HCH_012_306_000202	苛斂之害為少衰，中外或稱綵能導瑾為善矣。
HCH_012_306_000203	及瑾伏誅，綵以交結近侍論死，遇赦當免。
HCH_012_306_000204	改擬同瑾謀反，瘐死獄中，仍剉屍於市，籍其家，妻子流海南。
HCH_012_306_000205	韓福者，西安前衛人也。
HCH_012_306_000206	成化十七年進士。
HCH_012_306_000207	為御史，按宣府、大同，數條奏軍民利病，邊人悅之。
HCH_012_306_000208	弘治中，遷大名知府，奸盜屏跡，道不拾遺，政績為畿輔冠。
HCH_012_306_000209	以卓異舉，遷浙江左參政，病免。
HCH_012_306_000210	武宗立，言官交薦，召為大理右少卿。
HCH_012_306_000211	正德二年以右僉都御史督蘇、松糧儲。
HCH_012_306_000212	未幾，召入為右副都御史。
HCH_012_306_000213	坐累，下詔獄。
HCH_012_306_000214	獄上，劉瑾以同鄉故，立命出之。
HCH_012_306_000215	召與語，大悅，即用為戶部左侍郎。
HCH_012_306_000216	福強結幹吏，所在著能聲。
HCH_012_306_000217	至是受挫，為瑾所拔擢，遂精心事瑾，為效力。
HCH_012_306_000218	瑾亦時召與謀，委寄亞於綵。
HCH_012_306_000219	會湖廣以缺餉告，命兼僉都御史往理之。
HCH_012_306_000220	瑾喜操切，福希指，益務為嚴苛。
HCH_012_306_000221	湖廣民租自私弘治改元後，逋六百餘萬石，皆遇災蠲免。
HCH_012_306_000222	福欲追徵之，劾所司催科不力，自巡撫鄭時以下凡千二百人。
HCH_012_306_000223	奏至，舉朝駭愕，戶部尚書劉璣等議如福言。
