HCH_012_024_000232	庚戌，張獻忠陷永州，巡按御史劉熙祚死之。
HCH_012_024_000233	辛亥，賜楊廷鑑等進士及第、出身有差。
HCH_012_024_000234	壬子，孫傳庭兵以乏食引退，賊追及之，還戰大敗，傳庭以餘眾退保潼關。
HCH_012_024_000235	是月，鳳陽地屢震。
HCH_012_024_000236	冬十月辛酉朔，享太廟。
HCH_012_024_000237	丙寅，李自成陷潼關，督師尚書孫傳庭死之。
HCH_012_024_000238	賊連陷華州、渭南、臨潼。
HCH_012_024_000239	命有司以贖鍰充餉。
HCH_012_024_000240	戊辰，李自成屠商州。
HCH_012_024_000241	庚午，張獻忠陷常德。
HCH_012_024_000242	壬申，李自成陷西安，秦王存樞降，巡撫都御史馮師孔、按察使黃絅等死之。
HCH_012_024_000243	丁丑，張獻忠陷吉安。
HCH_012_024_000244	十一月甲午，李自成陷延安，尋屠鳳翔。
HCH_012_024_000245	壬寅，祀天於南郊。
HCH_012_024_000246	辛亥，吏部侍郎李建泰、副都御史方岳貢並兼東閣大學士，預機務。
HCH_012_024_000247	癸丑，范志完、趙光抃棄市，戍吳甡於金齒。
HCH_012_024_000248	丁巳，李自成陷榆林，兵備副使都任、在籍總兵官尤世威等死之。
HCH_012_024_000249	寧夏、慶陽相繼陷，韓王亶塉被執。
HCH_012_024_000250	十二月壬戌，張獻忠陷建昌。
HCH_012_024_000251	乙丑，周延儒有罪賜死。
HCH_012_024_000252	丁卯，張獻忠陷撫州。
HCH_012_024_000253	辛巳，賊渡河，陷平陽，山西州縣相繼潰降。
HCH_012_024_000254	甲申，賊陷甘州，巡撫都御史林日瑞、總兵官馬爌等死之。
HCH_012_024_000255	丙戌，左良玉復長沙。
HCH_012_024_000256	是年，暹羅，琉球、哈密入貢。
HCH_012_024_000257	十七年春正月庚寅朔，大風霾，鳳陽地震。
HCH_012_024_000258	庚子，李建泰自請措餉治兵討賊，許之。
HCH_012_024_000259	乙卯，幸正陽門樓，餞李建泰出師。
HCH_012_024_000260	南京地震。
HCH_012_024_000261	丙辰，工部尚書范景文、禮部侍郎丘瑜並兼東閣大學士，預機務。
HCH_012_024_000262	是月，張獻忠入四川。
HCH_012_024_000263	二月辛酉，李自成陷汾州，別賊陷懷慶。
HCH_012_024_000264	丙寅，陷太原，執晉王求桂，巡撫都御史蔡懋德等死之。
HCH_012_024_000265	壬申，下詔罪己。
HCH_012_024_000266	癸酉，潞安陷。
HCH_012_024_000267	乙亥，議京師城守。
HCH_012_024_000268	李自成攻代州，總兵官周遇吉力戰，食盡，退守寧武關。
HCH_012_024_000269	丁丑，賊別將陷固關，犯畿南。
HCH_012_024_000270	己卯，遣內臣高起潛、杜勳等十人監視諸邊及近畿要害。
HCH_012_024_000271	壬午，真定知府丘茂華殺總督侍郎徐標，檄所屬降賊。
HCH_012_024_000272	甲申，賊至彰德，趙王常㳛降。
HCH_012_024_000273	丁亥，詔天下勤王。
HCH_012_024_000274	命廷臣上戰守事宜。
HCH_012_024_000275	左都御史李邦華、右庶子李明睿請南遷及太子撫軍江南，皆不許。
HCH_012_024_000276	戊子，陳演致仕。
HCH_012_024_000277	李自成陷寧武，周遇吉力戰死之。
HCH_012_024_000278	三月庚寅，賊至大同，總兵官姜瓌降賊，代王傳㸄遇害，巡撫都御史衞景瑗被執，自縊死。
HCH_012_024_000279	辛卯，李建泰疏請南遷。
HCH_012_024_000280	壬辰，召廷臣於平臺，示建泰疏，曰：「國君死社稷，朕將焉往？」
HCH_012_024_000281	李邦華等復請太子撫軍南京，不聽。
HCH_012_024_000282	蔣德璟致仕。
HCH_012_024_000283	癸巳，封總兵官吳三桂、左良玉、唐通、黃得功俱為伯。
HCH_012_024_000284	甲午，徵諸鎮兵入援。
HCH_012_024_000285	乙未，總兵官唐通入衞，命偕內臣杜之秩守居庸關。
HCH_012_024_000286	戊戌，太監王承恩提督城守。
HCH_012_024_000287	己亥，李自成至宣府，監視太監杜勳降，巡撫都御史朱之馮等死之。
HCH_012_024_000288	癸卯，唐通、杜之秩降於自成，賊遂入關。
HCH_012_024_000289	甲辰，陷昌平。
HCH_012_024_000290	乙巳，賊犯京師，京營兵潰。
HCH_012_024_000291	丙午，日晡，外城陷。
HCH_012_024_000292	是夕，皇后周氏崩。
HCH_012_024_000293	丁未，昧爽，內城陷。
HCH_012_024_000294	帝崩於萬歲山，王承恩從死。
HCH_012_024_000295	御書衣襟曰：「朕涼德藐躬，上干天咎，然皆諸臣誤朕。朕死無面目見祖宗，自去冠冕，以髮覆面。任賊分裂，無傷百姓一人。」
HCH_012_024_000296	自大學士范景文而下死者數十人。
HCH_012_024_000297	丙辰，賊遷帝、后梓宮於昌平。
