HCH_009_071_000166	已克瀋州，城中出奔者闍母邀擊殆盡。
HCH_009_071_000167	與永昌隔沃裏活水，眾遇淖不敢進，闍母以所部先濟，諸軍畢濟。
HCH_009_071_000168	軍東京城下，城中人出城來戰，闍母破之於首山，殲其眾，獲馬五百匹。
HCH_009_071_000169	及斡魯古以罪去鹹州，闍母氏代之，於是闍母為咸州路副統。
HCH_009_071_000170	遼議和久不成，太祖進兵，詔咸州路都統司，令斜葛留兵一千鎮守，闍母以余兵會於渾河。
HCH_009_071_000171	太祖攻上京，實臨潢府，諭之不下。
HCH_009_071_000172	遼人恃儲蓄自固。
HCH_009_071_000173	上親臨陣，闍母以眾先登，克其外城，留守撻不野率眾出降。
HCH_009_071_000174	都統杲兵至中京，闍母自城西沿土河以進，城中兵尚餘三千，皆不能守，遂克之。
HCH_009_071_000175	宗翰等攻西京，闍母、婁室等於城東為木洞以捍蔽矢石，於北隅以芻茭塞其隍，城中出兵萬餘，將燒之。
HCH_009_071_000176	溫蒂罕蒲匣率眾力戰，執旗者被創，蒲匣自執旗，奮擊卻之。
HCH_009_071_000177	又為四輪革車，高出於堞，闍母與麾下乘車先登，諸軍繼之，遂克西京。
HCH_009_071_000178	與遼步騎五千戰於朔州之境，，斬首三百級。
HCH_009_071_000179	複敗遼騎三百于河陰。
HCH_009_071_000180	遼兵五千屯于馬邑縣南，複擊破之，隳其營壘，盡得其車馬、器械。
HCH_009_071_000181	遼兵三萬，列營於西京之西，闍母以三千擊之。
HCH_009_071_000182	闍母使士卒皆去馬，陣於溝塹之間，曰：「以一擊十，不致之死地，不可使戰也。」
HCH_009_071_000183	謂眾曰：「若不勝敵，不可以求生。」
HCH_009_071_000184	於是人皆殊死戰，遼兵遂敗，追至其營而止。
HCH_009_071_000185	明日，複敗其兵七百餘人。
HCH_009_071_000186	興中府宜州複叛，闍母討之，並下詔招諭，詔闍母曰：「遼之土地皆為我有，彼雖複叛，終皆吾民，可縱其耕稼，毋得侵掠。」
HCH_009_071_000187	勃堇蒙刮、斜缽、吾撻等獲契丹九斤，興中平。
HCH_009_071_000188	闍母為南路都統，討回離保，詔曰：「回離保以烏合之眾，保據險阻，其勢必將自斃。若彼不出掠，毋庸攻討。」
HCH_009_071_000189	耶律奧古哲等殺回離保于景、薊之間，其眾遂潰。
HCH_009_071_000190	張覺據平州叛，入于宋，闍母自錦州往討之。
HCH_009_071_000191	覺將以兵脅遷、來、潤、隰四州之民闍母至潤州，擊走張覺軍，逐北至榆關，遣俘侍書招之。
HCH_009_071_000192	複敗覺兵于營州東北，欲乘勝進取南京。
HCH_009_071_000193	時方暑雨，退屯海鹆需，逐水草休息，使僕虺、蒙刮兩猛安屯潤州，制未降州縣，不得與覺交通。
HCH_009_071_000194	九月，闍母破覺將王孝古於新安，敗覺軍于樓峰口。
HCH_009_071_000195	複與覺戰於兔耳山，闍母大敗。
HCH_009_071_000196	太宗使宗望問闍母敗軍之狀，宗望遂以闍母軍討覺。
HCH_009_071_000197	及宗望破張覺，太宗乃赦闍母，召宗望赴闕。
HCH_009_071_000198	闍母連破偽都統張敦固，遂克南京，執敦固殺之。
HCH_009_071_000199	上遣使迎勞之，詔曰：「聞下南京，撫定兵民，甚善。諸軍之賞，卿差等以給之。」
HCH_009_071_000200	又詔曰：「南京疆場如舊，屯兵以鎮之。命有司運米五萬石于廣甯，給南京、潤州戍卒。」
HCH_009_071_000201	遂下宜州，拔叉牙山，殺其節度使韓慶民，得糧五千石。
