HCH_009_042_000189	前後部鼓吹，金鉦、掆鼓、大鼓、長鳴、中鳴、鐃吹、羽葆、鼓吹、橫吹、節鼓、禦馬並減大駕之半。
HCH_009_042_000190	是歲，重翟等六車改用圓方輅輦，及行障、坐障、錦六柱、宮人等車，其制度人數並見《輿服志》。
HCH_009_042_000191	天德二年，海陵立後，皇后乘龍飾肩輿，有司設二步障於殿之西階，設扇左右各十，傘一，此蓋殿庭導引之儀也。
HCH_009_042_000192	又設皇太后導從六十人，傘子不在數內，並服簇四盤雕團花紅錦襖、金花襆頭、塗金銀束帶。
HCH_009_042_000193	永壽、永甯宮導駕各三十人，傘子各二人，此亦常行之儀也。
HCH_009_042_000194	受冊寶謝廟，凡大禮、大朝會則用之。
HCH_009_042_000195	有司奏當用唐、宋儀禮，詔止用千人。
HCH_009_042_000196	中道。
HCH_009_042_000197	清遊隊二十四人：折沖都尉一人，白澤旗一，五人，弩四、弓六、槊八。
HCH_009_042_000198	並騎。
HCH_009_042_000199	清道直蕩隊一十八人：折沖都尉二人，皞槊四，弓矢十二。
HCH_009_042_000200	並騎。
HCH_009_042_000201	誕馬四，控攏八人。
HCH_009_042_000202	正直旗隊三十三人：果毅都尉一人，重輪旗一、馴犀旗二、野馬旗一，馴象旗二，旗各五人，副竿二。
HCH_009_042_000203	並騎。
HCH_009_042_000204	細引隊一十四人：果毅都尉二人，弓矢六，槊六。
HCH_009_042_000205	槊與弓矢相間，並騎。
HCH_009_042_000206	前部鼓吹九十八人：並騎。
HCH_009_042_000207	府史二人，金鉦、掆鼓各二，大鼓十二，長鳴八，鐃鼓二，簫六，笳六、帥兵官二、節鼓二、小鼓十二、中鳴八、桃皮篳篥四、歌四、拱辰管六、篳篥六、大橫吹十二、羽葆鼓二、帥兵官二。
HCH_009_042_000208	傘扇八：梅紅傘二，大雉扇四，中雉扇二。
HCH_009_042_000209	小輿一十八人。
HCH_009_042_000210	導引官一十二人：中允二人，諭德二人、庶子二人、詹事二人、太師一人、太傅一人、太保一人，少師一人在金輅後。
HCH_009_042_000211	並騎。
HCH_009_042_000212	親勳翊衛圍子隊七十四人：郎將二人。
HCH_009_042_000213	儀刀七十二。
HCH_009_042_000214	並騎。
HCH_009_042_000215	金輅七十人。
HCH_009_042_000216	三衛隊一十八人。
HCH_009_042_000217	執儀刀。
HCH_009_042_000218	厭角隊六十二人：郎將一人，祥雲旗一，五人，弩三，弓七，稍十五，並騎。
HCH_009_042_000219	又郎將一人，祥雲旗一，五人，弩三，弓七，槊十五。
HCH_009_042_000220	並騎。
HCH_009_042_000221	硃團扇一十六人：司禦率府校尉四人，騎。
HCH_009_042_000222	硃團扇三，紫曲蓋三，硃團扇三，紫曲蓋三。
HCH_009_042_000223	大角一十八。
HCH_009_042_000224	後部鼓吹五十四人：並騎。
HCH_009_042_000225	管轄指揮一人，金鉦、掆鼓各一，鐃鼓二，簫六，歌六，篳篥六，節鼓一，主帥二人，笛六，笳四，拱辰管六，小橫吹十，主帥二人。
HCH_009_042_000226	後拒隊四十六人：果毅都尉一人，騎。
HCH_009_042_000227	三角獸旗一，五人，弩四，弓矢十六，槊二十。
HCH_009_042_000228	外仗。
HCH_009_042_000229	左行二百四人。
HCH_009_042_000230	牙門十六人：並騎。
HCH_009_042_000231	牙門旗一，三人，監門校尉三人，郎將一人，班劍九。
HCH_009_042_000232	前第一隊二十七人：司禦率府一人，果毅都尉一人，折沖都尉一人，主帥一人，並騎。
HCH_009_042_000233	絳引幡三首，九人，麟頭竿二，儀鍠斧二，弓矢二，麟頭竿二，儀鍠斧二，硃刀盾二，小戟二。
HCH_009_042_000234	第二、第三、第四、第五隊各一十四人。
HCH_009_042_000235	與第一部麟頭竿已下同。
HCH_009_042_000236	後第一隊四十七人：牙門旗一，三人，監門校尉三人，果毅都尉一人，主帥一人，絳引幡三，九人，鶡雞旗一，五人，槊四，弩三，槊四，弓矢三，槊四，弓矢三，硃刀盾二，小戟二。
HCH_009_042_000237	並騎。
HCH_009_042_000238	後第二隊二十九人：果毅都尉一人，綱子旗一，五人，槊五，弩三，槊五，弓矢三，槊三，弓矢四。
HCH_009_042_000239	並騎。
HCH_009_042_000240	後第三隊二十九人：果毅都尉一人，黃鹿旗一，五人，槊五，弩三，槊五，弓矢三，槊三，弓矢四。
HCH_009_042_000241	並騎。
HCH_009_042_000242	右行二百四人，排列同。
HCH_009_042_000243	太子常行儀衛，導從六十二人，傘子二人，並服梅紅繡羅雙盤鳳襖、金花襆頭、塗金銀束帶。
HCH_009_042_000244	凡從物鏾鑼、唾盂、水罐等事並用銀金飾。
HCH_009_042_000245	傘用梅紅羅、坐麒麟金浮圖。
HCH_009_042_000246	椅用金鍍銀圈、雙戲麒麟椅背，紅絨絛結。
HCH_009_042_000247	殿庭與宴，𧝋用繡羅間金盤鳳，卓衣則用繡羅獨角間金盤獸。
HCH_009_042_000248	東宮視事，硃髹飾椅，塗金銀獸銜、紅絨絛結，明金團花椅背，案衣則用素羅，色皆梅紅，蒙帕踏腳同。
HCH_009_042_000249	引接十人，皁衫、盤裹、束帶、乘馬。
HCH_009_042_000250	牽攏官五十人，首領紫羅襖、素襆頭，執銀裹牙杖，傘子紫羅團荅繡芙蓉襖、間金花交腳襆頭，余人紫羅四䙆繡芙蓉襖、兩邊黃絹義襴，並用金鍍銀束帶，襆頭同。
HCH_009_042_000251	邀喝四人。
HCH_009_042_000252	傘用青表紫裏，金鍍銀浮圖。
HCH_009_042_000253	椅用銀裹圈背。
HCH_009_042_000254	水罐、鏾鑼、唾盂並用銀。
HCH_009_042_000255	郡王牽攏官三十人，未出宮者二十人。
HCH_009_042_000256	國公牽攏官二十人，未出宮者十四人。
HCH_009_042_000257	郡王引接六人，國公四人，未出宮者各減半。
HCH_009_042_000258	人從儀物並依一品職事官制。
HCH_009_042_000259	四十人，襆頭、繡盤蕉紫衫、塗金束帶。
HCH_009_042_000260	妃用偏扇、方扇、團扇各十六，諸嬪各十四，皆宮人執，服雲腳紗帽、紫四䙆衫、束帶、綠靴。
HCH_009_042_000261	大傘各一，傘子二人，就用本服錦襖襆帶。
HCH_009_042_000262	大長公主導從一十二人，皇妹皇女一十人，並服紫羅繡胸背葵花夾襖、盤裹、襆頭、大佩銀腰帶，牙杖各二。
HCH_009_042_000263	其諸宗室女，各以親疏差降之。
HCH_009_042_000264	傘制，皇太子三位妃皆青羅表紫裏、金浮圖，親王公主王妃金鍍銀浮圖、郡主縣主夫人銀浮圖，皆青表紫裏，諸臣下母妻各從其夫子勳封品級用傘。
HCH_009_042_000265	正一品：三師、三公、尚書令，硃衣直省各十人，三公稱直府。
HCH_009_042_000266	牽攏官各六十人，並服紫衫帽、銀偏帶，內執藤棒二對、骨朵三對，牙杖三對，簇馬六人，傘子二人。
HCH_009_042_000267	交椅、水罐、鏾鑼、盂子、唾碗等事以次執之，服皁衫帽、塗金銅束帶。
HCH_009_042_000268	後凡執色人並同。
HCH_009_042_000269	邀喝四人。
HCH_009_042_000270	傘用青羅紫裏、銀浮圖。
HCH_009_042_000271	從一品：尚書左右丞相、平章政事、都元帥、樞密使，直省同，樞密稱直院，以班祗人充。
HCH_009_042_000272	牽攏官五十人，邀喝四人。
HCH_009_042_000273	判大宗正，引接十人、牽攏官四十人。
HCH_009_042_000274	大興尹，面前兩對，餘並同。
HCH_009_042_000275	以上交椅並用銀裹圈背、紫絲滌結。
HCH_009_042_000276	正二品：東宮三師、左右副元帥。
HCH_009_042_000277	尚書左右丞，直省八人，牽攏官四十人，邀喝三人，傘用硃浮圖。
HCH_009_042_000278	從二品：參知政事、樞密副使、御史大夫，直省同，禦史台稱通引，以皞使班祗人充。
HCH_009_042_000279	牽攏三十六人，邀喝數同。
HCH_009_042_000280	正三品：東宮三少、元帥左右監軍、殿前都點檢、六部尚書、諸京留守、宣徽、勸農使、翰林學士承旨等官，凡同品者，各引接六人，牽攏官二十人。
HCH_009_042_000281	以上交椅並用直背銀間妝、青絲滌結。
HCH_009_042_000282	諸京都轉運使、招討使、諸路提刑使、諸府尹兼本路兵馬都總管及留守，牽攏官五十人。
HCH_009_042_000283	外任，統軍使、都運、招討使、副使、諸府尹兼總管，牽攏官五四十五人，公使七十人。
HCH_009_042_000284	從三品：元帥左右都監、勸農副使、殿前副都點檢及禦史中丞等官，凡同品者，各引接六人，牽攏官一十八人，內中丞引從則給緋衫。
HCH_009_042_000285	外任，運使、節度使、牽攏官四十人，諸節鎮、諸部族節度同，公使上鎮七十人、中鎮六十五人、下鎮六十人。
HCH_009_042_000286	以上外任官人從服色，除諸招討、總管、部族節度、群牧使自來無射糧軍人力者並仍舊外，留守、統軍、總管、都運、招討、府尹、轉運、節度使人力亦仍舊，其數雖多，俱不得過四十人，並服紫衫、銀帶，銀裹圈背交椅、銀水罐、鏾鑼、盂、碗、牙杖，內銀裹骨朵、大劍各兩封，及邀喝，唯運使無骨朵、大劍。
HCH_009_042_000287	正四品：左右諫議大夫、國子祭酒、六部侍郎等官，凡同品者，各引接八人，本破十二人。
HCH_009_042_000288	外任，留守同統軍都監、提刑副使，各牽攏官三十人。
HCH_009_042_000289	從四品：殿前左右衛將軍、諸猛安千戶、親王府尉、諸京同知轉運等官，凡同品者，各引接四人，本破十二人。
HCH_009_042_000290	外任，牽攏官三十五人，公使上防禦六十人、中防禦五十五人、下防禦五十人。
HCH_009_042_000291	正五品：尚書左右司郎中、翰林待制、太常少卿等官，凡同品者，各本破八人。
HCH_009_042_000292	外任，牽攏官三十人，公使上州五十人、中州四十五人、下州四十人。
HCH_009_042_000293	凡防禦、刺史、知軍、並京府統軍司、節鎮佐貳官人從，並服紫衫、角束帶，直背銀交椅、鏾鑼、盂子、唾碗、牙杖，傘用青表碧裏青浮圖。
HCH_009_042_000294	防禦、刺史、知軍仍用銀裹骨朵、大劍一對，邀喝，唯隨路副統軍則不邀喝。
HCH_009_042_000295	從五品：六部郎中、侍御史、大理少卿等官，凡同品者，本破七人，侍禦引從則給緋衫。
HCH_009_042_000296	外任，本破十人。
HCH_009_042_000297	以上職事官並許張蓋。
HCH_009_042_000298	正六品：尚書左右司員外等官，凡同品者，本破六人。
HCH_009_042_000299	外任，本破九人。
HCH_009_042_000300	從六品：尚書六部員外等官，凡同品者，本破五人。
HCH_009_042_000301	外任，本破九人。
HCH_009_042_000302	正七品：殿中侍御史等官，凡同品者，本破四人。
HCH_009_042_000303	外任，本破七人。
HCH_009_042_000304	縣令，公使十人。
HCH_009_042_000305	都軍，公使六人。
HCH_009_042_000306	從七品：應奉翰林文字等官，凡同品者，本破四人。
HCH_009_042_000307	外任，本破六人。
HCH_009_042_000308	縣令，公使十人。
HCH_009_042_000309	正八品：大理評事等官，凡同品者，本破二人。
HCH_009_042_000310	外任，本破六人。
HCH_009_042_000311	從八品：太常太祝等官，凡同品者，本破二人。
HCH_009_042_000312	外任，本破五人。
HCH_009_042_000313	正九品：禦藥都監等官，凡同品者，本破一人。
HCH_009_042_000314	外任，本破三人。
HCH_009_042_000315	從九品：隨殿位承應、同監等官，凡同品者，本破一人。
HCH_009_042_000316	外任，本破一人。
HCH_009_042_000317	尚書省樞密院令譯史通事、六部禦史台及統軍司通事、誥院令史、國史院書寫等職，各設本破一人。
HCH_009_042_000318	以上職官，人力從物不得僭越。
HCH_009_042_000319	其外任官，人從服執，以本處公用或贓罰錢置。
HCH_009_042_000320	凡內外官自親王以下，傔從各有名數差等，而硃衣直省不與。
HCH_009_042_000321	其賤者，一曰引接亦曰引從，內宮從四品以上設之。
HCH_009_042_000322	二曰牽攏官，內外正五品以上設之。
HCH_009_042_000323	三曰本破，內外正四品以下設之。
HCH_009_042_000324	四曰公使，外官正三品以下設之。
HCH_009_042_000325	五曰從己人力，外官正三品京都留守、大興府尹以下等官設之。
HCH_009_042_000326	本破如牽攏之職，公使從公家之事，從己執私家之役者也。
HCH_009_042_000327	五等皆以射糧軍充，其軍非驗物力以事攻討，特招募民年十七以上、三十以下魁偉壯健者收刺，以資糧給之，故曰射糧。
HCH_009_042_000328	其首領則有將節、承局、什將等名，而皆統于隨路都兵馬總管府焉。
HCH_009_042_000329	金之所以禮臣下、足任使者，其亦先代之遣法歟？
HCH_009_042_000330	外任官從己人力，諸京留守、大興府尹，五十人。
HCH_009_042_000331	統軍、都轉運、招討、按察使，諸路兵馬都總管，四十五人。
HCH_009_042_000332	轉運、節度使，四十人。
HCH_009_042_000333	提控、諸群牧、防禦使，三十五人。
HCH_009_042_000334	外任親王傅、同知留守、副統軍、按察副使、諸州剌史知軍事，三十人。
HCH_009_042_000335	同知都轉運使事、副招討、副留守、同知府尹兼總管，提舉漕運司，諸五品鹽使，二十五人。
HCH_009_042_000336	都轉運副使、按察司簽事、少尹、副總管、同知轉運節度使事，二十人。
HCH_009_042_000337	京都兵馬都指揮使，一十八人。
HCH_009_042_000338	轉運節度副使，十七人。
HCH_009_042_000339	兵馬都鈐轄，十五人。
HCH_009_042_000340	親王府尉、諸京留守總判官、同知防禦使事，十三人。
