HCH_009_054_000122	又謂宰臣曰：「朕以欲遍知天下官吏善惡，故每使採訪，其被升黜者多矣，宜知勸也。若常設訪察，恐任非其人以之生弊，是以姑罷之。」
HCH_009_054_000123	皆曰：「是官不設，何以知官吏之善惡也？」
HCH_009_054_000124	左丞相良弼曰：「自今臣等盡心親察之。」
HCH_009_054_000125	上曰：「宜加詳，勿使名實淆混。」
HCH_009_054_000126	十二年，以同知城陽軍山和尚等清強，上曰：「此輩，暗察明訪皆著政聲。夫賞罰必信，則善者勸、惡者懼，此道久行庶可得人也。其第其政績旌賞之。」
HCH_009_054_000127	三月，詔贓官既已被廉，若仍舊在職必複害民，其遣驛使遍詣諸道，即日罷之。
HCH_009_054_000128	大定二十八年，制以閣門祗候、筆硯承奏、奉職、妃護衛，東宮入殿小底，宗室郎君，王府郎君、省郎君，始以選試才能用之，不須體察。
HCH_009_054_000129	內藏本把、不入殿小底、與入殿小底、及知把書畫，則亦不體察。
HCH_009_054_000130	明昌三年，以所廉察則有清廉之聲，而政績則平常者，敕命不降注。
HCH_009_054_000131	以石仲淵等四人，雖清廉為百姓所喜，而複有行事邀順人情之語，則與公正廉能人不同，敕命降注。
HCH_009_054_000132	凡治績平常者，奪元舉官俸一月。
HCH_009_054_000133	四年，上曰：「凡被舉者，或先選者不同，其後為人再舉而察者同，或先察者同，而後察者不同，當何以處之？其議可久通行無窒之術以聞。」
HCH_009_054_000134	省臣奏曰：「保舉與體察不一者，可除不相攝提刑司境內職事，再令體察，如果同則依格用，不同則還本資歷。」
HCH_009_054_000135	時有議「凡當舉人之官，歲限以數，減資注受者。」
HCH_009_054_000136	是日，省臣並奏，以謂如此恐滋久長求請僥倖之弊。
HCH_009_054_000137	遂擬：「被舉官如體察相同，隨常升用，不如所舉者元舉官約量降除。如自囑求舉，或因勢要及為人請囑而舉之者，各追一官，受賄者以枉法論，體察官亦同此。歲舉不限數，不舉不坐罪，但不如所舉則有降罰，如此則必不敢濫舉，而實材可得。」
HCH_009_054_000138	上曰：「是可止作條理，施行一二年，當別思其法。」
HCH_009_054_000139	承安四年，以按察司不兼採訪，遂罷平倒別路除授之制。
