HCH_012_177_000195	竑憤怒，奮臂起，捽順發呼曰：「若曹奸黨，罪當誅，今尚敢爾！」
HCH_012_177_000196	且罵且嚙其面，眾共擊之，立斃。
HCH_012_177_000197	朝班大亂。
HCH_012_177_000198	王恐，遽起入，竑率群臣隨王後。
HCH_012_177_000199	王使中官金英問所欲言，曰：「內官毛貴、王長隨亦振黨，請置諸法。」
HCH_012_177_000200	王命出二人。
HCH_012_177_000201	眾又捶殺之，血漬廷陛。
HCH_012_177_000202	當是時，竑名震天下，王亦以是深重竑。
HCH_012_177_000203	且召諸言官，慰諭甚至。
HCH_012_177_000204	王即帝位，也先犯京師，命竑與王通、楊善守禦京城，擢右僉都御史，督毛福壽、高禮軍。
HCH_012_177_000205	寇退，詔偕都指揮夏忠等鎮守居庸。
HCH_012_177_000206	竑至，簡士馬，繕厄塞，劾將帥不職者，壁壘一新。
HCH_012_177_000207	景泰元年四月，浙江鎮守中官李德上言：「馬順等有罪，當請命行誅。諸臣乃敢擅殺。非有內官擁護，危矣。是皆犯闕賊臣。不宜用。」
HCH_012_177_000208	章下廷議。
HCH_012_177_000209	于謙等奏曰：「上皇蒙塵，禍由賊振。順等實振腹心。陛下監國，群臣共請行戮，而順猶敢呵叱。是以在廷文武及宿衛軍士忠憤激發，不暇顧忌，捶死三人。此正《春秋》誅亂賊之大義也。向使乘輿播遷，奸黨猶在，國之安危殆未可知。臣等以為不足問。」
HCH_012_177_000210	帝曰：「誅亂臣，所以安眾誌。廷臣忠義，朕已知之，卿等勿以德言介意。」
HCH_012_177_000211	八月，竑以疾還朝。
HCH_012_177_000212	尋命同都督僉事徐恭督漕運，治通州至徐州運河。
HCH_012_177_000213	明年，尚寶司檢順牙牌不得，順子請責之竑，帝許焉。
HCH_012_177_000214	諸諫官言：「順黨奸罪重，廷臣共除之，遑問牙牌。且非竑一人事，若責之竑，忠臣懼矣。」
HCH_012_177_000215	乃寢前旨。
HCH_012_177_000216	是年冬，耿九疇召還，敕竑兼巡撫淮、揚、廬三府，徐、和二州，又命兼理兩淮鹽課。
HCH_012_177_000217	四年正月，以災傷疊見，方春盛寒，上言：「請敕責諸臣痛自修省，省刑薄斂，罷無益之工，嚴無功之賞，散財以收民心，愛民以植邦本。陛下益近親儒臣，講道論德，進君子，退小人，以回天意。」
HCH_012_177_000218	且引罪乞罷。
HCH_012_177_000219	帝納其言，遂下詔修省，求直言。
HCH_012_177_000220	先是，鳳陽、淮安、徐州大水，道堇相望。
HCH_012_177_000221	竑上疏奏，不待報，開倉振之。
HCH_012_177_000222	至是山東、河南饑民就食者坌至，廩不能給。
HCH_012_177_000223	惟徐州廣運倉有餘積，竑欲盡發之，典守中官不可。
