HCH_012_310_000156	會白草番反，俊子中請立功為父貰罪，已又自求為副指揮，賄當事者許之。
HCH_012_310_000157	俊出益驕，乃與中及群盜李仲實等，恣行於四川之雲陽、奉節間，副使熊逵等計擒俊與仲實。
HCH_012_310_000158	俊死於獄，中自縛出降，執余黨譚景雷等自贖。
HCH_012_310_000159	帝命追戮俊，梟示，仲實等論斬，中謫戍，而賞有功者。
HCH_012_310_000160	三十五年，命容美宣撫田九霄襲職，賜紅纻衣一襲，以浙江黃宗山擊倭之功也。
HCH_012_310_000161	隆慶元年，吏科給事朱繪等言，湖廣施州衛忠路安撫覃大寧一日奏五上，語多不實，請究治。
HCH_012_310_000162	都察院議，金峒安撫上舍覃璧爭印相殺，及磁峒不當轄四川。
HCH_012_310_000163	俱下撫按官勘報。
HCH_012_310_000164	四年，覃璧作亂，傷官軍，撫按請治失事諸臣罪。
HCH_012_310_000165	兵部言：「本衛孤懸境外，事起倉猝，宜從寬貰，以責後功。」
HCH_012_310_000166	帝然之，命所司相機剿撫。
HCH_012_310_000167	五年，巡撫劉愨以覃璧平，條議五事：「一，請以川東所轄巫山、建始、黔江、萬縣改屬上荊道。一，以荊州去施州衛遠，不便巡歷。夷陵西有傅友德所辟取蜀故道，名百里荒者，抵衛僅五百餘裏。請以巴東之石砫司巡檢、施州衛之州門驛、三會驛並移近地，俾閭井聯絡。而於百里荒及東卜壟仍創建哨堡，令千戶一員，督班軍百人戍守。一，施州衛延袤頗廣，物產最饒，衛官朘削，致民逃夷地為亂。宜裁通判設同知，撫治民蠻，均平徭賦，勿額外橫索。一，金峒世官不宜遽絕，貸覃勝罪，降安撫為峒長，聽支羅所百戶提調。一，施州所轄十四司應襲官舍，必先白道院，始許理事。其擅立名號者，請嚴治，並令兵巡道每歲經歷施州，豫行調集各官舍獎諭，令赴學觀化。」
HCH_012_310_000168	俱從之。
HCH_012_310_000169	萬歷十一年，湖廣撫按奏：「施州衛施南等宣撫司各官，仍聽鎮筸參將節制，載入敕書，以一事權。」
HCH_012_310_000170	從之。
HCH_012_310_000171	崇禎十二年，容美宣撫田元疏言：「六月間，谷賊復叛，撫治兩臣調用土兵。臣即捐行糧戰馬，立遣土兵七千，令副長官陳一聖等將之前行。悍軍鄧維昌等憚於征調，遂與譚正賓結七十二村，鳩銀萬七千兩，賂巴東知縣蔡文升以逼民從軍之文上報，阻忠義而啟邊釁。」
HCH_012_310_000172	帝命撫按核其事。
HCH_012_310_000173	時中原寇盜充斥，時事日非，即土司征調不至，亦不能問矣。
HCH_012_310_000174	永順，漢武陵、隋辰州、唐溪州地也。
HCH_012_310_000175	宋初為永順州。
HCH_012_310_000176	嘉祐中，溪州刺史彭仕羲叛，臨以大兵，仕羲降。
HCH_012_310_000177	熙寧中，築下溪州城，賜名會溪。
HCH_012_310_000178	元時，彭萬潛自改為永順等處軍民安撫司。
HCH_012_310_000179	洪武五年，永順宣慰使順德汪倫、堂厓安撫使月直遣人上其所受偽夏印，詔賜文綺襲衣。
HCH_012_310_000180	遂置永順等處軍民宣慰使司，隸湖廣都指揮使司。
HCH_012_310_000181	領州三，曰南渭，曰施溶，曰上谿；長官司六，曰臘惹洞，曰麥著黃洞，曰驢遲洞，曰施溶溪，曰白崖洞，曰田家洞。
HCH_012_310_000182	九年，永順宣慰彭添保遣其弟義保等貢馬及方物，賜衣幣有差。
HCH_012_310_000183	自是，每三年一入貢。
HCH_012_310_000184	永樂十六年，宣慰彭源之子仲率土官部長六百六十七人貢馬。
