HCH_009_019_000158	京朝朔日當具公服問候，並停免。
HCH_009_019_000159	至是，群臣當賀，亦不肯受。
HCH_009_019_000160	甲寅，帝如春水。
HCH_009_019_000161	二月庚申，還都。
HCH_009_019_000162	丁卯，遣子金源郡王麻達葛奉表賀萬春節。
HCH_009_019_000163	四月，久不雨，帝親禱，即日沾足。
HCH_009_019_000164	六月甲寅，帝不豫。
HCH_009_019_000165	庚申，崩于承華殿。
HCH_009_019_000166	世宗自上京還，次天平山好水川，訃聞，為位臨奠于行宮之南，大慟者久之。
HCH_009_019_000167	親王、百官、皇族、命婦及侍衛皆會哭，世宗號泣還宮。
HCH_009_019_000168	比至中都，為位奠哭者凡七焉。
HCH_009_019_000169	世宗以豳王永成為中都留守，來護喪，遣滕王府長史再興、禦院通進阿裏剌來保護金源郡王，遣左宣徽使唐括鼎來致祭，詔妃徒單氏及諸皇孫喪服並如漢制。
HCH_009_019_000170	帝王儲位久，恩德在人者深，每日三時哭臨，侍衛軍士皆爭入臨，伏哭于承華殿下，聲殷如雷。
HCH_009_019_000171	中都百姓市門巷端為位慟哭。
HCH_009_019_000172	七月壬午朔，賜諡宣孝太子。
HCH_009_019_000173	九月庚寅，殯于南園熙春殿。
HCH_009_019_000174	己酉，世宗至自上京，未入國門，先至熙春殿致奠，慟哭久之。
HCH_009_019_000175	比葬，親臨者六。
HCH_009_019_000176	帝事世宗，凡巡幸西京、涼陘，及上陵、祭廟、謁衍慶宮，田獵觀稼，拜天射柳，未嘗去左右。
HCH_009_019_000177	上有事於圓丘，及親享於太廟，則行亞獻禮，不親祀則攝行祀事。
HCH_009_019_000178	國有大慶則率百官上表賀。
HCH_009_019_000179	正旦、萬春節則總班上壽。
HCH_009_019_000180	冬十月庚戌朔，宰相以下朝見于慶和殿，太尉完顏守道上壽，世宗追悼悽愴者久之。
HCH_009_019_000181	十一月甲申，靈駕發引，世宗路祭於都城之西。
HCH_009_019_000182	庚寅，葬於大房山。
HCH_009_019_000183	世宗欲加帝號，以問群臣，翰林修撰趙可對曰：「唐高宗追諡太子弘為孝敬皇帝。」
HCH_009_019_000184	左丞張汝弼曰：「此蓋出於武后。」
HCH_009_019_000185	遂止，乃建廟于衍慶宮後，祭和三獻，樂用登歌。
HCH_009_019_000186	二十六年，立子璟為皇太孫。
HCH_009_019_000187	二十九年，世宗崩。
HCH_009_019_000188	太孫即位，是為章宗。
HCH_009_019_000189	五月甲午，追諡體弘仁英文睿德光孝皇帝，廟號顯宗。
HCH_009_019_000190	丁酉，祔於太廟，陵曰裕陵。
HCH_009_019_000191	帝天性仁厚，不忍刑殺。
