HCH_012_125_000337	襲其右丞徐義于平望，盡燔其赤龍船，復敗之于烏鎮，逐北至升山，破其水陸寨，悉俘舊館兵，湖州遂下。
HCH_012_125_000338	進圍平江，軍虎丘。
HCH_012_125_000339	士誠潛師趨遇春，遇春與戰北濠，破之，幾獲士誠。
HCH_012_125_000340	久之，諸將破葑門，遇春亦破閶門以入，吳平。
HCH_012_125_000341	進中書平章軍國重事，封鄂國公。
HCH_012_125_000342	復拜副將軍，與大將軍達帥兵北征。
HCH_012_125_000343	帝親諭曰：「當百萬眾，摧鋒陷堅，莫如副將軍。不慮不能戰，慮輕戰耳。身為大將，顧好與小校角，甚非所望也。」
HCH_012_125_000344	遇春拜謝。
HCH_012_125_000345	既行，以遇春兼太子少保，從下山東諸郡，取汴梁，進攻河南。
HCH_012_125_000346	元兵五萬陳洛水北。
HCH_012_125_000347	遇春單騎突其陣，敵二十餘騎攢㮶刺之。
HCH_012_125_000348	遇春一矢殪其前鋒，大呼馳入，麾下壯士從之。
HCH_012_125_000349	敵大潰，追奔五十餘里。
HCH_012_125_000350	降梁王阿魯溫，河南郡邑以次下。
HCH_012_125_000351	謁帝於汴梁，遂與大將軍下河北諸郡。
HCH_012_125_000352	先驅取德州，將舟師並河而進，破元兵於河西務，克通州，遂入元都。
HCH_012_125_000353	別下保定、河間、真定。
HCH_012_125_000354	與大將軍攻太原，擴廓帖木兒來援。
HCH_012_125_000355	遇春言于達曰：「我騎兵雖集，步卒未至，驟與戰必多殺傷，夜劫之可得志。」
HCH_012_125_000356	達曰：「善。」
HCH_012_125_000357	會擴廓部將豁鼻馬來約降，且請為內應，乃選精騎夜銜枚往襲。
HCH_012_125_000358	擴廓方燃燭治軍書，倉卒不知所出，跣一足，乘孱馬，以十八騎走大同。
HCH_012_125_000359	豁鼻馬降，得甲士四萬，遂克太原。
HCH_012_125_000360	遇春追擴廓至忻州而還。
HCH_012_125_000361	詔改遇春左副將軍，居右副將軍馮勝上。
HCH_012_125_000362	北取大同，轉徇河東，下奉元路，與勝軍合，西拔鳳翔。
HCH_012_125_000363	會元將也速攻通州，詔遇春還備，以平章李文忠副之，帥步騎九萬，發北平，徑會州，敗敵將江文清於錦州，敗也速于全寧。
