HCH_012_260_000186	文燦不能討，乃議招撫，賊佯許之。
HCH_012_260_000187	參政洪雲蒸，長沙人，初官廣西參政，嘗搜靈秀余黨，斬三十餘級，盡毀其巢。
HCH_012_260_000188	文燦乃令雲蒸與副使康承祖，參將夏之本、張一傑入賊舟宣諭，俱被執。
HCH_012_260_000189	文燦懼罪，奏諸臣信賊自陷。
HCH_012_260_000190	給事中朱國棟劾之，詔貶秩，戴罪自效。
HCH_012_260_000191	八年，芝龍合廣東兵擊香於田尾遠洋。
HCH_012_260_000192	香脅雲蒸止兵，雲蒸大呼曰：「我矢死報國，急擊勿失！」
HCH_012_260_000193	遂遇害。
HCH_012_260_000194	香勢蹙，自焚溺死，承祖等脫還。
HCH_012_260_000195	賊黨千餘人詣浙江歸款，海盜盡平。
HCH_012_260_000196	文燦官閩、廣久，積貲無算，厚以珍寶結中外權要，謀久鎮嶺南。
HCH_012_260_000197	會帝疑劉香未死，且不識文燦為人，遣中使假廣西采辦名，往覘之。
HCH_012_260_000198	既至，文燦盛有所贈遺，留飲十日。
HCH_012_260_000199	中使喜，語及中原寇亂，文燦方中酒，擊案罵曰：「諸臣誤國耳。若文燦往，詎令鼠輩至是哉！」
HCH_012_260_000200	中使起立曰：「吾非往廣西采辦也，銜上命覘公。公信有當世才，非公不足辦此賊。」
HCH_012_260_000201	文燦出不意，悔失言，隨言有五難四不可。
HCH_012_260_000202	中使曰：「吾見上自請之，若上無所吝，即公不得辭矣。」
HCH_012_260_000203	文燦辭窮，應曰「諾」。
HCH_012_260_000204	中使還朝，果言之帝。
HCH_012_260_000205	初，文燦徙蘄水，與邑人姚明恭為姻妮，明恭官詹事，又與楊嗣昌善。
HCH_012_260_000206	嗣昌握兵柄，承帝眷，以帝急平賊，冀得一人自助，明恭因薦文燦，且曰：「此有內援可引也。」
HCH_012_260_000207	嗣昌喜，遂薦之。
HCH_012_260_000208	十年四月，拜文燦兵部尚書兼右副都御史，代王家禎總理南畿、河南、山西、陜西、湖廣、四川軍務。
HCH_012_260_000209	文燦拜命，即請左良玉所將六千人為己軍，而大募粵人及烏蠻精火器者一二千人以自護，弓刀甲胄甚整。
HCH_012_260_000210	次廬山，謁所善僧空隱。
