HCH_012_158_000342	穆召縣父老及周宗族，密置妾子群兒中。
HCH_012_158_000343	鹹指兒類允文，遂歸其產。
HCH_012_158_000344	民呼「魯鐵面」。
HCH_012_158_000345	時楊榮當國，家人犯法，穆治之不少貸。
HCH_012_158_000346	榮顧謂穆賢，薦之朝。
HCH_012_158_000347	英宗即位，擢右僉都御史。
HCH_012_158_000348	明年奉命捕蝗大名。
HCH_012_158_000349	還，以疾卒。
HCH_012_158_000350	命給舟歸其喪。
HCH_012_158_000351	始穆入為僉都御史，所載不過囊衣，尚書吳中贈以器用，不受。
HCH_012_158_000352	至是中為治棺衾，乃克殯。
HCH_012_158_000353	子崇誌，歷官應天尹，廉直有父風。
HCH_012_158_000354	耿九疇，字禹範，盧氏人。
HCH_012_158_000355	永樂末進士。
HCH_012_158_000356	宣德六年授禮科給事中。
HCH_012_158_000357	議論持大體，有清望。
HCH_012_158_000358	正統初，大臣言兩淮鹽政久壞，宜得重名檢者治之，於是推擇為鹽運司同知。
HCH_012_158_000359	痛革宿弊，條奏便宜五事，著為令。
HCH_012_158_000360	母喪去官，場民數千人詣闕乞留。
HCH_012_158_000361	十年正月起為都轉運使。
HCH_012_158_000362	節儉無他好，公退焚香讀書，廉名益振，婦孺皆知其名。
HCH_012_158_000363	以事見誣，逮下吏，已，得白，即留為刑部右侍郎。
HCH_012_158_000364	屢辨疑獄，無所撓屈。
HCH_012_158_000365	禮部侍郎章瑾下獄，九疇及江淵等議貶其官。
HCH_012_158_000366	瑾婿給事中王汝霖銜之，與同官葉盛、張固、林聰等論刑部不公。
HCH_012_158_000367	九疇、淵遂劾盛等，且言汝霖父永和死土木，嬉笑自如，不宜居職。
HCH_012_158_000368	時景帝新立，急於用人，置汝霖等不問，瑾如奏。
HCH_012_158_000369	鳳陽歲兇，盜且起，敕往巡視招撫。
HCH_012_158_000370	奏留英武、飛熊諸衛軍耕守，招來流民七萬戶，境內以安。
HCH_012_158_000371	兩淮自九疇去，鹽政復弛。
HCH_012_158_000372	景泰元年仍命兼理。
HCH_012_158_000373	尋敕錄諸府重囚，多所平反。
HCH_012_158_000374	十月命兼撫江北諸府。
HCH_012_158_000375	三年三月代陳鎰鎮陜西。
HCH_012_158_000376	都指揮楊得青等私役操卒，九疇劾之。
HCH_012_158_000377	詔按治，且命諸邊如得青者，具劾以聞。
