HCH_012_168_000259	及居宮端，行事鄙猥。
HCH_012_168_000260	既參大政，無所建明。
HCH_012_168_000261	朝退則引賓客故人置酒為曲宴，專務請屬。
HCH_012_168_000262	性卞急，遇睚眥怨必報。
HCH_012_168_000263	及賢卒，文益恣意行，名節大喪。
HCH_012_168_000264	歿後，禮部主事陸淵之、御史謝文祥皆疏論文不當得美謚。
HCH_012_168_000265	帝以事已施行，不許。
HCH_012_168_000266	萬安，安循吉，眉州人。
HCH_012_168_000267	長身魁顏，眉目如刻畫，外寬而深中。
HCH_012_168_000268	正統十三年進士。
HCH_012_168_000269	改庶吉士，授編修。
HCH_012_168_000270	成化初，屢遷禮部左侍郎。
HCH_012_168_000271	五年命兼翰林學士，入內閣參機務。
HCH_012_168_000272	同年生詹事李泰，中官永昌養子也，齒少於安。
HCH_012_168_000273	安兄事之，得其歡。
HCH_012_168_000274	自為同官，每當遷，必推安出己上。
HCH_012_168_000275	至是議簡閣臣，泰復推安曰：「子先之，我不患不至。」
HCH_012_168_000276	故安得入閣，而泰忽暴病死。
HCH_012_168_000277	安無學術，既柄用，惟日事請托，結諸閹為內援。
HCH_012_168_000278	時萬貴妃寵冠後宮，安因內侍致殷勤，自稱子侄行。
HCH_012_168_000279	妃嘗自愧無門閥，聞則大喜，妃弟錦衣指揮通，遂以族屬數過安家。
HCH_012_168_000280	其妻王氏有母至自博興。
HCH_012_168_000281	王謂母曰：「向家貧時，以妹為人娣，今安在？」
HCH_012_168_000282	母曰：「第憶為四川萬編修者。」
HCH_012_168_000283	通心疑是安，訪之則安小婦，由是兩家婦日往來。
HCH_012_168_000284	通妻著籍禁內，恣出入，安得備知宮中動靜，益自固。
HCH_012_168_000285	侍郎刑讓、祭酒陳鑒與安同年不相能。
HCH_012_168_000286	安構獄，除兩人名。
HCH_012_168_000287	七年冬，彗見天田，犯太微。
HCH_012_168_000288	廷臣多言君臣否隔，宜時召大臣議政。
HCH_012_168_000289	大學士彭時、商輅力請。
HCH_012_168_000290	司禮中官乃約以禦殿日召對，且曰：「初見，情未洽，勿多言，姑俟他日。」
HCH_012_168_000291	將入，復約如初。
HCH_012_168_000292	比見，時言天變可畏，帝曰：「已知，卿等宜盡心。」
HCH_012_168_000293	時又言：「昨御史有疏，請減京官俸薪，武臣不免觖望，乞如舊便。」
HCH_012_168_000294	帝可之。
HCH_012_168_000295	安遂頓首呼萬歲。
HCH_012_168_000296	欲出，時、輅不得已，皆叩頭退。
HCH_012_168_000297	中官戲朝士曰：「若輩嘗言不召見。及見，止知呼萬歲耳。」
HCH_012_168_000298	一時傳笑，謂之「萬歲閣老」。
HCH_012_168_000299	帝自是不復召見大臣矣。
HCH_012_168_000300	其後尹直入閣，欲請見帝計事。
HCH_012_168_000301	安止之曰：「往彭公請召對，一語不合，輒叩頭呼萬歲，以此貽笑。今吾輩每事盡言，太監擇而聞之，上無不允者，勝面對多矣。」
HCH_012_168_000302	其容悅不識大體，且善歸過於人如此。
HCH_012_168_000303	九年進禮部尚書。
HCH_012_168_000304	久之，改戶部。
HCH_012_168_000305	十三年加太子少保，俄改文淵閣大學士。
HCH_012_168_000306	孝宗出閤，進吏部尚書、謹身殿大學士，尋加太子太保。
HCH_012_168_000307	時彭時已歿，商輅以忤汪直去，在內閣者劉珝、劉吉。
HCH_012_168_000308	而安為首輔，與南人相黨附；珝與尚書尹旻、王越又以北人為黨，互相傾軋。
HCH_012_168_000309	然珝疏淺而安深鷙，故珝卒不能勝安。
HCH_012_168_000310	十八年，汪直寵衰，言官請罷西廠。
HCH_012_168_000311	帝不許。
HCH_012_168_000312	安具疏再言之，報可，中外頗以是稱安。
HCH_012_168_000313	《文華大訓》成，進太子太傅、華蓋殿大學士。
HCH_012_168_000314	復進少傅、太子太師，再進少師。
HCH_012_168_000315	當是時，朝多秕政，四方災傷日告。
HCH_012_168_000316	帝崇信道教，封金闕、玉闕真君為上帝，遣安祭於靈濟宮。
HCH_012_168_000317	而李孜省、鄧常恩方進用，安因彭華潛與結，藉以排異己。
HCH_012_168_000318	於是珝及王恕、馬文升、秦纮、耿裕諸大臣相繼被逐，而華遂由詹事遷吏部侍郎，入內閣。
HCH_012_168_000319	朝臣無敢與安牴牾者。
HCH_012_168_000320	華，安福人，大學士時之族弟，舉景泰五年會試第一。
