HCH_012_089_000114	吏部侍郎王邦瑞攝兵部，因言：「國初，京營勁旅不減七八十萬，元戎宿將常不乏人。自三大營變為十二團營，又變為兩官廳，雖浸不如初，然額軍尚三十八萬有奇。今武備積馳，見籍止十四萬餘，而操練者不過五六萬，支糧則有，調遣則無。比敵騎深入，戰守俱稱無軍。即見在兵，率老弱疲憊、市井遊販之徒，衣甲器械取給臨時。此其弊不在逃亡，而在佔役；不在軍士，而在將領。蓋提督、坐營、號頭、把總諸官，多世冑紈胯，平時佔役營軍，以空名支餉，臨操則肆集市人，呼舞博笑而已。先年，尚書王瓊、毛伯溫、劉天和常有意振飭。然將領惡其害己，陰謀阻撓，軍士又習於驕惰，競倡流言，事復中止，釀害至今。乞大振乾綱，遣官精核。」
HCH_012_089_000115	帝是其言，命兵部議興革。
HCH_012_089_000116	於是悉罷團營、兩官廳，復三大營舊制。
HCH_012_089_000117	更三千曰神樞。
HCH_012_089_000118	罷提督、監槍等內臣。
HCH_012_089_000119	設武臣一，曰總督京營戎政，以咸寧侯仇鸞為之；文臣一，曰協理京營戎政，即以邦瑞充之。
HCH_012_089_000120	其下設副參等官二十六員。
HCH_012_089_000121	已，又從部議，以四武營歸五軍營中軍，四勇營歸左右哨，四威營歸左右掖。
HCH_012_089_000122	各設坐營官一員，為正兵，備城守；參將二員，備徵討。
HCH_012_089_000123	帝以營制新定，告於太廟行之。
HCH_012_089_000124	又遣四御史募兵畿輔、山東、山西、河南，得四萬人，分隸神樞、神機。
HCH_012_089_000125	各設副將一，而增能戰將六員，分領操練。
HCH_012_089_000126	大將所統三營之兵，居常名曰練勇，有事更定職名。
HCH_012_089_000127	五軍營：大將一員，統軍一萬，總主三營副、參、遊擊、佐擊及坐營等官；副將二員，各統軍七千；左右前後參將四員，各六千；遊擊四員，各三千。
HCH_012_089_000128	外備兵六萬六千六百六十人。
HCH_012_089_000129	神樞營：副將二員，各統軍六千；佐擊六員，各三千。
HCH_012_089_000130	外備兵四萬人。
HCH_012_089_000131	神機營亦如之。
HCH_012_089_000132	已，又定三大營官數：五軍營一百九十六員，神樞營二百八員，神機營一百八十二員，共五百八十六員。
HCH_012_089_000133	在京各衛軍，俱分隸三營。
HCH_012_089_000134	分之為三十營，合之為三大營。
HCH_012_089_000135	終帝世，其制屢更，最後中軍哨掖之名亦罷，但稱戰守兵兼立車營。
HCH_012_089_000136	故事，五軍府皆開府給印，主兵籍而不與營操，營操官不給印，戎政之有府與印，自仇鸞始。
HCH_012_089_000137	鸞方貴幸，言於帝，選各邊兵六萬八千人，分番入衛，與京軍雜練，復令京營將領分練邊兵，於是邊軍盡隸京師。
HCH_012_089_000138	塞上有警，邊將不得徵集，邊事益壞。
HCH_012_089_000139	鸞死，乃罷其所置戎政廳首領官之屬，而入衛軍則惟罷甘肅者。
HCH_012_089_000140	隆慶四年，大學士趙貞吉請收將權，更營制。
HCH_012_089_000141	極言戎政之設府鑄印，以數十萬眾統於一人，非太祖、成祖分府分營本意。
HCH_012_089_000142	請以官軍九萬分五營，營擇一將，分統訓練。
HCH_012_089_000143	詔下廷臣議。
HCH_012_089_000144	尚書霍冀言：「營制，世宗熟慮而後定，不宜更。惟大將不當專設，戎政不宜有印，請如貞吉言。」
HCH_012_089_000145	制曰：「可」。
HCH_012_089_000146	於是三大營各設總兵一，副將二。
HCH_012_089_000147	其參佐等官，互有增損，各均為十人。
HCH_012_089_000148	而五軍營兵，均配二營，營十枝，屬二副將分統。
HCH_012_089_000149	以侯伯充總兵，尋改曰提督。
HCH_012_089_000150	又用三文臣，亦稱提督。
HCH_012_089_000151	自設六提督後，各持意見，遇事旬月不決。
HCH_012_089_000152	給事中溫純言其弊，乃罷，仍設總督、協理二臣。
HCH_012_089_000153	萬歷二年，從給事中歐陽柏請，復給戎政印，汰坐營官二員。
HCH_012_089_000154	五年，巡視京營科臣林景暘請廣召募，立選鋒。
HCH_012_089_000155	是時，張居正當國，綜核名實，羣臣多條上兵事，大旨在足兵、選將，營務頗飭。
HCH_012_089_000156	久之，帝厭政，廷臣漸爭門戶，習於偷惰，遂日廢弛。
HCH_012_089_000157	三十六年，尚書李化龍理戎政，條上京營積弊。
HCH_012_089_000158	敕下部議，卒無所振作。
HCH_012_089_000159	及兵事起，總督京營趙世新請改設教場城內，便演習。
HCH_012_089_000160	太常少卿胡來朝請調京軍戍邊，可變弱為強。
HCH_012_089_000161	皆無濟於用。
HCH_012_089_000162	天啟三年，協理侍郎硃光祚奏革老家軍，補以少壯。
HCH_012_089_000163	老家怨，以瓦礫投光祚，遂不果革。
HCH_012_089_000164	是時，魏忠賢用事，立內操，又增內臣為監視及把牌諸小內監，益募健丁，諸營軍多附之。
HCH_012_089_000165	莊烈帝即位，撤內臣，已而復用。
HCH_012_089_000166	戎政侍郎李邦華憤京營弊壞，請汰老弱虛冒，而擇材力者為天子親軍。
HCH_012_089_000167	營卒素驕，有疑其為變者。
HCH_012_089_000168	勳戚中官亦惡邦華害己，蜚語日聞。
HCH_012_089_000169	帝為罷邦華，代以陸完學，盡更其法。
HCH_012_089_000170	京營自監督外，總理捕務者二員，提督禁門、巡視點軍者三員，帝皆以御馬監、司禮、文書房內臣為之，於是營務盡領於中官矣。
HCH_012_089_000171	十年八月，車駕閱城，鎧甲旌旗甚盛，羣臣悉鸞帶策馬從。
HCH_012_089_000172	六軍望見乘輿，皆呼萬歲。
HCH_012_089_000173	帝大悅，召完學入御幄獎勞，酌以金卮，然徒為容觀而已。
HCH_012_089_000174	時兵事益亟。
HCH_012_089_000175	帝命京軍出防剿，皆監以中官。
HCH_012_089_000176	廩給優渥，挾勢而驕，多奪人俘獲以為功，輕折辱諸將士，將士益解體。
HCH_012_089_000177	周延儒再入閣，勸罷內操，撤諸監軍。
HCH_012_089_000178	京兵班師還。
HCH_012_089_000179	時營將率內臣私人，不知兵。
HCH_012_089_000180	兵惟註名支糧，買替紛紜，朝甲暮乙，雖有尺籍，莫得而識也。
HCH_012_089_000181	帝屢旨訓練，然日不過二三百人，未昏遂散。
HCH_012_089_000182	營兵十萬幸抽驗不及，玩愒佚罰者無算。
HCH_012_089_000183	帝嘗問戎政侍郎王家彥，家彥曰：「今日惟嚴買替之禁，改操練之法，庶可救萬一，然勢已晚。」
HCH_012_089_000184	帝不懌而罷。
HCH_012_089_000185	十六年，襄城伯李國禎總戎政，內臣王承恩監督京營。
HCH_012_089_000186	明年，流賊入居庸關，至沙河。
HCH_012_089_000187	京軍出御，聞砲聲潰而歸。
HCH_012_089_000188	賊長驅犯闕，守陴者僅內操之三千人，京師遂陷。
HCH_012_089_000189	大率京軍積弱，由於佔役買閒。
HCH_012_089_000190	其弊實起於紈胯之營帥，監視之中官，竟以亡國云。
HCH_012_089_000191	京營之在南者，永樂北遷，始命中府掌府事官守備南京，節制在南諸衛所。
HCH_012_089_000192	洪熙初，以內臣司守備。
HCH_012_089_000193	宣德末，設參贊機務官。
HCH_012_089_000194	景泰間，增協同守備官。
HCH_012_089_000195	成化末，命南京兵部尚書參贊機務，視五部特重。
HCH_012_089_000196	先是，京師立神機營，南京亦增設，與大小二教場同練。
HCH_012_089_000197	軍士常操不息，風雨方免。
HCH_012_089_000198	有逃籍者，憲宗命南給事御史時至二場點閱。
HCH_012_089_000199	成國公硃儀及太監安寧不便，詭言軍機密務，御史詰問名數非宜。
HCH_012_089_000200	帝為罪御史，仍令守備參贊官閱視，著為令。
HCH_012_089_000201	嘉靖中，言者數奏南營耗亡之弊。
HCH_012_089_000202	二十四年冬，詔立振武營，簡諸營銳卒充之，益以淮揚趫】捷者。
HCH_012_089_000203	江北舊有池河營，專城守，護陵寢。
HCH_012_089_000204	二營兵各三千，領以勳臣，別設場訓練。
HCH_012_089_000205	然振武營卒多無賴子。
HCH_012_089_000206	督儲侍郎黃懋官抑削之，遂嘩，毆懋官至死。
HCH_012_089_000207	詔誅首惡，以戶部尚書江東為參贊。
HCH_012_089_000208	東多所寬假，眾益驕，無復法紀。
HCH_012_089_000209	給事中魏元吉以為言，因舉浙直副總兵劉顯往提督。
HCH_012_089_000210	未至，池河兵再變，毆千戶吳欽。
HCH_012_089_000211	詔顯亟往，許以川兵五百自隨，事始定。
HCH_012_089_000212	隆慶改元，罷振武營，以其卒千餘仍隸二場及神機營。
HCH_012_089_000213	萬歷十一年，參贊尚書潘季馴言：「操軍原額十有二萬，今僅二萬餘。祖軍與選充參半，選充例不補，營伍由是虛。請如祖軍收補。」
HCH_012_089_000214	已而王遴代季馴，言：「大小二場，新舊官軍二萬三千有餘。請如北京各邊，三千一百二十人為一枝，每枝分中、左、右哨，得兵七枝。餘置旗鼓下，備各營缺。」
HCH_012_089_000215	從之。
HCH_012_089_000216	巡視科臣阮子孝極論南營耗弊，言頗切中，然卒無振飭之者。
HCH_012_089_000217	已，從尚書吳文華請，增參贊旗牌，得以軍法從事，兼聽便宜調遣。
HCH_012_089_000218	三十一年，添設南中軍標營，選大教場卒千餘，設中軍參將統練。
HCH_012_089_000219	規制雖具，而時狃苟安，闒茸一如北京。
HCH_012_089_000220	及崇禎中，流寇陷廬、鳳，踞上流，有窺留都意。
HCH_012_089_000221	南中將士日夜惴惴，以護陵寢、守京城為名，幸賊不東下而已。
HCH_012_089_000222	最後，史可法為參贊尚書，思振積弊，未久而失，蓋無可言焉。
HCH_012_089_000223	侍衛上直軍之制。
HCH_012_089_000224	太祖即吳王位，其年十二月設拱衛司，領校尉，隸都督府。
HCH_012_089_000225	洪武二年，改親軍都尉府，統中、左、右、前、後五衛軍，而儀鑾司隸焉。
HCH_012_089_000226	六年，造守衛金牌，銅塗金為之。
HCH_012_089_000227	長一尺，闊三寸。
HCH_012_089_000228	以仁、義、禮、智、信為號。
HCH_012_089_000229	二面俱篆文：一曰：「守衛」，一曰：「隨駕」。
HCH_012_089_000230	掌於尚寶司，衛士佩以上直，下直納之。
HCH_012_089_000231	十五年，罷府及司，置錦衣衛。
HCH_012_089_000232	所屬有南北鎮撫司十四所，所隸有將軍、力士、校尉，掌直駕侍衛、巡察緝捕。
HCH_012_089_000233	已又擇公、侯、伯、都督、指揮之嫡次子，置勳衛散騎舍人，而府軍前衛及旗手等十二衛，各有帶刀官。
HCH_012_089_000234	錦衣所隸將軍，初名天武，後改稱大漢將軍，凡千五百人。
HCH_012_089_000235	設千、百戶，總旗七員。
HCH_012_089_000236	其眾自為一軍，下直操練如制，缺至五十人方補。
HCH_012_089_000237	月糈二石，積勞試補千、百戶，亡者許以親子弟魁梧材勇者代，無則選民戶充之。
HCH_012_089_000238	永樂中，置五軍、三千營。
HCH_012_089_000239	增紅盔、明甲二將軍及叉刀圍子手之屬，備宿衛。
HCH_012_089_000240	校尉、力士歛民間丁壯無惡疾、過犯者。
HCH_012_089_000241	力士先隸旗手衛，後改隸錦衣及騰驤四衛，專領隨駕金鼓、旗幟及守衛四門。
HCH_012_089_000242	校尉原隸儀鑾司，司改錦衣衛，仍隸焉。
HCH_012_089_000243	掌擎執鹵簿儀仗，曰鑒輿，曰擎蓋，曰扇手，曰旌節，曰旗幢，曰班劍，曰斧鉞，曰戈戟，曰弓矢，曰馴馬，凡十司，及駕前宣召差遣，三日一更直。
HCH_012_089_000244	設總旗、小旗，而領以勳戚官。
HCH_012_089_000245	官凡六：管大漢將軍及散騎舍人、府軍前衛帶刀官者一，管五軍營叉刀圍子手者一，管神樞營紅盔將軍者四。
HCH_012_089_000246	聖節、正旦、冬至及大祀、誓戒、冊封、遣祭、傳制用全直，直三千人，餘則更番，器仗衣服位列亦稍殊焉。
HCH_012_089_000247	凡郊祀、經筵、巡幸侍從各有定制，詳《禮志》中。
HCH_012_089_000248	居常，當直將軍朝夕分候午門外，夜則司更，共百人。
HCH_012_089_000249	而五軍叉刀官軍，悉於皇城直宿。
HCH_012_089_000250	掌侍衛官輸直，日一員。
HCH_012_089_000251	惟掌錦衣衛將軍及叉刀手者，每日侍。
HCH_012_089_000252	尤嚴收捕之令，及諸脫更離直者。
HCH_012_089_000253	共計錦衣衛大漢將軍一千五百七人，府軍前衛帶刀官四十，神樞營紅盔將軍二千五百，把總指揮十六，明甲將軍五百二，把總指揮二，大漢將軍八，五軍營叉刀圍子手三千，把總指揮八，勳衛散騎舍人無定員，旗手等衛帶刀官一百八十，此侍衛親軍大較也。
HCH_012_089_000254	正統後，妃、主、公、侯、中貴子弟授官者，多寄祿錦衣中。
HCH_012_089_000255	正德時，奏帶傳升冒銜者，又不下數百人。
HCH_012_089_000256	武宗好養勇士，嘗以千、把總四十七人，注錦衣衛帶俸捨、餘千一百人充御馬監家將勇士，食糧騎操。
HCH_012_089_000257	又令大漢將軍試百戶，五年實授，著為令。
HCH_012_089_000258	幸竇開而恩澤濫，宿衛稍輕矣。
HCH_012_089_000259	至萬歷間，衛士多佔役、買閒，其弊亦與三大營等。
HCH_012_089_000260	雖定離直者奪月糈之例，然不能革。
HCH_012_089_000261	太祖之設錦衣也，專司鹵簿。
HCH_012_089_000262	是時方用重刑，有罪者往往下錦衣衛鞫實，本衛參刑獄自此始。
HCH_012_089_000263	文皇入立，倚錦衣為心腹。
HCH_012_089_000264	所屬南北兩鎮撫司，南理本衛刑名及軍匠，而北專治詔獄。
HCH_012_089_000265	凡問刑、奏請皆自達，不關白衛帥。
HCH_012_089_000266	用法深刻，為禍甚烈，詳《刑法志》。
HCH_012_089_000267	又錦衣緝民間情偽，以印官奉敕領官校。
HCH_012_089_000268	東廠太監緝事，別領官校，亦從本衛撥給，因是恆與中官相表裡。
HCH_012_089_000269	皇城守衛，用二十二衛卒，不獨錦衣軍，而門禁亦上直中事。
HCH_012_089_000270	京城巡捕有專官，然每令錦衣官協同。
HCH_012_089_000271	地親權要，遂終明之世云。
HCH_012_089_000272	初，太祖取婺州，選富民子弟充宿衛，曰御中軍。
HCH_012_089_000273	已，置帳前總制親兵都指揮使。
HCH_012_089_000274	後復省，置都鎮撫司，隸都督府，總牙兵巡徼。
HCH_012_089_000275	而金吾前後、羽林左右、虎賁左右、府軍左右前後十衛，以時番上，號親軍。
HCH_012_089_000276	有請，得自行部，不關都督府。
HCH_012_089_000277	及定天下，改都鎮撫司為留守，設左右前後中五衛，關領內府銅符，日遣二人點閱，夜亦如之，所謂皇城守衛官軍也。
HCH_012_089_000278	二十七年，申定皇城門禁約。
HCH_012_089_000279	凡朝參，門始啟，直日都督、將軍及帶刀、指揮、千百戶、鎮撫、舍人入後，百官始以次入。
