HCH_012_152_000301	宣德元年修兩朝《實錄》，與侍講陳敬宗、陳循同召還，進侍讀學士。
HCH_012_152_000302	英宗開經筵，為講官。
HCH_012_152_000303	《宣宗實錄》成，擢學士，掌院事。
HCH_012_152_000304	七年以故鴻臚寺為翰林院。
HCH_012_152_000305	落成，諸殿閣大學士皆至，習禮不設楊士奇、楊溥座，曰：「此非三公府也。」
HCH_012_152_000306	士奇等以聞。
HCH_012_152_000307	帝命具座。
HCH_012_152_000308	後遂為故事。
HCH_012_152_000309	正統九年乞致仕。
HCH_012_152_000310	不許。
HCH_012_152_000311	明年，六部侍郎多闕，帝命吏部尚書王直會大臣推舉，而特旨擢習禮於禮部。
HCH_012_152_000312	習禮力辭。
HCH_012_152_000313	不允。
HCH_012_152_000314	王振用事，達官多造其門，習禮恥為屈。
HCH_012_152_000315	十二年六月復上章乞骸骨，乃得歸。
HCH_012_152_000316	習禮篤行誼，好古秉禮，動有矩則。
HCH_012_152_000317	家居十五年卒，年八十有九。
HCH_012_152_000318	謚文肅。
HCH_012_152_000319	周敘，字公敘，吉水人。
HCH_012_152_000320	年十一能詩。
HCH_012_152_000321	永樂十六年進士。
HCH_012_152_000322	選庶吉士，作《黃鸚鵡賦》，稱旨，授編修。
HCH_012_152_000323	歷官侍讀，直經筵。
HCH_012_152_000324	正統六年上疏言事，帝嘉納焉。
HCH_012_152_000325	八年夏又上言：「比天旱，陛下責躬虔禱，而臣下不聞效忠補過之言，徒陳情乞用而已。掌銓選者罔論賢否，第循資格。司國計者不問耕桑，惟勤賦斂。軍士困役作，刑罰失重輕，風憲無激揚，言官務緘默。僧道數萬，日耗戶口，流民眾多，莫為矜恤。」
HCH_012_152_000326	帝以章示諸大臣。
HCH_012_152_000327	王直等皆引罪求罷。
HCH_012_152_000328	十一年遷南京侍講學士。
HCH_012_152_000329	郕王監國，馳疏言：「君父之仇不共戴天，殿下宜臥薪嘗膽，如越之報吳。使智者獻謀，勇者效力，務掃北庭，雪國恥。先遣辯士，卑詞重幣乞還鑾輿，暫為君父屈。」
HCH_012_152_000330	因條上勵剛明、親經史、修軍政、選賢才、安民心、廣言路、謹微漸、修庶政八事。
HCH_012_152_000331	王嘉納之。
HCH_012_152_000332	景泰二年又請復午朝，日接大臣，咨諏治道。
HCH_012_152_000333	經筵之余，召文學從臣講論政事，並詔天下臣民直言時政缺失。
HCH_012_152_000334	帝因詔求言。
HCH_012_152_000335	敘負氣節，篤行誼。
HCH_012_152_000336	曾祖以立，在元時以宋、遼、金三史體例未當，欲重修。
HCH_012_152_000337	敘思繼先誌，正統末，請於朝。
HCH_012_152_000338	詔許自撰，銓次數年，未及成而卒。
HCH_012_152_000339	同邑劉儼，字宣化。
HCH_012_152_000340	正統七年進士第一。
HCH_012_152_000341	歷官太常少卿。
HCH_012_152_000342	景泰中，典順天鄉試，黜大學士陳循、王文子，幾得危禍。
HCH_012_152_000343	詳《高谷傳》。
HCH_012_152_000344	天順初，改掌翰林院事，卒官。
HCH_012_152_000345	贈禮部侍郎，謚文介。
HCH_012_152_000346	儼立朝正直，居鄉亦有令德雲。
HCH_012_152_000347	柯潛，字孟時，莆田人。
HCH_012_152_000348	景泰二年舉進士第一。
HCH_012_152_000349	歷洗馬。
HCH_012_152_000350	天順初，遷尚寶少卿，兼修撰。
HCH_012_152_000351	憲宗即位，以舊宮僚擢翰林學士。
HCH_012_152_000352	《英宗實錄》成，進少詹事。
HCH_012_152_000353	慈懿太后之喪，潛與修撰羅璟上章，請合葬裕陵。
HCH_012_152_000354	廷臣相繼爭。
HCH_012_152_000355	未報。
HCH_012_152_000356	潛曰：「朝廷大事，臣子大節，舍是奚所用心。」
HCH_012_152_000357	與璟皆再疏爭，竟得如禮。
HCH_012_152_000358	連遭父母喪，詔起為祭酒，固乞終制。
HCH_012_152_000359	許之。
HCH_012_152_000360	未幾卒。
HCH_012_152_000361	潛邃於文學，性高介。
HCH_012_152_000362	為學士時，即院中後圃構清風亭，鑿池蒔芙蓉，植二柏於後堂，人稱其亭為「柯亭」，柏為「學士柏」。
HCH_012_152_000363	院中有井，學士劉定之所浚也。
HCH_012_152_000364	柯亭、劉井，翰林中以為美談雲。
HCH_012_152_000365	羅璟，字明仲，泰和人。
HCH_012_152_000366	天順末，進士及第。
HCH_012_152_000367	授編修，進修撰。
HCH_012_152_000368	預修《宋元通鑒綱目》。
HCH_012_152_000369	累官洗馬。
HCH_012_152_000370	孝宗為太子，簡侍講讀。
HCH_012_152_000371	母喪歸。
HCH_012_152_000372	璟與尚書尹旻子侍講龍同娶於孔氏。
HCH_012_152_000373	旻得罪，李孜省指璟為旻黨，調南京禮部員外郎。
HCH_012_152_000374	孝宗嗣位，王恕等言璟才，乃授福建提學副使。
HCH_012_152_000375	弘治五年召為南京祭酒。
HCH_012_152_000376	久之，卒。
HCH_012_152_000377	孔公恂，字宗文，先聖五十八世孫也。
HCH_012_152_000378	景泰五年舉會試，聞母疾，不赴廷對。
HCH_012_152_000379	帝以問禮部，具言其故，乃遣使召之。
HCH_012_152_000380	日且午，不及備試卷，命翰林院給以筆劄。
HCH_012_152_000381	登第，即丁母憂歸。
HCH_012_152_000382	衍聖公孔彥縉卒，孫弘緒幼弱，詔遣禮部郎治喪，公恂理其家事。
HCH_012_152_000383	天順初，授禮科給事中。
HCH_012_152_000384	弘緒已襲封，大學士李賢妻以女，公恂因得交於賢。
HCH_012_152_000385	賢言：「公恂，大聖人後；贊善司馬恂，宋大賢溫國公光後。宜輔導太子。」
HCH_012_152_000386	帝喜。
HCH_012_152_000387	同日超拜少詹事，侍東宮講讀。
HCH_012_152_000388	入語孝肅皇后曰：「吾今日得聖賢子孫為汝子傅。」
HCH_012_152_000389	孝肅皇后者，憲宗生母，方以皇貴妃有寵。
HCH_012_152_000390	於是具冠服拜謝，宮中傳以為盛事雲。
HCH_012_152_000391	憲宗嗣位，改公恂大理左少卿。
HCH_012_152_000392	公恂言不通法律，乃復少詹事。
HCH_012_152_000393	成化二年上章言兵事，諸武臣嘩然，給事御史交章駁之。
HCH_012_152_000394	下獄，謫漢陽知府。
HCH_012_152_000395	未至，丁父憂。
HCH_012_152_000396	服闋，商輅請復建言得罪者官，乃還故秩，涖南京詹事府。
HCH_012_152_000397	久之，卒。
HCH_012_152_000398	司馬恂，字恂如，浙江山陰人。
HCH_012_152_000399	正統末，由舉人擢刑科給事中，累遷少詹事。
HCH_012_152_000400	憲宗立，命兼國子祭酒。
HCH_012_152_000401	卒，贈禮部左侍郎。
HCH_012_152_000402	恂強記、敦厚，與物無忤，居官無所表見。
HCH_012_152_000403	贊曰：「建文之初，修尊賢敬老之節。董倫以宿儒見重，雖寡所表見，當非茍焉已也。儀智父子仍世以儒術進，從容輔導，蓋其賢哉。鄒濟諸人，以宮僚被遇而讒構不免。陳濟輩起布衣，列禁近而善始終，固有幸不幸歟。二周、王英、錢習禮、周敘、柯潛謙和直諒，各著其美，蓋皆異於浮華博習之徒矣。
