HCH_013_069_000286	擺沙居寨之中，距平越百餘里，乘夜由間道掩襲破之。
HCH_013_069_000287	賊遁入箐，其中米積如山。
HCH_013_069_000288	次日，搜百里大山，移營牛場箐、保文鸞，攻甕、岳等寨，復攻都勻城西南仲賊，八路會兵入箐，各有斬獲。
HCH_013_069_000289	復攻江時、戶西、高平、養古數十寨，斬首二千餘級，掃蕩二百餘里。
HCH_013_069_000290	七年春，參將楊明輝奉命宣諭安位，令擒獻首惡，為安邦彥所殺。
HCH_013_069_000291	懷宗崇禎元年秋九月，詔起朱燮元仍總督貴、湖、雲、川、廣五省軍務。
HCH_013_069_000292	二年夏六月初，大方東倚播，北倚藺，相為犄角。
HCH_013_069_000293	後播、藺既平，賊惟恃烏撒為援，而畢節為四裔交通處。
HCH_013_069_000294	先是，王三善由貴陽陸廣入大方。
HCH_013_069_000295	陸廣至大方，百七十里，皆儸鬼巢窟，前可衝我，後可包我，左右可衝擊我，三善卒以失地利陷。
HCH_013_069_000296	天啓間，燮元建議滇兵出霑益，遏安效良應援，而別布天生橋、尋甸等，以絕其走。
HCH_013_069_000297	蜀兵臨畢節，扼其交通四裔之路，而別出龍場巖後，以奪其險。
HCH_013_069_000298	黔兵由普定渡思臘河，徑趨彥巢，而陸廣、鴨池擣其虛，粵西出泗城，分兵策應，然後帥大軍由遵義鼓行而前。
HCH_013_069_000299	尋以憂去，未及用。
HCH_013_069_000300	總督閔夢得繼之，亦以貴州抵大方路險，而賊惟恃畢節一路外通，用兵宜從永寧始。
HCH_013_069_000301	自永寧而普市，而摩泥，而赤水，百五十里皆坦途。
HCH_013_069_000302	赤水有城郭可憑而守，宜結營於此。
HCH_013_069_000303	漸進漸逼四十里為白巖，六十里為層臺，又六十里為畢節。
HCH_013_069_000304	畢節至大方不及六十里，賊必併力來禦，須以重兵扼之，斷其四走之路。
HCH_013_069_000305	然後遵義、貴陽剋期並進，亦不果用。
HCH_013_069_000306	至是，燮元再涖黔，乃檄滇兵下烏撒，蜀兵出永寧、畢節，扼各路要害，而親帥大軍駐陸廣，逼大方。
HCH_013_069_000307	八月，奢崇明號大梁王，安邦彥號四裔大長老，歹費、小阿、烏繼、阿鮮怯等各號元帥，悉力趨永寧，先犯赤水，諜知之。
