HCH_013_072_000195	明年四月始得釋。
HCH_013_072_000196	已而涖官多不法，公私苦之。
HCH_013_072_000197	二月，侍讀倪元璐上言：「盜賊之禍，震及祖陵，國家大辱極矣。陛下下罪己之詔，布告天下，然此非徒空言也。今民最苦，無若催科。未敢興言，冀停加派，惟請自崇禎七年以前，一應逋負悉與蠲除，斷自八年督徵。有司告成，亦少寬之。東南雜解，擾累無紀，如絹、布、絲、緜、顏料、漆、油之類，悉可改從折色。此二者於下誠益，於上無損，民之脫此，猶湯火也。至發弊而遠追數十年之事，糾章一上，蔓延不休；攀貽而旁及數千里之人，部文一下，寃號四徹；誰有以民間此苦告之陛下者乎？及今不圖，日蔓一日，必至無地非兵，無民非賊，刀劍多於牛犢，阡陌決爲戰場，陛下亦安得執空版而問諸燐燹之區哉！」
HCH_013_072_000198	上是之。
HCH_013_072_000199	候補給事中劉含輝乞蠲陝西八年以上逋租，不許。
HCH_013_072_000200	承運庫太監周禮言：「崇禎六年、七年省直金花銀共逋八十九萬。」
HCH_013_072_000201	命趨之。
HCH_013_072_000202	夏四月，予故遼東總兵寧遠伯李成梁祭葬。
HCH_013_072_000203	五月，諭戶部暫開援納，濟軍需。
HCH_013_072_000204	秋七月，進文震孟禮部左侍郎兼東閣大學士。
HCH_013_072_000205	尋忤溫體仁，罷歸。
HCH_013_072_000206	丙子，召廷臣於中左門，試時政邊才論，又出各疏，命翰林官擬上。
HCH_013_072_000207	八月，上諭：「致治安民，全在守令。命兩京文職三品以下，五品以上，各舉堪任知府一人，亡論科第、貢、監。在內翰林、科、道，在外撫、按、司、道、知府，各舉州縣官一人，亡論貢、監、吏士。過期不舉者議處，失舉連坐。」
HCH_013_072_000208	冬十月乙巳，上罪己，避殿徹樂。
HCH_013_072_000209	下詔曰：「朕以涼德，纘承大統，不期倚任非人，邊乃三入，寇則七年，師徒暴露，黎庶顚連，國帑匱詘而征調未已，閭閻凋敝而加派難停，中夜思維，不勝媿憤。今年正月，流氛震驚皇陵，祖恫民仇，責實在朕。今調勍兵，留新餉，立敉元元，務在此舉。惟是行間文武吏士，勞苦飢寒，深切朕念。念其風餐露宿，朕不忍安臥深宮；念其飲水食麤，朕不忍獨享甘旨；念其披堅冒險，朕不忍獨衣文繡。茲擇十月三日，避居武英殿，減膳徹樂，非典禮事，惟以青衣從事，與我行間文武吏士甘苦共之，以寇平之日爲止。文武官其各省愆淬厲，用回天心，以救民命。」
HCH_013_072_000210	十二月，城鳳陽。
HCH_013_072_000211	初，潁州賊將趨鳳陽，巡撫楊一鵬請移鎭，大學士王應熊擬旨止之。
HCH_013_072_000212	賊陷鳳陽，焚皇陵，幽宮不保，諸臣忌諱，不敢聞。
HCH_013_072_000213	尋以獾穴爲解，又因而祕之。
HCH_013_072_000214	至是城始成。
HCH_013_072_000215	吏部尚書謝陞奏起廢張士範等一百六人，不果用。
HCH_013_072_000216	先是，寬恤條款議及罪譴諸臣，奉旨下部。
HCH_013_072_000217	刑部方具招列名疏請旨未下，而陞爲冢宰，銳意欲疏起用。
HCH_013_072_000218	大學士錢士升語陞曰：「公意大善，盍俟刑部疏下，先釋罪而後起廢，方有次第。」
HCH_013_072_000219	陞守前說不聽，疏上，臚列無有遺者。
HCH_013_072_000220	上怒切責，遂下選郎於獄，而事不可爲矣。
HCH_013_072_000221	至是，復以一百六人上，溫體仁力沮之，事遂中止。
HCH_013_072_000222	九年春正月，以劉宗周爲工部右侍郎。
HCH_013_072_000223	淮安武舉陳啓新上言：「今天下有三大病，曰科目取人，資格用人，推、知行取科、道。惟皇上停科目以詘虛文，舉孝廉以崇實行，罷推官行取以除積橫之習。蠲災傷錢糧，蘇累困之民。而且專拜大將，舉行登壇推轂之禮，使其節制有司，便宜行事。庶幾民怨平而寇氛靖。」
HCH_013_072_000224	上異其言，特授吏科給事中，命遇事直陳毋隱。
HCH_013_072_000225	啓新本庸人，時政府覘知上意，必有闢門特達之典，故令啓新上書跪正陽門。
HCH_013_072_000226	曹化淳實聞之於內，立致省垣，將借以搏擊善類。
HCH_013_072_000227	迨啓新旣得進，惟從事敝車羸馬，以逢迎上意，而政府有求皆不應，故政府恨之，不見信任。
HCH_013_072_000228	三月，工部右侍郎劉宗周上言：「皇上以不世出之資，際中興之運，卽位之初，銳意太平，甚盛心也。而施爲次第之間，未得其要。屬意邊疆，賊臣以五年爲期之說進，遂至戎馬生郊，震及宗社，而朝廷始有積輕士大夫之心矣。由此耳目參於近侍，腹心寄於干城。廠衞司譏防而告密之風熾，詔獄及卿士而堂廉之情違，人人救過不給而欺罔之習轉甚，事事仰承獨斷而諂諛之風日長。甚者參核之法，惟重徵輸，官愈貪，民愈困，而賦愈逋。總理之外，復設監紀，權愈分，法愈廢，而盜愈多。夫君臣相遇，至難也。得一文震孟，以單詞報罷矣；得一陳子壯，又以過戇詔下獄矣。而於是市井雜流者，乃得操其譌說，投間抵隙，以希進用。而國事尚可問哉？夫皇上不過始於一念之矯枉，而積漸之勢，釀爲亂階，遂幾於莫可匡救，則今日轉亂爲治之機，斷可識已。皇上所恃以治天下者法也，而非所以法也。所以法者，道也。如以道，則必體上天生物之心，而不徒倚用風雷。念祖宗學古之益，而不至輕言改作。以寬大養人材，以拊循結人心。而且還內庭以埽除之役，正懦帥以失律之誅，愼宗賢以改秩之授。特頒尺一，遣廷臣齎內帑，巡行郡國，爲招撫使，赦其無罪而流亡者，專責撫鎭，陳師險隘，堅壁清野，聽其窮而自歸。誅渠之外，
HCH_013_072_000229	不殺一人，此聖人治天下之明效也。
HCH_013_072_000230	武生新授吏科給事中陳啓新一言投契，立置清華，此誠盛事。
HCH_013_072_000231	臣愚謂宜先令以冠帶辦事黃門，稍如試御史例，俟數月後，果有忠言奇計，實授未晚。
HCH_013_072_000232	不然，如名器可惜何？
HCH_013_072_000233	皇上天縱聖明，而諸臣不能以道事君，徒取一切可喜之術，臣竊痛之。
HCH_013_072_000234	疏入，不報。
