HCH_011_013_000138	立宅東田，矚望郊阜。
HCH_011_013_000139	嘗爲《郊居賦》，其辭曰：尋加特進，光祿、侍中、少傅如故。
HCH_011_013_000140	十二年，卒官，時年七十三。
HCH_011_013_000141	詔贈本官，賻錢五萬，布百匹，諡曰隱。
HCH_011_013_000142	約左目重瞳子，腰有紫志，聰明過人。
HCH_011_013_000143	好墳籍，聚書至二萬卷，京師莫比。
HCH_011_013_000144	少時孤貧，丐于宗黨，得米數百斛，爲宗人所侮，覆米而去。
HCH_011_013_000145	及貴，不以爲憾，用爲郡部傳。
HCH_011_013_000146	嘗侍讌，有妓師是齊文惠宮人。
HCH_011_013_000147	帝問識座中客不？
HCH_011_013_000148	曰：「惟識沈家令。」
HCH_011_013_000149	約伏座流涕，帝亦悲焉，爲之罷酒。
HCH_011_013_000150	約歷仕三代，該悉舊章，博物洽聞，當世取則。
HCH_011_013_000151	謝玄暉善爲詩，任彥昇工於文章，約兼而有之，然不能過也。
HCH_011_013_000152	自負高才，昧於榮利，乘時藉勢，頗累清談。
HCH_011_013_000153	及居端揆，稍弘止足。
HCH_011_013_000154	每進一官，輒殷勤請退，而終不能去，論者方之山濤。
HCH_011_013_000155	用事十餘年，未嘗有所薦達，政之得失，唯唯而已。
HCH_011_013_000156	初，高祖有憾於張稷，及稷卒，因與約言之。
HCH_011_013_000157	約曰：「尚書左僕射出作邊州刺史，已往之事，何足復論。」
HCH_011_013_000158	帝以爲婚家相爲，大怒曰：「卿言如此，是忠臣邪！」
HCH_011_013_000159	乃輦歸內殿。
HCH_011_013_000160	約懼，不覺高祖起，猶坐如初。
HCH_011_013_000161	及還，未至床，而憑空頓於戶下。
HCH_011_013_000162	因病，夢齊和帝以劍斷其舌。
HCH_011_013_000163	召巫視之，巫言如夢。
HCH_011_013_000164	乃呼道士奏赤章於天，稱禪代之事，不由己出。
HCH_011_013_000165	高祖遣上省醫徐奘視約疾，還具以狀聞。
HCH_011_013_000166	先此，約嘗侍讌，值豫州獻栗，徑寸半，帝奇之，問曰：「栗事多少？」
HCH_011_013_000167	與約各疏所憶，少帝三事。
HCH_011_013_000168	出謂人曰：「此公護前，不讓卽羞死。」
HCH_011_013_000169	帝以其言不遜，欲抵其罪，徐勉固諫乃止。
HCH_011_013_000170	及聞赤章事，大怒，中使譴責者數焉，約懼遂卒。
HCH_011_013_000171	有司諡曰文，帝曰：「懷情不盡曰隱。」
HCH_011_013_000172	故改爲隱云。
HCH_011_013_000173	所著《晉書》百一十卷，《宋書》百卷，《齊紀》二十卷，《高祖紀》十四卷，《邇言》十卷，《諡例》十卷，《宋文章志》三十卷，文集一百卷：皆行於世。
HCH_011_013_000174	又撰《四聲譜》，以爲在昔詞人，累千載而不寤，而獨得胸衿，窮其妙旨，自謂入神之作，高祖雅不好焉。
HCH_011_013_000175	帝問周捨曰：「何謂四聲？」
HCH_011_013_000176	舍曰：「天子聖哲」是也，然帝竟不遵用。
HCH_011_013_000177	子旋，及約時已歷中書侍郎，永嘉太守，司徒從事中郎，司徒右長史。
HCH_011_013_000178	免約喪，爲太子僕，復以母憂去官，而蔬食辟穀。
HCH_011_013_000179	服除，猶絕粳粱。
HCH_011_013_000180	爲給事黃門侍郎、中撫軍長史。
HCH_011_013_000181	出爲招遠將軍、南康內史，在部以清治稱。
HCH_011_013_000182	卒官，諡曰恭侯。
HCH_011_013_000183	子𢉴嗣。
HCH_011_013_000184	陳吏部尚書姚察曰：昔木德將謝，昏嗣流虐，惵惵黔黎，命懸晷漏。
HCH_011_013_000185	高祖義拯橫潰，志寧區夏，謀謨帷幄，實寄良、平。
HCH_011_013_000186	至於范雲、沈約，參預締構，贊成帝業；加雲以機警明贍，濟務益時，約高才博洽，名亞遷、董，俱屬興運，蓋一代之英偉焉。
HCH_011_013_000187	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
