HCH_012_009_000238	冬十二月乙亥，諭法司宥京官過犯。
HCH_012_009_000239	是年，暹羅、占城、琉球、安南、滿剌加、天方、蘇門答剌、古里、柯枝、阿丹、錫蘭山、佐法兒、甘巴里、加異勒、忽魯謨斯、哈密、瓦剌、撒馬兒罕、亦力把里入貢。
HCH_012_009_000240	九年春正月辛卯，大祀天地於南郊。
HCH_012_009_000241	二月庚戌，振鳳陽、淮安、揚州、徐州饑。
HCH_012_009_000242	乙卯，申兩京、山東、山西、河南寬卹之令。
HCH_012_009_000243	三月戊寅，山雲討平思恩叛蠻。
HCH_012_009_000244	夏四月己未，黎利死，子麟來告喪，命麟權署安南國事。
HCH_012_009_000245	戊辰，錄囚。
HCH_012_009_000246	五月壬午，瘞暴骸。
HCH_012_009_000247	秋七月甲申，遣給事中、御史、錦衣衞官督捕兩畿、山東、山西、河南蝗。
HCH_012_009_000248	八月庚戌，振湖廣饑。
HCH_012_009_000249	甲子，敕兩京、湖廣、江西、河南巡撫、巡按御史、三司官行視災傷，蠲秋糧十之四。
HCH_012_009_000250	乙丑，罷工部採辦。
HCH_012_009_000251	己巳，瓦剌脫歡攻殺阿魯台，來告捷。
HCH_012_009_000252	九月癸未，自將巡邊。
HCH_012_009_000253	乙酉，度居庸關。
HCH_012_009_000254	丙戌，獵於坌道。
HCH_012_009_000255	乙未，阿魯台子阿卜只俺來歸。
HCH_012_009_000256	丁酉，至洗馬林，閱城堡兵備。
HCH_012_009_000257	己亥，大獵。
HCH_012_009_000258	冬十月丙午，還宮。
HCH_012_009_000259	丙辰，都督方政討平松潘叛蠻。
HCH_012_009_000260	甲子，罷陝西市馬。
HCH_012_009_000261	丁卯，兩畿、浙江、湖廣、江西饑，以應運南京及臨清倉粟振濟。
HCH_012_009_000262	十一月戊戌，停刑。
HCH_012_009_000263	庚子，免四川被災稅糧。
HCH_012_009_000264	十二月甲子，帝不豫，衞王瞻埏攝享太廟。
HCH_012_009_000265	是年，暹羅、占城、琉球、蘇門答剌、哈密、瓦剌入貢。
HCH_012_009_000266	十年春正月癸酉朔，不視朝，命羣臣謁皇太子於文華殿。
HCH_012_009_000267	甲戌，大漸。
HCH_012_009_000268	罷採買、營造諸使。
HCH_012_009_000269	乙亥，崩於乾清宮，年三十有八。
HCH_012_009_000270	遺詔國家重務白皇太后。
HCH_012_009_000271	丁酉，上尊諡，廟號宣宗，葬景陵。
HCH_012_009_000272	贊曰：仁宗為太子，失愛於成祖。
HCH_012_009_000273	其危而復安，太孫蓋有力焉。
HCH_012_009_000274	即位以後，吏稱其職，政得其平，綱紀修明，倉庾充羨，閭閻樂業，歲不能災。
HCH_012_009_000275	蓋明興至是歷年六十，民氣漸舒，蒸然有治平之象矣。
HCH_012_009_000276	若乃強藩猝起，旋即削平，掃蕩邊塵，狡寇震懾，帝之英姿睿略，庶幾克繩祖武者歟。
