HCH_012_011_000199	王文撫卹南畿。
HCH_012_011_000200	甲子，總督兩廣副都御史馬昂破瀧水瑤。
HCH_012_011_000201	庚辰，緬甸執獻思機發。
HCH_012_011_000202	夏四月壬午朔，日有食之。
HCH_012_011_000203	辛卯，方瑛破草塘苗，封瑛南和伯。
HCH_012_011_000204	五月甲子，禮部郎中章綸、御史鍾同以請復沂王為皇太子下錦衣衞獄。
HCH_012_011_000205	六月戊子，錄囚。
HCH_012_011_000206	秋七月癸酉，振南畿水災。
HCH_012_011_000207	八月丁酉，復命天下巡撫官赴京師議事。
HCH_012_011_000208	九月壬戌，免蘇、松、常、揚、杭、嘉、湖漕糧二百餘萬石。
HCH_012_011_000209	冬十月庚辰，副都御史劉廣衡巡撫浙江、福建，專司討賊。
HCH_012_011_000210	十一月戊午，罷蘇、松、常、鎮織造採辦。
HCH_012_011_000211	十二月，免南畿、浙江被災稅糧。
HCH_012_011_000212	是年，安南、琉球中山、爪哇入貢。
HCH_012_011_000213	也先為知院阿剌所殺。
HCH_012_011_000214	六年春正月戊午，大祀天地於南郊。
HCH_012_011_000215	二月壬午，太監王誠同法司、刑科錄囚。
HCH_012_011_000216	大理少卿李茂等錄南京、浙江囚。
HCH_012_011_000217	夏四月丙子朔，日有食之。
HCH_012_011_000218	辛巳，敕戶、兵二部及兩畿、山東、河南、浙江、湖廣撫、按、三司官條寬卹事，罷不急諸務。
HCH_012_011_000219	五月己巳，禱雨於南郊。
HCH_012_011_000220	六月乙亥，宋儒朱熹裔孫梃為翰林院世襲五經博士。
HCH_012_011_000221	癸未，河決開封。
HCH_012_011_000222	秋七月乙亥，沙灣決口隄成。
HCH_012_011_000223	庚寅，以南京災異屢見，敕羣臣修省。
HCH_012_011_000224	八月庚申，南京大理少卿廖莊以請復沂王為皇太子，杖於闕下，幷杖章綸、鍾同於獄，同卒。
HCH_012_011_000225	九月乙亥，振蘇、松饑民米麥一百餘萬石。
HCH_012_011_000226	冬十月戊午，免陝西被災稅糧。
HCH_012_011_000227	十一月乙亥，南和伯方瑛為平蠻將軍充總兵官，討湖廣苗。
HCH_012_011_000228	十二月己巳，免南畿被災秋糧。
HCH_012_011_000229	是年，琉球中山、暹羅、哈密、滿剌加入貢。
HCH_012_011_000230	七年春正月己卯，尚書石璞撫安湖廣軍民。
HCH_012_011_000231	壬午，大祀天地於南郊。
HCH_012_011_000232	二月庚申，皇后崩。
HCH_012_011_000233	甲子，營壽陵。
HCH_012_011_000234	三月戊寅，免雲南被災稅糧。
HCH_012_011_000235	夏五月戊寅，以水旱災異，敕內外諸臣修省。
HCH_012_011_000236	辛卯，宋儒周敦頤裔孫冕為翰林院世襲五經博士。
HCH_012_011_000237	六月庚申，葬肅孝皇后。
HCH_012_011_000238	冬十月癸卯，振江西饑。
HCH_012_011_000239	十二月己亥，方瑛大破湖廣苗。
HCH_012_011_000240	戊午，振畿內、山東、河南水災。
HCH_012_011_000241	癸亥，帝不豫，罷明年元旦朝賀。
HCH_012_011_000242	是冬，免畿內、山東被災稅糧，並蠲逋賦。
HCH_012_011_000243	是年，琉球中山、撒馬兒罕、烏斯藏入貢。
HCH_012_011_000244	八年春正月戊辰，免江西被災稅糧。
HCH_012_011_000245	丁丑，帝輿疾宿南郊齋宮。
