HCH_010_045_000188	行宫诸部署司。
HCH_010_045_000189	掌行在诸宫之政令。
HCH_010_045_000190	某宫侍中。
HCH_010_045_000191	太宗会同元年置，亦曰世烛。
HCH_010_045_000192	某宫都部署司。
HCH_010_045_000193	掌本宫契丹军民之事。
HCH_010_045_000194	某宫提辖司。
HCH_010_045_000195	官制未详。
HCH_010_045_000196	某石烈。
HCH_010_045_000197	石烈，县也。
HCH_010_045_000198	夷离堇。
HCH_010_045_000199	本名弥里马特本，改辛衮，会同元年升。
HCH_010_045_000200	麻普。
HCH_010_045_000201	本名达剌干，会同元年改。
HCH_010_045_000202	牙书。
HCH_010_045_000203	会同元年置。
HCH_010_045_000204	某瓦里。
HCH_010_045_000205	内族、外戚、世官犯罪，没入瓦里。
HCH_010_045_000206	某得里，官名未详。
HCH_010_045_000207	已上十二宫一府，都署、提辖、石烈、瓦里、抹里、得里等，并见《营卫志》。
HCH_010_045_000208	押行宫辎重夷离毕司。
HCH_010_045_000209	掌诸宫巡幸扈从辎重之事。
HCH_010_045_000210	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
